"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2012-01-01","10186.6","162.0","30.4","190.5","104.80000000000001","1132.3","184.5","122.0","30.9","","490.29999999999995","347.7","","52.4","428.4","236.0","139.0","135.1","171.5","160.9","50.699999999999996","194.8","216.5","326.8","201.0","106.5","","42.2","86.4","66.2","47.3","307.9","77.3","634.6","341.2","37.1","373.7","146.7","130.3","343.9","28.8","158.2","35.0","194.7","1026.2","109.5","33.0","311.5","240.60000000000002","68.9","199.2","31.4"
"2012-02-01","10650.2","166.7","33.8","202.0","108.3","1158.7","196.39999999999998","129.6","32.900000000000006","","502.5","352.8","","56.7","450.0","242.0","143.3","140.4","175.4","166.4","53.5","212.70000000000002","229.7","338.6","209.7","109.7","","43.2","88.7","69.2","51.900000000000006","321.0","84.19999999999999","668.4000000000001","348.7","38.5","395.20000000000005","154.5","135.4","369.0","29.099999999999998","163.0","35.9","202.3","1056.4","110.6","35.0","322.9","244.3","70.2","214.6","32.9"
"2012-03-01","10697.6","168.2","33.9","201.89999999999998","108.8","1177.1","198.10000000000002","129.9","33.900000000000006","","503.3","354.3","","56.7","452.0","243.5","143.5","141.3","176.39999999999998","166.0","53.6","217.4","230.39999999999998","338.1","209.8","109.9","","43.5","88.4","70.4","52.2","324.59999999999997","85.2","670.6","351.0","38.3","398.6","155.5","135.9","369.9","29.099999999999998","164.1","36.5","204.1","1060.3","110.9","35.1","322.6","245.9","71.9","222.2","33.1"
"2012-04-01","10662.3","165.5","33.8","202.10000000000002","108.7","1171.8","196.7","128.8","33.5","","498.3","356.2","","56.9","452.20000000000005","239.5","143.5","140.0","177.3","165.6","53.2","216.6","230.0","336.7","210.3","109.5","","43.4","89.9","70.0","52.4","322.5","84.5","671.8000000000001","350.4","38.400000000000006","399.8","155.4","134.4","368.40000000000003","29.0","163.7","36.4","202.7","1052.6","111.7","35.2","323.7","246.60000000000002","71.0","221.7","32.7"
"2012-05-01","10541.400000000001","163.1","31.5","191.9","108.7","1174.5","196.8","125.7","33.8","","488.9","352.9","","57.1","451.1","234.0","143.3","140.70000000000002","175.8","164.7","53.8","213.79999999999998","230.89999999999998","320.3","206.70000000000002","108.6","","43.9","90.6","69.8","51.900000000000006","317.40000000000003","84.2","672.6","348.6","37.7","403.70000000000005","155.6","136.4","364.6","29.3","163.1","34.8","196.8","1054.8","109.5","35.3","317.8","246.0","70.7","220.7","33.2"
"2012-06-01","9867.7","157.6","29.299999999999997","152.2","99.9","1154.0","179.7","116.19999999999999","30.299999999999997","","399.2","341.1","","51.1","411.6","202.10000000000002","130.70000000000002","122.39999999999999","168.3","157.3","47.6","194.10000000000002","218.1","295.6","196.0","102.5","","38.2","80.7","64.3","43.900000000000006","314.2","74.2","646.6","304.79999999999995","32.9","359.6","139.7","133.8","328.3","27.5","157.1","30.8","165.10000000000002","1007.0","106.4","30.1","308.4","236.1","59.199999999999996","194.5","30.1"
"2012-07-01","8610.6","143.8","23.799999999999997","134.9","88.0","977.9","159.7","99.5","28.3","","393.79999999999995","315.4","","44.300000000000004","368.8","163.1","113.80000000000001","101.89999999999999","152.10000000000002","148.2","39.1","177.7","177.8","255.5","153.6","94.69999999999999","","34.099999999999994","73.3","59.4","34.9","260.59999999999997","69.1","555.8","226.1","27.5","337.1","126.9","102.3","278.8","22.7","141.0","26.1","162.6","937.6","89.19999999999999","21.4","269.2","213.4","59.199999999999996","169.0","26.400000000000002"
"2012-08-01","8876.0","147.7","25.9","175.5","92.5","990.4000000000001","166.1","101.2","27.5","","470.9","331.6","","45.199999999999996","371.9","209.0","120.19999999999999","109.7","155.2","150.39999999999998","39.2","178.3","173.10000000000002","255.89999999999998","156.5","101.6","","34.0","75.9","58.900000000000006","35.2","250.79999999999998","73.0","542.3","299.9","27.6","341.7","133.9","100.9","283.7","23.1","144.2","26.0","175.2","936.2","91.69999999999999","23.6","273.1","197.2","61.7","166.39999999999998","26.0"
"2012-09-01","10053.8","158.3","31.9","200.1","104.6","1062.1","190.4","123.69999999999999","31.700000000000003","","484.6","345.2","","53.8","434.1","239.2","137.8","133.3","171.0","158.8","50.4","204.1","220.20000000000002","319.0","188.9","108.0","","40.7","86.4","67.0","49.7","290.5","81.1","613.9","335.1","36.7","381.9","149.3","112.80000000000001","345.4","26.799999999999997","160.8","34.2","197.2","1012.0","107.19999999999999","33.3","306.3","217.1","66.4","205.0","31.3"
"2012-10-01","10564.7","165.7","32.9","202.4","108.39999999999999","1133.9","198.5","128.3","33.5","","499.9","349.5","","57.599999999999994","448.09999999999997","244.39999999999998","144.2","141.79999999999998","173.8","163.7","53.400000000000006","216.10000000000002","230.1","331.70000000000005","209.7","110.0","","42.8","89.9","69.2","52.199999999999996","322.3","84.6","657.0","347.6","38.8","397.2","156.39999999999998","132.0","361.9","28.599999999999998","165.60000000000002","36.3","203.1","1054.7","111.1","34.7","317.7","243.8","70.3","220.3","32.9"
