Real Average Weekly Wages; Year/Year: January 2008 -- October 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Bureau of Labor Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.bls.gov/sae/home.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2008-01,-1.0238136567029388,-4.5353325732873415,-7.789878056586208,-8.319831788993927,5.195004567817261,-8.539956288843237,0.5047393020909778,2.0172827951909214,-4.042291316751341,-4.672983833937875,-0.6725960620249916,-3.5312392980452563,-4.543691607597501,1.6044056340036243,-3.8268575543825163,-3.2481136822534755,-7.512143279624811,1.8901416841440004,-5.0393667334003105,5.297960530538206,-3.0667825060551475,-0.725732500848349,-0.9980182365670994,-3.3487335209388673,-7.939887678911502,-3.4847431261921145,-2.5689467068134295,-3.1473913263289943,-3.815035777019607,-4.286399604712891,-3.778112144842431,-6.690804236191283,-2.4964684487026982,-3.5932314126055203,-4.553295873600839,-5.844316398154071,-4.441039943642392,-4.050542586106061,-5.00200132255677,-2.521116099531547,-0.2779460114573563,-5.342338144652813,-5.499473011371713,-2.234608387963886,-4.2149388093246625,-9.99193451719187,2.2236568507467864,-5.526427352369172,-3.1717769622447185,-2.8174397604877575,-0.5343677149947889,4.031896999603081
2008-02,-0.8390460642572178,-3.738544132704607,-6.538119825855626,-7.353184790716057,4.0069612760391875,-7.114017762221722,0.35456308717953156,1.3457373165534519,1.166935817905039,-5.81334434780607,-3.097434777690484,-1.5993037762075213,-2.6617359020257916,1.4927148403559964,-5.312670001074983,-0.5358529096008657,-9.034567986042358,-0.35728593338688236,-5.699678032661456,5.832902752336347,-1.1388643359243733,-0.5188394605729575,-2.62471447609794,-2.9295102463863274,-6.416198224884412,-1.7483792562582436,-1.9519623361925749,-2.8039380508044562,-2.6598704651498846,-4.265878739412855,-3.0274947443899602,-4.974281846131669,-3.059430924720404,-2.8214828593922205,-5.122735030790958,-4.562230647211894,-3.83793370248316,-3.373990105989808,-4.266799254235414,-1.3471533931192747,-2.2605085090873067,-6.13455351444731,-6.084503478489114,-3.0172814614001227,-2.8700501986479323,-11.213048366490852,3.6886675001272566,-3.6781990903132127,-2.3792637961202034,1.2940113118806897,-0.5404870908317541,0.6778722205345589
2008-03,-0.9065600709425992,-4.666052878261164,-4.5588128250020254,-3.407632669686859,8.214461454918494,-4.235742128722079,1.8815359937944327,3.561371013778699,1.351380595199458,-4.376493226084286,2.6557824798074066,-3.364655409978348,-0.8994519298545447,3.4946332320728564,-3.6080084336868956,-1.2935503987522767,-4.998896965548696,3.2121030261678207,-3.4702906943384444,3.1098266534718593,-3.263593462861737,-0.9398230425748264,-0.08464356193006166,-2.970039270121997,-3.4596857786624446,-1.947133977221643,0.782348514162238,-0.7923288319336981,-1.5011503210563781,-4.697443681755011,-2.2775219476828474,-2.0226951205980717,0.7770896915775569,-1.1363573790629935,-4.350534558082241,-2.8163381238615735,-3.736498881823998,0.21704390884798655,-1.4118262508776986,-0.34126678285332057,-1.507911223156626,-1.319267258157552,-6.9813837586996845,-3.093149611554646,-0.6490701859256682,-9.746912941446356,0.03187328788757125,-1.4030332326950843,2.3617000050054076,1.4035529020965882,-0.623785984603627,3.629737392930858
2008-04,-1.2977700747317389,-7.030623349507653,-6.06353694515789,-5.67763096354249,-0.6284265967822283,-7.1381340499731385,-2.1120294784966167,0.8021737589310981,-3.3426219125825747,-12.37847117408454,-2.308196511014275,-3.490714422674697,-4.777145213953597,-0.10147710840197391,-7.33535451134977,-3.7769732049021045,-3.979699034322315,-1.5537107643154993,-4.162215800920125,-0.9835606952922786,-3.2877999714926833,-3.984356544178538,-4.085508944530508,-5.387920079446959,-7.718934740581355,-3.306440004703221,-2.261193086764253,-6.5144712255385135,-7.4745749940924435,-3.754842624638128,-4.930573469847665,-2.658787445042131,-2.9576164270886993,-4.051385771542314,-2.5039950792246413,-5.394363809305375,-5.8048957034516,-3.7877694660255297,-6.335503406839403,-2.54441835780919,-0.63197195637036,-7.4665631145137,-11.319078979713828,-4.484659444215291,-3.8579246020790094,-14.538244051511882,1.51131662360296,-6.735455454730348,-3.8654109602945486,-1.3382133997159085,-5.088371761083413,0.187898377200084
2008-05,-1.0610742280284997,-5.233161440599265,-4.572268524694462,-3.7965154442482474,0.0732580064430001,-5.271916655312986,-0.526604864512689,-2.5349150466196124,-0.9482403972406261,-9.570863906321746,-1.272045343280948,-1.001969775812116,-2.6862585171384885,1.6905979437537557,-6.416993195651627,-4.103409750688317,-1.6402480438315572,-1.8072866174283977,-3.1400539783676122,0.9138479446893545,-3.8314566877908796,-2.915953814481784,-3.499254913505015,-6.311316623318033,-3.5038379199433005,-2.683448383299995,0.5706804706768842,-25.218194539937915,-4.641732119341215,-2.0423213598086196,-4.643353855798824,-2.843541193194706,-1.1280515089918082,-2.1185637014070617,-3.5557687539693785,-4.647147930590349,-4.633376996246623,-0.35979290209239123,-2.5591316267892594,-2.7571065921671316,-0.9039471537157874,-6.304118161918434,-3.8817763570388104,-1.1461116119993557,-2.4574661221506484,-10.330753562929566,0.43431331676089796,-5.765666080613492,-0.9479406034570821,-0.6959515317589187,-2.5445472500661985,2.597703089909653
2008-06,-2.52076929360104,-4.206744527003322,0.15360145862593233,-1.8737826238093862,2.147779919651071,-3.914699515986679,-1.3870402536375972,-1.5968478895005098,3.8377300929299336,-9.741521793677114,-1.2079653972495685,-5.887601291702938,-2.3003356927856577,3.57474117847461,-6.664536950686381,-2.9680337097247445,-3.6662211212845874,-2.3859247466666496,-3.391573466043364,0.7624052269979086,-2.7665798706045126,-2.739914762752797,-2.7895436971292304,-5.697800823280148,-4.781664876722346,-0.8976626364298728,0.3933821353063485,-22.695752053570555,-5.570902880044941,-4.177663622111908,-4.987624093510093,-2.711997399691749,-0.423377248577731,-2.8749022421505206,-1.5753913992338962,-3.6815008292957736,-4.646565872729738,0.3432982576434816,-1.7917106166535375,-2.678448639059577,-1.5279022415925891,-4.088433718442806,-4.085405013177492,-1.415180597463461,-1.8402422666681937,-8.59354570619155,2.2240250267232,-4.739234084298894,1.5005013655415396,1.615972814058987,-2.826419124799488,-0.4354919942504006
2008-07,-2.6947806495518978,-6.53393965923309,-3.6691286832317074,-1.5379010997227816,-1.570243012689734,-8.669739478275146,-5.2688325436515235,-3.999026443031042,-0.646145069610157,-11.95398905793268,-6.151488639197663,-4.54012364652548,-7.230375041434171,3.0907574345926103,-9.161139071922745,-6.48493168142954,-5.564956910224613,-5.08384653804845,-7.529379787995959,-0.5699141746701891,-3.9048094831850912,-4.896560683064387,-5.146531088106622,-8.72250326054714,-4.681287521316049,-4.270112760844236,-2.4205072956304017,-24.213838503657488,-7.84106338299367,-5.706002141598547,-5.5288655923381125,-4.700407159524617,-3.3577502076097345,-5.354469684653582,-4.740852808573862,-6.3816266091835745,-6.693191208332369,-5.364528339317854,-7.349786994357417,-4.443922974808142,-2.259530288293819,-6.49959780570742,-6.545661595173501,-3.96534431530958,-6.168436850839617,-7.2150391196677575,0.539897637718655,-8.126649042087177,-4.580364039889584,-1.6232959683706132,-4.197048712408709,-3.9550886114290265
2008-08,-2.2196718243878286,-5.148938466157442,0.13946258226097663,0.9151333561888236,0.30693585438982823,-5.225464329273724,-3.317777120178414,-3.570968173059033,-2.0050436927840964,-9.538065288056726,-4.776695996157099,-5.370171361421148,-3.671410033910738,0.8366042134400206,-5.995828508559194,-4.968449027465947,-1.1202272558130177,-1.9883841325656273,-5.522586328188243,-2.7353957965369053,-2.3254330191972685,-3.2514723982637515,-3.442188037726636,-7.909094282741852,-3.0901577554793893,-1.5385034375907265,1.0753171858630526,-20.297136533774758,-5.090861484393334,-4.471569350823324,-4.127656563709484,-2.4272357946361147,-0.5103961586941375,-3.236371988246373,-1.912057997289127,-2.964225448439841,-5.3344269328358385,-3.269580898418988,-2.0091807315516914,-3.769370019079267,-2.3936699820964242,-5.5544222472399944,-3.0245928971409226,-2.0322693201532545,-5.68926475382272,-2.99363967652804,0.3379064140429746,-6.407255773559902,-1.2319337384782703,0.10767057030938885,-2.1439056547917943,-3.0736733175685846
2008-09,-2.1517082997229884,-4.807601303513738,-2.903870160533275,0.7174799086214987,0.08330972153209522,-6.689615893326704,-5.148705863659497,-2.8590824320688877,-5.614573066350325,-10.896306949910487,-6.050633788314383,-6.900330609344822,-6.911125332702806,-2.03420644237793,-8.519973375284282,-6.748490731205589,-4.146866296392831,-4.642683228421279,-5.472788960502225,-6.420423015411192,-3.889284885077361,-3.761355507244321,-3.9269685531053837,-8.345227785996336,-4.91614930500681,-2.016919011631464,-2.918942321987638,-1.3140762608354593,-6.012045566523828,-4.927383941911074,-1.6485205039452007,-3.798853321417136,-4.234345994418234,-4.727652392310241,-5.955351943120221,-2.834436852063623,-5.766349364293695,-3.5572536630296274,-7.040060411563988,-4.140201301339581,-3.2520043693121745,-7.7720899999040585,-5.903432358553953,-4.4236988223555,-7.764716453670823,-1.7699778761210472,-1.7332239482392546,-7.320598196399293,-6.061656833775055,-0.2265092088535496,-4.887219816104628,3.0648946781019
2008-10,-0.6108207676752131,-3.0704453547660124,-3.3102789783598547,5.000061195375801,1.0991012432213463,-1.7493978203951353,-0.5206160024982109,-1.395559018102738,-2.957232651503939,-8.942589757229166,-1.234642511107759,-4.954253690967638,-1.0722285866532473,-2.2963825451658497,-2.126855277713759,-3.2902690176183675,-1.4659686486071397,-1.8932825848455241,-2.555397160392199,0.9171764609696734,-2.0082192277788824,-1.702378631278257,-2.3176054028031747,-5.254773925963357,-1.54526258718322,0.7143088011894209,2.978156219075227,0.6258413527816479,-2.553726497844222,-3.655434819574091,-0.4573911080199015,-2.873549775574061,1.1963425527554603,-2.9247945966613345,1.8514905593925675,-0.9138528844085259,-4.1412021787400635,-2.7422887210607683,-2.102640167063146,-1.6598939244907198,1.5230247996166733,-4.3178503765942855,-0.5941673731628736,-0.40479129689085247,-1.984911986939867,1.383707765310355,1.1026116433180873,-4.695312178661597,-3.6757757705868532,1.6854636520497075,-4.064412130171453,3.367827349387331
