Average Weekly Earnings September 2019,,,
State,Code,AWE All Private Emloyees ($),Year-Over-Year Change in AWE (%)
United States,US,979.93,0.8935463993266168
Alabama,AL,862.7,-0.20061745764869965
Alaska,AK,1048.06,0.3248273041176919
Arizona,AZ,946.18,2.9242680141390975
Arkansas,AR,804.43,3.668240265274303
California,CA,1144.72,2.278278885657259
Colorado,CO,1050.6,2.798918487541524
Connecticut,CT,1146.65,0.9607014459307006
Delaware,DE,915.6,2.1636902210061315
District of Columbia,DC,1663.84,3.6618188617136394
Florida,FL,890.57,-0.1566711934610665
Georgia,GA,935.42,-3.6246083559087428
Hawaii,HI,988.65,3.6407869863519293
Idaho,ID,837.32,2.7909291950501736
Illinois,IL,1005.17,0.024078256507342743
Indiana,IN,920.35,2.8220633776795845
Iowa,IA,875.13,0.1799869705571
Kansas,KS,907.46,5.331792272987945
Kentucky,KY,807.49,0.5437984514324867
Louisiana,LA,896.21,1.923789779836227
Maine,ME,855.44,2.168017812500911
Maryland,MD,1045.46,0.3828325660312437
Massachusetts,MA,1162.56,1.3944887656658578
Michigan,MI,935.86,0.769261167131341
Minnesota,MN,1047.21,1.872081896820732
Mississippi,MS,755.08,3.5564796465623383
Missouri,MO,877.54,0.1619828142494839
Montana,MT,809.76,-3.7285882270609694
Nebraska,NE,897.75,2.389101788503978
Nevada,NV,865.07,4.82456792386845
New Hampshire,NH,914.93,-0.7703970709771357
New Jersey,NJ,1059.86,0.7120921256432045
New Mexico,NM,799.26,3.8500234786632115
New York,NY,1090.18,1.4306150035225729
North Carolina,NC,882.86,-0.0016384475687525324
North Dakota,ND,980.51,-2.0232533788888007
Ohio,OH,873.81,-1.3800414118837478
Oklahoma,OK,883.86,0.10701481824462178
Oregon,OR,955.91,1.214442217647016
Pennsylvania,PA,906.1,-0.8199814914089387
Rhode Island,RI,921.3,-1.0142260258947933
South Carolina,SC,866.97,3.264092973830701
South Dakota,SD,819.72,1.8614908723110668
Tennessee,TN,869.71,-0.17429652860697642
Texas,TX,961.69,-0.6598667730739582
Utah,UT,971.73,2.6948576145927605
Vermont,VT,892.06,1.9234150934045458
Virginia,VA,1021.57,-0.43104040873891414
Washington,WA,1198.44,-0.6261189348237273
West Virginia,WV,866.52,2.2651998446060917
Wisconsin,WI,885.44,-1.4588174334443926
Wyoming,WY,958.24,1.473170123143075
