House Prices 3rd Quarter 2018,,,
State,Code,"One-year change in house prices, Q3 2017–Q3 2018 (%)","Change in house prices from peak, Q1 2007–Q3 2018 (%)"
United States,US,6.343946985615001,17.35485597074824
Alabama,AL,6.407322654462244,12.301886792452832
Alaska,AK,0.14921856593104188,14.56293235109154
Arizona,AZ,7.123637831292884,-0.20053894842388953
Arkansas,AR,4.47980997624704,13.994713108381273
California,CA,6.49243362998011,3.757362894669458
Colorado,CO,9.160966925887749,68.99227617217247
Connecticut,CT,2.201018556459622,-11.845493562231768
Delaware,DE,6.170580461522812,-4.152709585646774
District of Columbia,DC,1.548714097991355,60.58600011874369
Florida,FL,8.916462775253397,1.2509747855471876
Georgia,GA,8.412959424025601,21.738696476694287
Hawaii,HI,3.016075123348716,20.284333766957797
Idaho,ID,15.085983183972873,28.415891278329042
Illinois,IL,3.5252345929495332,-4.452038762230237
Indiana,IN,7.898498927805564,25.232592592592606
Iowa,IA,5.024806004325155,25.18574677786203
Kansas,KS,5.502968763445493,23.956121726822378
Kentucky,KY,4.473775919149681,25.4866052741733
Louisiana,LA,1.5298874439952037,19.62147547315567
Maine,ME,5.186609269862497,14.50930433595705
Maryland,MD,2.7689291840235164,-6.467439785905449
Massachusetts,MA,5.2812397207704365,20.709017767348325
Michigan,MI,7.641164903080799,21.17857895846511
Minnesota,MN,6.848507187615183,15.008926800238044
Mississippi,MS,2.7134677620114678,4.683614959151572
Missouri,MO,6.901001112347038,17.33164037700834
Montana,MT,5.5529050042409045,29.741969114484924
Nebraska,NE,7.3812217194570096,33.926231986294475
Nevada,NV,14.993896058597823,-0.3551324190562588
New Hampshire,NH,6.204102304380843,8.474868523148537
New Jersey,NJ,3.852972972972979,-6.737602423206868
New Mexico,NM,3.376157753211828,0.4062681369704002
New York,NY,5.868212062674405,14.197073532135573
North Carolina,NC,7.706132468329474,23.62145300865366
North Dakota,ND,1.0025384788406644,54.33298964010409
Ohio,OH,6.548709626760196,16.997183422429153
Oklahoma,OK,3.6471294945507493,26.530826043685508
Oregon,OR,7.289276807980061,28.296654142064792
Pennsylvania,PA,4.3911251100097415,12.944772977849063
Rhode Island,RI,8.635491825737507,4.086633121855154
South Carolina,SC,7.267215244694669,24.763248035462414
South Dakota,SD,6.94538098449089,39.17421023462033
Tennessee,TN,7.5145914396887115,32.889133810931305
Texas,TX,5.739434058340009,56.20030088115195
Utah,UT,9.973865272814542,33.44767328975471
Vermont,VT,5.466612852594288,9.635914409584645
Virginia,VA,4.413472706155619,4.7448774608276345
Washington,WA,10.569105691056912,32.88145370637439
West Virginia,WV,3.395134904452579,14.437913299044824
Wisconsin,WI,6.892903645833326,16.197806086341117
Wyoming,WY,4.370592330276346,17.549002897562627
