State Tax Revenue 2nd Quarter 2017,,,,,
State,Code,General Sales and Gross Receipts Taxes (% change),Individual Income Taxes (% change),Corporation Income Taxes (% change),Total Taxes (% change)
United States,US,0.8928876548465414,0.14789729273154695,-6.09761447358248,0.17767741668308634
Alabama,AL,-3.1344788800611534,0.6051829073031367,-14.120021317813947,-1.349784867485626
Alaska,AK,NA,NA,26.597035080549535,51.5637577688135
Arizona,AZ,1.965793802437532,2.285058177547228,-36.49064327966515,0.9329401887203881
Arkansas,AR,0.22144747698593648,-2.287381604702199,-13.394335407812264,-0.8259632014197327
California,CA,-3.680372195166348,2.19144952479573,2.3488287743764547,0.1491905956706896
Colorado,CO,2.953777183345685,3.7116799217471685,-22.60305370663317,1.6760971881110143
Connecticut,CT,-0.4911270443651028,-4.2179494203465895,14.384213238246414,-2.111314016788257
Delaware,DE,NA,1.724272424796447,-24.649920658162927,-0.5934227396390268
District of Columbia,DC,5.438025655072498,-1.332920553037209,13.839118456349109,2.2517794128357638
Florida,FL,3.2476590223288193,NA,2.727879164204472,1.4894204399294564
Georgia,GA,2.288529893864344,3.2572593215916656,-2.845706280713023,2.3699501612436613
Hawaii,HI,-0.7899278439107538,-2.799255904224529,66.67773306706349,-0.27058239662666184
Idaho,ID,3.9311980626222764,7.105197819337317,12.213619931875975,5.07207230933624
Illinois,IL,-1.6409070417812144,-5.771299356653891,-16.170905986021854,-4.218551648294433
Indiana,IN,1.565318412324701,2.8107252671395244,-2.6257150078677682,1.5391376254854983
Iowa,IA,-9.252015241913892,-6.767496733200207,4.110930432439885,-6.743388042088682
Kansas,KS,-2.730442636782515,2.4756032352760915,-3.0820246290698905,-0.4638354227961883
Kentucky,KY,-1.1535821077419794,0.7676782842215735,4.44384108758118,-0.0735639490929807
Louisiana,LA,32.249199688824405,0.6262911732345389,86.4612025633866,14.881884775028054
Maine,ME,4.3140735848309575,-2.8641674796254346,25.53363006816194,0.7411084576975702
Maryland,MD,1.7165125363594047,0.7678646022471147,-21.236589914600344,0.03240444115772956
Massachusetts,MA,0.6370289095592563,0.33300570606189517,-7.907104714538993,-1.535956501171265
Michigan,MI,-0.7492598512632287,-0.2766706781888284,19.669316092347234,2.1437499264561177
Minnesota,MN,3.5094855766096167,0.23620043020220471,-20.59395934320075,-0.24836646699143428
Mississippi,MS,-0.6814795110327676,-1.7987461863726684,12.32347244560652,-3.82957203832226
Missouri,MO,0.6416923124478613,2.1721283359651844,-19.941879108218686,0.642770686626104
Montana,MT,NA,-2.1271594950890926,3.179737775843572,2.6953121748047426
Nebraska,NE,0.991973518992828,-2.401226956402802,-15.705462599700049,-1.8162866278393697
Nevada,NV,12.11997856225775,NA,NA,6.239128123435078
New Hampshire,NH,NA,NA,-19.442702165169614,-7.900591890130415
New Jersey,NJ,0.9561023948897907,0.9849287371938908,-4.724683041304168,1.2551883570668387
New Mexico,NM,1.502648847711252,-5.944076743648852,-16.57673528761745,-2.0479549385849505
New York,NY,1.4399512162175832,-2.8822600096994777,-11.960198126403155,-2.622939168260252
North Carolina,NC,4.601079719885615,-1.4644350016142615,-30.307847977779478,0.7769182258477558
North Dakota,ND,-13.945230899737327,-10.560828322634407,-42.87825958435112,-8.183743300541979
Ohio,OH,7.11546183728855,0.6876939514047997,NA,3.667560389854385
Oklahoma,OK,-3.024000064090948,-2.561036018728746,-52.73746091393039,-3.4308616667511616
Oregon,OR,NA,0.23005153810342627,-8.061857632062342,-0.8059892717383388
Pennsylvania,PA,0.9499972714074545,-0.7872729271489076,-6.359032937388809,-0.729316162416771
Rhode Island,RI,0.5244463054190573,-2.2572333453411586,-13.566841206930413,-2.028352162872804
South Carolina,SC,-1.0821223966395732,8.478964806969614,-16.190626295274633,2.7231512497938537
South Dakota,SD,8.040249780412246,NA,NA,3.532627684035372
Tennessee,TN,1.9222219712938804,NA,9.997211875448286,2.80314110523201
Texas,TX,-2.9042785435275498,NA,NA,-1.0648159578654282
Utah,UT,19.412585246229686,5.37161599490199,-3.2667772380693405,8.262274401519477
Vermont,VT,-0.5044112681651614,0.21468691817803087,-18.90345582136931,-0.5316398462688499
Virginia,VA,1.5589054831087967,0.4786768390865781,-8.759642539315971,0.36121320616144814
Washington,WA,4.4417270200421965,NA,NA,5.71226105136029
West Virginia,WV,-2.217386471798821,-1.66336362799957,-20.791978937162725,-0.4949261926719406
Wisconsin,WI,1.3232847154442728,2.200934881537786,-4.585440621295966,0.4047841961617671
Wyoming,WY,-9.78719102966118,NA,NA,-11.569749979798594
