Average Weekly Wages August 2015,,,
State,Code,AWE All Private Emloyees ($),Year-Over-Year Change in AWE (%)
United States,US,868.11,2.2951893067889584
Alabama,AL,749.29,1.2457030321563867
Alaska,AK,1020.84,7.096561679632152
Arizona,AZ,820.64,4.915293047158986
Arkansas,AR,681.04,0.15678460146810735
California,CA,995.8,5.522236304237849
Colorado,CO,939.25,4.465513476834793
Connecticut,CT,991.24,4.609193093886987
Delaware,DE,762.72,6.63197245611673
District of Columbia,DC,1370.36,-0.8574057440830174
Florida,FL,786.8,2.5033748689418323
Georgia,GA,850.02,2.153575706290889
Hawaii,HI,830.62,0.7049061253263211
Idaho,ID,765.9,5.863530782843451
Illinois,IL,903.41,3.110648462015053
Indiana,IN,810.14,2.2009305032034465
Iowa,IA,814.72,5.712989565667126
Kansas,KS,794.31,3.4237179203322254
Kentucky,KY,755.77,5.4299419638632385
Louisiana,LA,807.68,-0.153904591172338
Maine,ME,738.36,3.0430137254594314
Maryland,MD,945.58,1.192228421825825
Massachusetts,MA,1023.8,4.663279671668263
Michigan,MI,840.04,4.388222338410097
Minnesota,MN,900.81,2.469383929886537
Mississippi,MS,696.32,-0.008018673111942487
Missouri,MO,757.83,1.5404506727636713
Montana,MT,750.29,7.067370504957138
Nebraska,NE,781.76,6.335661654105462
Nevada,NV,751.91,6.58987787517662
New Hampshire,NH,835.16,4.189138754973287
New Jersey,NJ,947.34,5.004890329828893
New Mexico,NM,709.52,0.08601307188160767
New York,NY,982.57,3.944812746116333
North Carolina,NC,790.1,4.460474963347405
North Dakota,ND,919.8,2.280584066692959
Ohio,OH,787.64,4.554899723072059
Oklahoma,OK,767.78,0.9664847978858138
Oregon,OR,817.6,5.837631270465016
Pennsylvania,PA,830.75,4.1636872466198405
Rhode Island,RI,812.71,-0.1639886394904977
South Carolina,SC,745.52,3.587425376111786
South Dakota,SD,723.14,4.610976666720346
Tennessee,TN,745.06,1.3796196395580385
Texas,TX,903.07,3.6681612401721297
Utah,UT,860.22,3.6277029510544123
Vermont,VT,806.44,3.751094468290339
Virginia,VA,940.55,7.435622785831941
Washington,WA,1043.59,7.796087448384981
West Virginia,WV,732.51,1.2735744889474043
Wisconsin,WI,794.53,1.802841587809878
Wyoming,WY,830.79,-0.42601880168852135
