"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2005-01-01","16211375.652105263","168817.6521018354","44280.643397539134","270027.41819582763","98906.20371111862","2362043.4742624764","295083.2516846295","209343.78747696482","55737.30816608706","105373.93083499925","795294.8767060443","457043.38210484036","68793.82029475746","61002.88457232256","653224.1695241107","277607.15486633487","145019.00939194974","129199.5632335952","156791.94398316435","179825.50381161444","48434.55922633516","317979.05269940366","443046.72730022686","411816.90875075443","285715.74281354895","85961.78672797974","241339.26920948736","36453.83804913691","93367.358557957","122659.18999475379","66203.28128961146","475240.35886401887","80997.23395658805","1243945.3240381416","429925.96464384825","43216.501207125766","516523.3269458434","165512.6979546009","194864.47898695865","612736.3695539099","45806.04964134578","173600.273866845","39476.57427165093","280114.33297531056","1449278.737646354","135416.16982501117","26171.632254005803","413975.3073853601","440246.38348428847","57601.00050167045","258426.66808865083","30001.544205458216"
"2005-04-01","16324898.31842045","169478.89344262297","45331.947285792696","271321.5547492062","99188.40987183782","2372847.1002691295","297162.40842660505","210043.95126241533","55909.72233228033","106408.4412417351","799708.6275325099","458247.2700867861","69257.57985491131","61086.71932275509","656538.5506609323","278307.59527580417","145177.83310880148","129616.84888194689","157416.95705313404","183000.07079513","48615.16357241092","319660.9647604975","445105.86158102955","412739.586085845","286955.10037773865","86341.68019415627","242307.35949127426","36747.81564075883","93622.49753783706","123777.00832254892","66465.91450330289","477344.5151311912","81740.04358313233","1249792.234579694","430681.30484626506","43355.07724714641","518512.3759421503","167415.37919426648","195281.07049087458","615765.0462148427","46061.24414000039","174189.66156541562","39488.82137787463","280994.9430686654","1465467.5619294557","136262.56588202948","26251.829777816158","416095.079289979","442565.2229603648","58118.04061547517","259153.05278992918","30749.080882268954"
"2005-07-01","16472632.10930688","171138.56307379281","47612.416230992865","273449.904243776","99973.04897976147","2389948.3852948416","300930.9864244969","211548.91549602395","56295.02000792181","107211.16213297866","805131.8679039322","461168.31430195563","69723.98004749832","61385.00779870331","661710.2842159842","280339.01342100895","145934.2763592612","130611.45613086155","158974.46521630953","189311.51376885767","48935.000353116404","321780.7328231385","447579.69869941875","414408.913562987","288971.6776332068","87126.51577764239","244052.6589957258","37308.00549074682","93996.37729571984","125211.39830321186","66850.27595079705","481011.4463967456","83356.90084167497","1257229.4259789274","434007.44949717674","43711.35030902348","522258.9314062747","172006.97838137604","196032.74076447802","621069.8529402197","46371.55256083842","175548.90519372764","39611.78525073746","282518.65023331135","1500828.2467337311","137740.0432618719","26388.39587614492","419267.89064828376","445531.96182286786","59436.80238191103","260856.1737858342","32644.223167926393"
"2005-10-01","16605162.302017825","172795.05920617192","50004.373666573585","275854.5713987056","100767.37738912797","2404842.7486381815","304816.61227126647","212844.46719874218","56663.4107297898","108050.1116770116","811075.6417953529","464174.18889864185","70288.71171363386","61699.5552169251","666377.0349226467","281799.5850590321","146584.46526777084","131674.92140879197","160554.47809375418","194341.1369827768","49317.65372867445","323978.173283899","449801.8646030278","415575.68846633297","290651.7581270945","87964.60753829712","245835.26975016328","37914.29851444875","94525.5591832364","126725.29146065381","67318.70333123425","484350.33970767236","84961.93297077529","1265522.768310571","436415.9149563552","44129.08396520884","525690.5164895407","176474.5906981842","196472.18154183068","626487.7063582315","46675.79418815413","176931.51257596962","39808.69166255312","284292.91669456515","1533787.5397764745","139406.10393700787","26559.560638025552","422300.1475917164","448566.5647650776","60936.94139410981","262250.07147834275","34609.23875256692"
"2006-01-01","16721098.067516815","173956.50263819096","48427.93486065129","278083.9414536483","101530.6526937111","2419904.7225244828","305288.59689847816","214626.40341388533","57198.51413341948","109178.69107092588","818870.5414110997","467790.58940613765","71037.25772446883","61991.14091224541","672406.8729353561","283735.2732928571","147538.72279100557","132408.645272905","161372.78153645538","193277.29466279247","49769.27023349342","327108.47225426673","453647.0710720783","418042.2006187687","292845.384176807","88622.23192837722","247775.92396602995","38070.75616994237","95284.13823616251","127886.05152555607","67901.60769446434","488788.1707117317","84318.19876758945","1276536.936196668","439152.80896430253","44320.40616660906","529926.8400798284","174272.4612920249","197731.2096250958","632086.007566704","47139.14541970103","178666.88357147283","40111.082750445996","286338.7656476994","1521157.8544101361","140373.8648302114","26756.22484753846","425757.54058056005","452476.3689258936","60960.28973380843","264288.031539033","33399.26812653649"
"2006-04-01","16860863.513966065","175229.17840569353","48764.94499426003","280129.2691734973","102286.03618593492","2437762.4003463374","307620.5955182917","216652.2771222713","57728.53725349517","110056.0144180536","825125.7081152267","471775.0388939472","71574.45591411351","62224.93140323319","678154.0978832566","285834.0706379928","148379.794948973","133335.7859387744","162708.3185922168","196028.192810802","50145.63013501979","329826.6053202608","457189.33753356006","420370.12371609156","295123.4957570621","89273.82329243729","249831.77398466345","38395.560800880085","95856.74885612664","129154.05006046375","68378.69618903074","493535.7462191511","84708.50562330207","1287920.6768378906","442837.5886162007","44510.32263188131","534336.6265001893","175513.07658739216","198630.58614276143","638017.6202824858","47564.478092857826","180120.38447148603","40306.64481216564","288488.56547081","1531549.967273069","141688.32315713458","26902.94129880884","429457.8531555462","456115.30937164195","61646.43053734708","266358.9744319528","33763.81811524859"
"2006-07-01","16978911.370821662","176710.79115514742","48926.84930234755","282521.4967408907","103357.8024679943","2456245.9282892966","309651.71929873026","217999.3057755615","58025.72515554483","110785.35535762031","832437.8648620201","475028.23947269894","72282.01073121051","62944.39534579987","683293.8087947882","287901.7488679053","149791.91134174584","134566.765060899","164220.49455007626","197991.15033679927","50657.95603656871","332432.414297051","459967.35711109615","423068.2569914213","297637.8182018719","90195.93662736329","251897.00008191852","38878.06810006292","96989.98955463858","130349.80743357207","68904.20624961352","497574.2562544072","85216.08044402649","1296423.3200157771","445676.4345608576","45111.842314800684","538281.6076669332","176742.60257684987","200024.7806267924","643349.7596850394","47942.789853970186","181722.78617594254","40741.27175414612","290728.1536584855","1539258.7437892854","142775.47767785107","27118.60240500394","432636.0198358312","460004.7656324797","62283.04362207851","268538.64925631054","34021.17909370646"
"2006-10-01","17041601.651119657","177624.9005673131","48153.55048166688","284682.9005987397","103970.06945508401","2469828.8633687915","310982.8438547456","219040.64136338708","58384.22372998949","111835.79906525153","839690.5179447557","477680.26894913334","72988.31777329116","63467.15144982603","688286.2439543448","289284.9501632827","150862.93789160103","135359.65759200795","165094.124214876","197165.1996534396","50977.199743492216","334842.7992323811","463125.45556046296","426065.7610032993","299918.4817862698","90729.4489833399","253594.71193652417","39123.04250528553","97857.49262873965","131655.5242157916","69340.42869294358","500427.7975614094","85243.71767832508","1307270.461095405","447003.50435413345","45501.40344550477","541515.5142947452","176351.96273759002","201269.65001383354","647219.4544505766","48319.098731243845","182913.04134548505","41136.03052158961","292405.09411201335","1535030.4683778398","143659.29288587204","27294.826687912493","435392.7500662836","463573.60864879226","62362.48942926799","270086.5948808827","33490.34218009479"
"2007-01-01","17209220.32370498","179534.31653082505","48566.26818952085","287505.7790969804","105307.70612558548","2494845.0977166165","314138.3831468154","221252.25906637203","58919.40469582481","113006.91551380648","848577.8428079376","482635.0816310317","73782.35450808526","64354.5328064853","695908.3221599807","292367.17756011407","152933.07172486794","137012.9319832329","167131.33854236832","200135.4130695895","51544.28472707532","338108.12218505895","467463.4874094713","430734.56050426513","303635.116184697","91863.8353254001","256610.65560114384","39697.92939345831","99330.22393906061","133192.81723124982","70025.25765001244","505918.97729587246","86092.7484559431","1322601.122063924","451545.63876052323","46313.60680043293","547313.8180880027","178153.5054651229","203060.885003228","654442.8063602659","48828.285428696196","184862.7679624857","41762.78096327651","295457.8389354874","1550553.717259314","145082.0176235093","27580.804939034977","439758.7741301344","468434.5317889375","63121.45560985864","273129.7716530097","33947.14220909971"
"2007-04-01","17320489.462158144","180842.97006484045","50090.03635571055","288881.73973657395","106131.03426060431","2509717.5914238235","316664.58975255094","222587.82435424355","59158.96503330632","113721.78329654728","852254.7805469837","485120.6425983538","74193.49879050757","64789.36217131987","699599.9893265027","294386.6602747653","153972.44999999998","138094.8584087344","168522.72947638264","204126.94377262524","51862.082811277956","339756.1066478349","469296.43983336986","432753.0150634024","305343.07477782964","92657.89896108613","258306.83095727992","40149.35225742081","100076.1313375404","134178.1315106142","70353.32234896667","508905.39360620634","87218.15276140005","1330283.7268895798","454641.2731314009","46824.8911958854","550670.1322638467","181066.84009607075","203543.11721385666","658819.1453510156","49074.12824563312","185971.72507625865","42077.07578648172","297194.28646092373","1573169.661449622","146071.58561706598","27736.105804173905","442340.16670360573","470981.9756959109","63979.31444166763","274819.8083290599","35103.505048747844"
"2007-07-01","17409665.524967432","181746.4477701287","51073.70529339305","290286.17782178585","106774.60373212273","2522135.4101761314","318831.08553854394","223672.77301116002","59553.92254658069","114727.06389116557","857450.3482099014","487390.3243261705","74780.56685679051","65179.44612970197","703321.4201780566","295112.35383977083","154898.1077840242","138869.2903269191","169203.46445660654","205322.930458221","52122.10093905879","341806.0060445763","471434.4564209887","434160.2463138569","306885.67067357077","93178.87878398417","259677.37321009624","40455.5671832611","100921.54436334413","135186.29122488564","70641.63552860335","511430.9273368015","88043.66147203534","1339977.965720403","455898.60387598467","47328.61722191762","553129.1568697873","183054.24981337326","204143.74875591698","662117.5472926518","49374.53938765747","186768.25340230364","42492.61542702256","298279.87960223143","1585724.6375693649","146935.20623727769","27886.56559098228","444666.5930674362","473533.9857106966","64292.27374774063","275881.96664419456","35578.57902511922"
"2007-10-01","17478882.584787387","182187.7980040555","53503.73841608506","290902.0484553196","107162.8874210066","2527493.838367944","320996.3123810485","224065.18538794763","59810.19228107862","115204.22207493355","859507.0895146364","487565.7435284323","75026.06651762524","65403.90921197702","704460.8769733604","294872.7075088753","155296.0422144159","139252.0350164363","169467.91439604538","207334.47682649767","52207.48404609275","342579.93067719735","471839.60678445233","433665.3426891128","307330.7430587703","93467.50673089972","260206.37895558687","40748.9565812812","101413.29491681072","135838.91676931447","70694.7010955682","511881.20795223216","89386.73188198399","1344117.6430135607","455834.15681906877","47785.19287545413","553889.4387793101","186995.20106752947","204091.43832133192","663322.3553337441","49512.55267212618","186822.88138617174","42807.782970693224","298436.90610648267","1609252.2519352478","147650.5015182807","27936.0464582819","445444.22358563996","474438.26783549786","64727.66166536964","275954.03968365875","36861.67741083966"
"2008-01-01","17543390.774471603","182776.48589591339","56205.7471490384","290778.4694829868","107559.6407418113","2533360.1467260476","323028.27690890484","224795.69514585976","60006.121128764025","115790.14422637194","860215.6830667391","488262.85945040674","75130.1587283131","65313.20975619217","705668.9087486692","295621.74899042846","155328.5527382657","139620.27979305902","169674.59967786376","210257.33221258136","52285.74823294347","343314.8282287373","472344.9903773585","432991.1090384558","307371.99246289395","93763.49746503663","260744.25110596165","40898.7719844358","101608.95778154694","136007.89641686773","70702.45588934026","513289.56842409645","90657.70759144738","1346526.1742706012","457272.9199508113","47888.323682798575","555181.5359807378","191291.97364742713","203775.74481405868","665075.915480793","49596.196044294185","187083.33871035354","42820.90579502428","298956.58287659136","1638542.8180074291","148215.8391325146","27942.293774576105","446526.60878358554","475041.57038621214","64900.055051293246","276166.7167580548","38095.595919769075"
"2008-04-01","17637514.83760051","183833.43094600228","61223.73442217037","292112.1673923395","108484.14440969507","2538966.9054471594","327568.1536436753","225165.32272006487","60056.735554649174","115999.18818683643","862086.5031241742","489209.9860799858","75250.65780886018","65570.06095743156","706995.9745694094","295959.9984855456","155693.96739272488","140453.49550419708","170899.31125382878","214647.8381552945","52406.97927241634","343881.29786786","472280.04377199605","433682.71417704015","307811.96176377113","94260.90109410834","261473.19840916697","41488.56744737253","102033.57103245975","136944.35590916988","70826.21853033165","514025.7026974878","93345.01936680682","1346742.4453307264","457832.0475867769","48554.08386161051","556684.2076621698","199416.88052907994","203683.76230813525","667084.4097467586","49662.07361384673","187460.71185924078","42940.93229614082","299727.04938316246","1692145.0176746568","149288.84993257362","28009.317983145713","447690.71311373066","475796.2286080755","66607.48499605131","276629.4563461302","41235.797876661745"
