Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
United States,799205.6722424803,798463.1955489956,805756.3843356293,811508.2291003453,825540.0987632883,823068.3092647258,825662.2784723428,825352.1299801277,827645.3491346877,820822.0823059558,813293.9325403715,816273.237753468,802241.3680905249,801461.2976404082,795145.5465262101,771348.698578071,740597.0056529875,728877.1520229205,727335.8080010032,731170.3711774807,743247.3654955528,757749.1571163975,770803.589106905,772871.2457216722,782119.3098531766,794750.8120815727,797683.125098879,793218.8664988134,807372.9158708109,803575.9464509656,803012.0401014837,815737.5267214602,832466.7484227585,826639.7161447782,829073.9118867087,837053.1867318786,841414.0625012058,855539.9165557291,872250.3413787115,878528.4987362775,893199.4622619668,905079.0893577202,913838.4346530068,915088.4270610252,914101.5909494316,911573.4108159209,920219.9748413111,928763.156035963,938236.78270726,940445.4159093976,939825.1189249677,940868.3456715093,938189.7905114699,951253.6209411356,949279.9487179487,965661.4281703999,963819.3340954254,969270.4288070844,983048.5406127607,973734.68740715,889129.9381065385,520720.5215508094,756658.9381740657,748162.749175204,780446.3876830469,931977.4222280103,973330.5545233547,966319.3189114621,941892.775539735,968847.499044973,974073.0312168392,959956.575601474,990745.8622831895,978678.2664042754,990012.784028863,985172.587862476,992024.050008682,983264.7047133953,983198.9156392892,982306.063919276,974261.0
Alabama,8112.672581140005,8060.3924610221175,8067.8337919878,8283.250783276466,8460.31629958814,8358.618109723784,8446.769261163432,8428.54754046541,8399.354626676955,8419.86598767211,8315.782755831575,8399.16382331886,8117.156460055224,8138.5264361618065,8078.900386757282,7878.652262437129,7781.724156525134,7636.141194299049,7647.016985710434,7557.62561244317,7923.777256626472,7937.9921068045105,7984.452724500515,7981.590674129097,8390.196065488419,8344.117054508604,8371.592738074209,8260.163576947034,8713.703159137605,8589.108566301913,8540.16750495068,8656.939160104499,8819.885227917182,8718.950251485203,8698.820497206236,8727.822607636595,8844.88046782756,8973.481931183234,9129.74988146261,9134.806170452115,9213.798760703226,9277.908689022972,9431.505392289027,9388.288431680627,9515.649673208689,9361.95756826359,9381.324109110177,9552.95172971616,9603.323816253103,9551.425302851403,9540.16790472383,9465.754595066985,9331.906039363708,9453.924786865127,9444.575422318498,9784.873211479997,9474.91315625552,9544.747185318098,9700.538127202239,9838.488955104543,8902.884688688278,6902.788487462928,8941.713172060505,8152.550482981749,9145.01415011017,10104.945844683481,10140.053662572866,9940.950358401278,10006.300508548637,10119.160694861519,10198.057883433585,10123.167565381504,10406.510552151802,10186.609681947917,10359.477524381513,10291.837733937022,10269.418339360922,10399.6416312604,10426.354101393626,10345.45347756157,10261.5
Alaska,2222.752890377495,2236.605278827436,2236.763980495439,2242.2731955418144,2277.4596225046757,2327.1105729226306,2320.6944912019544,2306.570042749723,2335.7484779953434,2318.4726678499183,2331.848951295851,2329.7858296118175,2459.42242070308,2554.3940331692047,2545.1439930913393,2404.2622552387497,2337.131449673652,2183.6896083819993,2187.9292100843545,2277.028860834383,2206.9280669109507,2250.79774228024,2297.4787043398605,2321.5786862093973,2185.14059506088,2228.126075422726,2239.439237184625,2293.601849307225,2258.2113773426468,2278.139772510401,2265.5796690713387,2337.766256345662,2331.282159624413,2299.2924376884616,2295.9597026604065,2326.9518712546283,2367.828886598725,2385.8982050841632,2420.0644070384365,2431.921688804916,2465.6798007557536,2471.234359135845,2483.3863725714723,2500.1180627123176,2459.1276890339327,2445.8647639222872,2407.1642285965113,2371.932458299935,2278.933280850414,2271.6330041222946,2303.418681056529,2214.6817769762206,2209.195233596702,2276.23535249437,2322.2588362151228,2311.376436123516,2264.8995190656133,2270.408734111989,2361.5261632123365,2268.096224092523,1941.7602513454713,1255.5115672353907,1491.1382008855298,1630.5236087255237,1835.112730447727,2095.360794305126,2188.1105834192144,2183.1228167105614,2214.9991803122257,2277.7543541738232,2386.374310088171,2306.7740877514407,2300.788767701057,2415.892820336654,2443.506910569106,2385.739503416161,2354.361916485362,2385.6714884155886,2394.966871827169,2388.1427001030575,2375.9
Arizona,17808.142724772733,17875.202989087597,18432.41961429998,18886.150483438723,19226.12173985392,19381.910766145276,19395.54697588061,19303.082266031422,20178.414852603735,19692.554831759822,19104.516636597713,19206.32121612864,17874.08220472579,17701.107818220033,17501.981796605418,16820.731702019584,16077.09127795975,15759.722506174352,15653.061194408925,15709.28720989298,15670.059757229687,15968.748789651609,16111.088403601269,16185.246968874255,16624.968033490393,16888.912750696258,17079.63288959731,16790.84411903803,17408.58309978806,17171.910802052862,17223.65368008968,17484.609638997394,17831.118804189802,17598.36925172094,17663.561542099458,17656.836835928607,16551.18306300468,16550.06227864287,16643.08738067296,16728.266992170396,17513.00284282987,17423.526891278838,17597.808859540033,17595.567290816416,17582.67827065562,17531.68258219334,17732.1161855634,17985.413451332086,18418.22301238374,18766.97374629977,18656.38968926801,18877.37100593789,19131.602258674746,19470.826325515405,19369.582138165384,19760.7358804365,18890.260026098684,18903.89623583402,19265.72278730448,19426.36854583034,18291.387582105763,12162.378299556849,16874.34255399275,16414.44737086406,17225.70845141966,20262.660477133002,20939.614231665237,21035.254497206213,20090.620077595417,21279.211893293163,21377.46732234503,21376.72013277049,21907.41152808674,21409.596474050206,21844.834401219105,21404.926539209337,21507.104713527526,21155.365221313343,21251.75267642886,21495.33647772854,21328.9
Arkansas,4874.886766110117,4906.45815402301,4920.122559262795,4993.127950160846,5093.572348354918,5067.84139171387,5056.821710068882,5133.077907052203,4984.973385743555,4947.065680884793,4889.708237922628,4895.273177153346,4783.809097314285,4759.7861913282095,4761.328946758508,4625.290976851122,4617.356806066731,4508.757843455366,4548.979681459576,4522.091658245802,4804.195508357514,4871.0849759425955,4902.491068630814,4896.54044054252,4969.65602825702,4965.413450823699,4965.799139681274,4964.807368333225,4978.967659247035,4994.395213550019,4957.148689589958,5063.598814280549,5036.049610168077,4949.159420397341,4947.837058599943,4921.885708325994,4974.063900915015,5116.43818776827,5150.433905643061,5242.889034644516,5190.325153197919,5349.394257743332,5421.958861375582,5433.970314368621,5453.8057413296,5382.894089944098,5379.7534806752765,5490.391084390963,5494.743858640733,5467.304851344711,5496.782499745057,5580.532080246971,5596.565717040429,5627.8616129121965,5684.943563833239,5814.204429528957,5896.631648233472,5797.234119795674,5937.845257585731,5943.850984082249,5490.831871656763,4126.264693557807,5532.320973050145,5178.754487470682,5538.381797954889,6359.182785281875,6276.259680903334,6172.67467344044,5941.371555712127,6051.954061019589,6072.230275246368,6079.007379458036,6179.066088794534,6010.96084530023,6073.607735451991,6060.769806335579,6036.967293982404,6107.493256510332,6025.451726663391,5976.469241751415,5943.3
California,102790.63578137012,101574.38816672555,103943.90617324994,105721.70069088036,107033.72616514636,106906.45969414257,108198.80478629458,107843.24588276849,106851.3546242234,104866.26008165894,103903.23338354769,103304.94976728238,102120.1907640202,102970.38327134456,102146.4312735055,98882.11189353169,92686.72760404761,91558.38569617886,90923.36536663411,91770.93382300994,91055.87993953498,93257.45868535331,94767.60000623351,95752.93113740726,96843.22430652232,98706.30047998005,99241.60687348057,98052.91179379557,98205.10674881043,98167.05801005672,98682.68402144326,99560.4290637272,101388.08054937975,101605.87677810791,102853.6130041349,104664.20815862197,108104.33895214742,110800.55130176408,115599.94048662912,116095.88611590167,120857.22656201299,121396.46903193631,123040.43695119163,123557.37498805244,126041.03921083799,125487.36446069773,127770.28878592057,130109.63020653687,129145.29148295135,131386.23099299768,132916.05269599182,131363.92655993518,129037.70539406153,131453.14429218523,132698.25646726368,133110.2324661832,132376.8102260685,135696.23467596152,139663.7997101419,138488.22488519957,127141.82858374716,72111.54411660814,101807.92870114488,123877.50920377334,106972.06096785587,133373.9495865107,140214.85040933362,136959.71520767966,123487.83763791634,129658.29344338934,131130.3860255158,127468.52292683939,130358.9150466474,130920.46194963325,132979.0299187566,130242.14477943772,130659.3688802543,128625.72939514201,128797.60473227088,128163.89642820037,126287.7
Colorado,15541.278569695549,15424.849608038352,15562.671208178905,15770.16086992897,16100.137585650104,15858.57115463452,15918.773447003605,15929.375108552877,15887.915039279827,16099.948270265295,15928.80716239845,16076.662477933854,15816.73245459185,15927.292639319987,15824.11575459938,15375.816923372962,14520.868645577984,14181.615476001236,14204.522637563061,14135.801152877593,14391.94486852343,14489.063660930167,14780.609353535185,14931.872345997139,15242.160261698195,15372.030615676791,15380.92843876279,15474.260923473355,15658.464792891982,15739.681092974808,15827.334116141123,15998.096593238346,16596.711840002674,16408.721662887885,16447.342001388806,16414.211809047327,16332.238247425264,16472.52094756833,16737.373170915358,16806.85191714006,17568.27839483966,17709.507671906766,17892.197018246923,17916.618702887212,17767.24886427334,17691.144079580343,18043.838641478495,18393.314841834897,18718.93730370544,18945.16918855154,18884.02031925841,19178.02711186594,19086.96641177307,19337.430665874657,19300.514165837005,19908.59518184176,20045.091574288657,20301.803236088916,20525.384705547698,20179.694812887465,19042.477296343084,11519.08390405515,16705.946817037155,15112.857853874018,16397.552055184184,20461.96405163687,21754.988129878606,21630.039975905027,22726.933315485203,22967.36385419194,23162.92664669907,23074.89499276314,23544.397147088108,22915.870069524044,23095.71968509207,22885.7689233395,22811.55729249458,22519.25433835033,22612.018876906473,22734.316615492735,22628.3
Connecticut,8714.977140844634,8804.272702223972,8958.595344886522,8950.194717160943,8936.193670951638,8927.689331772652,8856.128428925098,8866.914420078932,8751.068726628617,8589.797416588115,8485.359983012046,8586.063804265634,8689.256700400874,8798.67228374025,8739.038198033955,8498.84247195434,8604.31702006443,8410.791448015829,8433.193121950715,8615.31043412507,8856.958120552317,9019.370256580241,9128.993262826421,9046.231523011425,8992.50899014906,9340.875762127223,9565.514770196502,9554.728779042667,9703.347291768096,9587.709021224584,9621.933800847326,9798.658117444764,9680.323349112794,9501.0062461803,9448.217116398553,9455.062072323104,8763.928946850496,8809.147140533876,8958.491633433121,8973.322371269644,9484.723547996147,9650.039604719337,9764.640760728826,9823.963712074914,10041.13549549923,10000.68802867235,10046.217356715939,10028.27527527735,10431.816540465512,10423.623335646733,10353.410681693407,10275.730803095123,10019.252378831352,10127.3197132765,10085.523997555392,10271.582344959033,10937.202452894686,10905.155613793391,10741.187805964428,10554.299766933571,9036.27522348481,4371.43776090492,7955.290744673138,7646.956593708243,8189.471206455422,9528.074935518289,9667.151994530708,9790.568624079388,9520.918845233535,9687.168305037343,9725.022985529165,9467.922292544983,9785.694185769484,9649.31362454552,9828.734438931417,9834.957126135552,9984.301619034793,9927.156608210153,10012.925980173817,10075.049140761766,10012.2
Delaware,2418.1895476550812,2404.7659825292726,2473.1980033454583,2462.144683110745,2468.363642478471,2440.648204692492,2428.7735124658147,2455.6675782598304,2317.1607926435317,2268.371296320881,2196.1374965704626,2280.3163918611544,2239.482469974953,2242.908764570002,2242.6740868580123,2168.3281876996875,1987.8375594084378,1929.285470267017,1926.610144350335,1972.34883041712,2071.992986927931,1990.465949782722,2007.0811317915902,2076.6630733965253,2139.556700209755,2160.9123720008142,2166.3099593765764,2073.82347308145,2155.1158325146694,2148.7560665197498,2112.7330377293365,2111.465778084592,2148.6856632061526,2123.0353892856824,2129.465558594199,2134.0183062067986,2185.201515191744,2245.842235969873,2275.974854189346,2270.5537990423845,2238.473355813398,2289.562693713547,2318.0056324066945,2330.5374222269425,2307.562474223154,2311.7397374965703,2354.826565417872,2359.966007310446,2340.5816283001,2324.0603173760273,2358.698747665702,2363.7677862446785,2443.4408694651693,2500.021665825877,2521.471208701732,2563.877471258264,2583.801609006186,2594.6906548425063,2587.8380656524087,2528.5584756038197,2249.127723937728,1326.7739125047572,2025.0809123011973,1897.6978502332083,2251.6153076848186,2580.2110400127444,2614.1689049376487,2604.875667542858,2553.1292320491375,2571.363690270734,2594.7375903849047,2593.4937985113597,2658.7576702156844,2647.915559921762,2698.8640911947177,2672.885268477462,2687.341415536025,2697.9488481179583,2672.861800706263,2664.3664675322375,2651.6
District of Columbia,5652.744794235327,5580.1859654004475,5706.51793976262,5719.088285470299,5734.5218765891705,5677.187133111369,5667.200691799157,5647.227809174734,6003.247933717773,5979.713453142841,5899.333075867627,5976.361360954126,5729.703244067894,5709.101844158087,5695.344299133571,5520.476823288972,5453.015967991096,5318.86244518859,5358.598704675641,5507.5573013116355,5450.781239865287,5874.611395975859,6033.207257654407,5925.660966599821,5904.710390420358,5911.065398528127,6052.342117231652,6014.212068585026,6234.961306262654,6326.166147897256,6276.6529528597885,6427.357430844072,6704.1145421748015,6605.78650463918,6602.294741942603,6613.747723587377,6513.324628433809,6603.621611767303,6792.316467890349,6884.079991556404,6790.500751288128,7068.375226681763,7048.6118498191345,7047.215144740503,6668.987409447232,6879.2613590351275,6921.162511394057,6905.170238243732,7022.772805864462,6944.2779804454,6996.375079878335,6970.675706431525,7280.464892871877,7481.730094702603,7371.739569760412,7207.347382005546,7285.562866408882,7562.529483501406,7482.637953003714,7396.112073382525,6430.779358286717,2417.8361616181,3348.321085002063,3077.150793985857,4061.4786981510442,5126.117144337514,6415.764778691435,6634.349123497183,6062.67773481352,6797.484276681283,6917.950089713207,6896.929678279809,7234.722801546713,7322.435880484739,7277.671482714616,7320.270987612862,7348.833606470865,7275.646260350602,7258.606458391302,7237.72571746577,7278.3
