Geography,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1
United States,3.5229405422672895,3.1292394860745403,2.4809726203420217,1.509411741613838,-0.11861023519541032,-0.7351163128113481,-2.0466820987654493,-1.5063036584422755,-3.3115140280754782,-2.6143727161997647,-2.4035526497174056,-5.4145316763845335,-7.404042017813623,-8.714054151407804,-8.219578881523853,-5.29898918615996,-0.18763546957393873,3.437352712286131,5.387490381444414,5.379608118178241,5.098369688523006,4.596848541364214,3.299225000260794,2.5020538471937614,2.9533913114989936,0.8712654624292074,0.38067734313468227,2.337496322298531,2.2436121456600615,2.035815079293334,2.4152256792507854,1.8488961148397585,1.0175979999609264,3.157666791345969,4.725376183554005,4.356798006541041,5.790796597061117,5.481765615159999,4.454948744642328,4.0191396485468,1.9236041304943687,0.5744163116140697,0.6365995348962384,1.3898727593905995,2.456627964316143,3.0184742134518063,2.085080566014173,1.0542048801195862,-0.5232990592868209,0.598054794042165,0.8075581852664397,2.510874036214708,2.93199151983252,2.2157034619824088,3.5511474471792734,0.28941706792335,-8.465088453978291,-46.038242086673,-21.99365366421353,-21.71684926492496,-10.106904439568657,79.01784309406172,27.728882687560386,30.249021313614623,20.703157457415877,4.094117233438509,-0.12604512415445682,-1.3692111173263681,3.8
Alabama,4.523368810735765,3.757152473914533,4.637720687738008,1.4742493007816977,-0.9025506867233644,0.18348809861723114,-2.232626218069537,-0.7380260075922889,-3.876614409877337,-3.6266126992157814,-3.0270403297751276,-5.984722886174286,-3.737192352381951,-5.943868712004291,-5.293489409848893,-4.160851643893428,1.1346179168678376,3.5632953784326946,3.9067472058774153,5.027825753214344,5.522643925091674,4.836588625878494,4.7387762996711915,3.4694382046624677,3.7241918236406986,2.524187992884977,1.6722751149047985,4.1934579148012325,0.6552469319375926,0.903584250957725,1.2250005045306875,0.261200725779109,0.478633825426692,2.615912140336939,4.532676741496856,4.242900326147483,3.6500857632932933,3.15166542369271,2.92476850748121,2.722373253207409,3.1470746768291074,0.9445920695580327,-0.3678310015751139,1.483902719869277,0.9983772931048627,1.8473215697582432,2.1537574512010402,-0.34496326187013265,-3.078989887987216,-1.5635702738987936,-1.429234676692565,2.5920484803966772,2.368554142394227,1.3007858527940983,2.7881676040598964,-0.05638441642129567,-6.169089594979103,-28.737074452982615,-6.957896817552878,-13.302587982448292,4.922971918876752,48.72183736681787,11.968634721980791,16.120435882869373,3.776635783252348,-3.2208164817311147,-3.6688860523682956,-1.9996086175303553,-0.5
Alaska,2.599220842464082,3.8891300178660013,3.7828980640462713,2.581665441139452,1.8698704637595296,-0.5858691850297547,0.0925871781377309,0.5989787902591995,5.81337785500045,9.951036444131708,8.63769583548359,3.014153245485606,-5.232547472708958,-13.976516181790696,-13.449611013515927,-5.268244613314634,-6.2000271039436265,2.28665309622956,4.375245945778002,2.172477945147953,-0.7904975180854408,-0.974826248585765,-2.7651278387951193,-1.6965247185511565,2.7877463982940416,2.0830995542044484,1.1234235337333238,1.5883764701196086,2.5795678793705656,-0.11891794661681084,0.22703193582562003,-1.4410069403599717,0.7349749417939243,3.0515257628814205,4.985402194704529,3.93268484812317,4.239587107894504,3.1349514563106897,1.8497919103968097,1.946485989894349,-1.6620004133862119,-2.0229880729367844,-3.821638060087934,-4.228855721393012,-6.030438811873614,-5.977132974634882,-3.473255540762792,-6.055378583680488,-3.7394389824821817,0.19722253446285845,1.0810920449474704,3.292747816833085,0.8766463524118415,-0.3100395708399745,1.662486204474762,-5.330141510863317,-17.514579777821975,-45.23366206981217,-35.53347084192762,-28.144805070097945,-2.4676000558510407,81.51794220387426,57.792168029147895,41.753901435847204,15.24135507633041,-9.525377680813405,-15.039826142636766,-8.906742644055027,-0.8
Arizona,8.271117388755966,8.478805376570238,5.198884431143262,2.024390243902442,4.289099315767519,1.239083113747113,-1.9702654617837307,-0.8623971808289387,-10.968054870058019,-10.076864820634253,-8.399744836075149,-11.977636267828906,-9.88578255675031,-10.41713052148574,-9.87915881983678,-6.299971589756083,-3.2095203750450794,0.7467041279446559,2.3378319547235518,2.645456809641919,5.264311387744372,4.822430307515752,5.177181265155062,2.7829939867074436,4.499271288777859,1.4949809162258059,0.64208865879308,3.562630865870176,1.6546791257396676,1.4830423035044629,1.5432377852126375,0.14767242490015595,-7.1430671383632305,-6.19815416405885,-6.158291034660171,-5.842767793523874,5.317981298942521,4.833721669137881,5.395232120451692,5.132220633986369,-0.24149990480294467,0.7132465853067269,1.1394557823129325,3.041178881701954,5.699533911925414,7.193299227605585,4.911027804429307,3.6965527947297345,3.0220667895767193,2.8130000655056446,3.3649494644742908,4.758652307749883,0.011991956164782713,-1.85770067445184,0.01185774356260829,-2.367704193274688,-4.2787703262343175,-36.72305380891436,-12.101672655637236,-13.706387105036853,-4.312969743688568,65.39008339562356,20.401133050416618,24.705558088009237,17.796866188673167,1.8813583354010706,-1.4408948715518093,-3.4453738651433237,-2.1
Arkansas,4.79628204608968,3.4174378761844375,2.8787272363417915,2.6992630301595253,-2.48403397068626,-2.849786241741164,-3.927366097046215,-4.960757754786384,-4.655701971663531,-4.018522407913016,-2.711102562285494,-5.3238049993430145,-3.2432376261288045,-4.913044837395421,-4.224721907160182,-2.3743941238015953,3.351949307270981,7.487890941766955,7.162025619017622,7.955862732661156,3.3845642256653212,1.7137847013365723,1.1142315452231921,1.201414143460614,-0.018092634287562206,0.2345441424103741,-0.5414510889183047,1.434391359618821,0.3981099829094283,-1.5419691606167907,-0.7510686345672957,-3.415370648140848,-0.8972022510163542,3.2104407881373134,3.6476479730210114,5.846232439335883,4.173992118823863,4.592554688499427,5.425429741860887,3.941233819512169,4.311306388880826,0.39891615234081684,-0.563333147414814,2.009658246656735,1.7945809235117909,1.7701851713021939,2.1436317403335625,0.6418193073813901,1.0650736234425757,1.8333164519663765,2.4565032353721805,3.6110683950103555,5.612696805914572,3.361002604166668,5.069453749609176,3.429339712417388,-4.90877349125388,-27.989922053381637,-3.9551096752253003,-8.869830926233867,3.2020591093991877,52.327672084943046,8.44486934353092,15.3916692138828,6.560336257564918,-1.2457431791174542,1.2440003918111415,-1.2650708792884877,2.5
California,4.5007312857332895,5.350246625626123,4.213962738512919,1.6722408026755897,-0.4444121309061933,-2.3419139997640834,-4.454046268791071,-4.84293666859457,-4.207441758562754,-2.23454863046791,-1.981308059015273,-4.444571070400862,-8.778767808643464,-10.859793011033714,-10.733474946894919,-7.371517735571528,-2.253376931354011,1.2452556612222156,3.5134378499440193,4.051502145922748,6.149669751832937,5.57053199107032,4.499921984709,2.3779079359841613,0.9333467579540848,-0.709198635465912,-0.8242004359900975,1.3043653431639155,2.377128492623215,2.9203459811337704,3.547017554424736,4.646191475188167,6.174607814479212,8.755490483162516,11.976697975127713,10.607125890736347,11.426395147154658,9.392389158140361,6.210884412627775,6.311955606713967,3.67490816847582,3.282602453132052,3.809353045689428,5.136471614873695,1.580076263107728,4.452441097500931,4.457808623559342,1.0859290341917986,-0.9345502037241123,0.07757184902386302,0.4487034949267159,2.428306419730562,2.16697980643227,4.171954435266335,4.801454578105,2.0946216765880434,-10.826849226156924,-47.37786596441572,-27.698052318939897,-11.308052461686104,-14.067604218115022,86.6557613396917,42.17085188952195,17.359050445103833,16.88379784616626,-12.5254370720259,-18.242055912484815,-18.33960788148437,3.0
Colorado,3.873380660169255,2.883421336914051,2.345226075395125,0.829310191629888,-1.7442926782180643,1.0274275060104856,-0.5264751560378611,0.5404929060305943,-0.8193500216135444,-1.3307172274457952,-0.7619795758052009,-4.189674818126021,-7.958079917586219,-10.576676970329398,-9.900657009419753,-8.13080027241588,-1.4571674558760328,1.7966049450670563,3.4856904390608006,4.99114848417792,5.528252844942444,5.728344327890116,3.930724170133297,3.7474576092569403,2.733162230409417,1.9515787535671603,2.1963322986440086,2.5617845134945587,4.885714573532521,3.450213192876853,3.2311888656868373,2.013489288791614,-1.3907163918208882,0.12025525146924229,1.2785396966734819,1.808702743636044,7.13638710054445,7.284139561014361,7.035415989755553,6.750584084298877,0.7645593556246376,-0.34941042633489544,0.5749794650191035,2.944329307510882,5.389799619267599,6.75086752860806,4.594844116184939,3.5734120097188686,1.6496451593572563,1.5896861367147002,1.7814706681151615,3.5280416897065967,5.804278255010943,5.544926688667028,6.635090849962048,1.7383000590763014,-3.483188996434037,-43.39676408194282,-18.01141695339381,-22.9770039055975,-9.982186448505638,80.5294512502098,29.047087661068016,42.25816112608566,27.69440779829963,8.088742224597777,0.9039038595142874,-0.9284936479128874,-1.7
Connecticut,2.791126324797568,1.396717821728423,-1.1740743900358352,-1.147190771202743,-2.611804888461943,-4.162426761212093,-4.671162665227939,-3.5225725585114316,-0.6411450741426702,2.0374861690118915,2.5298259117560526,-1.022556727818478,-1.1526837124136964,-3.9870311952330897,-3.0182930195074174,1.271881683319563,2.0688962538917344,6.2254723008122586,7.4777738568192555,5.2113478664089286,1.8104890288300715,3.4989743644818643,4.450516861548885,5.023311137307384,7.141092963070338,2.867045065424259,1.0738404753696107,2.5523050631503503,-0.6514788570053938,-1.8621260112575027,-2.8983617083178648,-4.14731548587489,-9.40346841802608,-7.267083299070792,-5.429392073397531,-5.806046765217214,7.842809736976898,8.940566184131761,8.284443861776625,8.87020149620489,5.559399039702608,3.1632819177078657,2.532386294846462,1.2408839668161356,3.9352825519177492,4.833667018433222,3.454824552771909,3.3876976734968776,-3.7420472085231227,-2.9644194404199484,-2.1752570455691087,-0.5692763290302134,7.831749384019706,6.058578866234245,5.802625182304313,3.5865405931623364,-13.705275374934256,-55.344083662425035,-19.448069253248537,-24.25979343072485,-8.98487984785281,102.978505629478,16.086931720951466,26.743900341531734,19.082198106672813,6.7217992032675955,3.645976650025553,0.0058158131960864175,1.5
Delaware,1.913991941086563,1.7974342370093026,-1.943871861588887,-0.21245915067534862,-6.6455911926105005,-7.483151090021321,-10.186868382283254,-7.331338178708846,-3.704920726197321,-1.3770290737110167,1.9578501059982536,-4.863622942348867,-10.731957003924254,-13.659189191735518,-14.327111244919463,-9.093642403375206,3.436119605844381,2.7312506137948263,3.8535031847133765,4.580225970617445,3.435921652363168,7.886686635651014,7.889477524347303,-0.43153577768258317,0.532954872517579,-0.642900040365833,-3.0843869450161874,1.3360792631072111,-0.7127625967461609,-1.8668622049585009,0.1294459108239117,0.3589375448671869,2.131763676496901,5.966637720378859,7.183040268253025,6.338028169014096,1.8068887634104984,1.4464995283153768,1.3785889957879074,2.3145647992875342,2.4499397555797717,0.7796282206629523,1.7251315226888102,2.0557078302096405,1.745445041816023,0.7512279687951491,0.1726942124595758,-0.6124559939026575,3.8585032016586376,6.584826590932228,6.173436345559188,7.709723655020682,5.570080910150866,3.6184524584472477,2.5343860342443096,-1.2874845315387204,-12.567144697869782,-47.0255645647658,-18.64280387770322,-22.145230674119677,-2.4651189496449892,86.10280979713173,21.76644455658657,27.87850714663845,11.50389513549579,-1.1640058795041675,-1.424294196254887,-1.5817162570073442,3.1
District of Columbia,1.665410032376807,1.647263094628588,-0.8165131621921786,-1.605347535460033,4.3974261097175384,4.673367934651701,3.3456269757639734,5.496641922940986,-5.151375859259123,-4.638366424671013,-3.423188036366725,-7.293935332551527,-4.339637188708127,-6.3229486616937205,-5.621968788835248,-0.22476224897784325,-0.5803041991456626,10.228816338001792,11.973152172646463,6.949365512401069,8.021124069162795,0.3357023722259333,0.25808600091576345,1.5897880988166855,5.691893688420016,6.512647304837638,2.992526468756496,5.85121900395916,6.557992331257221,3.3161693075408865,4.33770395976741,1.884916729005068,-2.3208658981217782,-0.6985202147516594,2.163686767703087,3.4112316565389276,3.801810757340967,6.547942019998448,3.7894617413749376,2.616729881728663,-2.002628861139803,-2.9118091046323547,-2.2637212480072892,-2.0538404814143734,4.316084961246259,0.2229215840545551,0.7027681983409251,-0.2212163179566352,3.4312374864532162,7.995177660230655,5.512568953389369,3.4429757147248647,1.2697792537605166,1.966129269537981,1.7087719298245434,-0.586248818046737,-12.59995791245792,-65.81741337022295,-53.2083347707593,-55.967715636719376,-45.007925520174965,94.8034858604166,82.86946584583626,94.78285914131126,59.50743409650641,16.08187507169167,-7.222770979902037,-1.0329312857776618,7.6
