Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2,2025 Q3,2025 Q4
United States,3217646,3221069,3231705,3242979,3234457,3238718,3251636,3256736,3263615,3270527,3278311,3298980,3323139,3346257,3362900,3342096,3333372,3343204,3344881,3358303,3372697,3370114,3356021,3351491,3360987,3361792,3344680,3335822,3326997,3312402,3314213,3314515,3314213,3311328,3297202,3283848,3305053,3302872,3296631,3295289,3288713,3293712,3297470,3296631,3303913,3312469,3331527,3337365,3344579,3348472,3357967,3370382,3378401,3389977,3400513,3401553,3380918,3404539,3421450,3452051,3449501,3313240,3350049,3367966,3373502,3388568,3413498,3416451,3433932,3445542,3452253,3449132,3450172,3453762,3471110,3499697,3518219,3529358,3552712,3574891,3585460,3556705,3554155,3482954
Alabama,47113,47252,47223,47594,46890,47766,47054,48409,49033,49175,49083,49909,49210,49645,49912,49834,49981,50914,50949,50451,50441,50382,50116,49473,50059,50134,50118,50137,49812,49021,48545,48829,48463,48239,47944,47615,47985,48058,48185,48071,47646,47829,48104,47758,47828,48070,48521,48863,49138,49180,48534,49082,49051,49030,48679,49025,48596,49285,49958,50321,50433,48805,49527,49583,49466,49982,50389,50482,51016,51581,51928,51965,52008,51810,51396,52510,52304,52771,53200,53160,53245,52666,52736,51575
Alaska,14250,14216,14130,14461,14198,14315,14421,14492,14416,14413,14282,14227,14307,14502,14608,14562,14800,14846,14958,14954,14998,14987,14944,14871,15196,15405,15469,15833,15831,15763,15908,15557,15352,15052,15094,14845,15049,15117,15009,14902,14868,14763,14806,14757,15068,15191,15046,15132,15069,15090,15142,15377,15258,15371,15451,15332,15004,15067,15086,15048,14636,14172,14419,14787,14095,14276,14078,14030,14099,14238,13912,14016,13971,14210,14290,14330,14421,14120,14450,14291,14469,14257,14219,13797
Arizona,54646,56276,57084,56457,57391,56695,58862,57610,57815,58109,59265,59497,61000,60796,60240,59010,57499,56623,56104,58212,56645,58815,58604,58591,57918,57473,58347,58221,57613,58081,57953,57723,57793,57775,57030,56669,56496,56129,55407,55727,55106,55890,54642,56166,55876,56219,57235,56484,57927,57643,58589,58098,57611,57703,58215,58088,58056,58700,59173,59510,60232,57097,57866,59301,58705,59301,61391,61486,60608,61105,61772,61601,61121,61833,60744,61765,61936,62160,61984,62164,62098,61405,60937,59895
Arkansas,22188,22196,22245,22181,22684,22752,22620,22494,22382,22442,22526,22509,22687,22680,22706,22345,22600,22433,22817,22853,22966,22730,23031,22895,23356,22721,22972,23058,22787,22929,22679,22923,22791,22872,22589,22601,22596,22557,22178,22238,22116,21939,21631,21642,21960,22092,21906,21618,21801,21617,21993,22113,21778,21652,21951,21929,22262,22199,22356,22420,22775,21664,22185,22214,22037,22603,22524,22199,22060,21952,22351,22699,21807,22017,21920,22219,22198,22216,22128,22076,22308,22098,22049,21797
California,405898,403115,406639,402137,410852,405780,409111,408599,415884,419233,418072,425383,424230,428184,432195,426124,417673,414933,414630,408112,413600,411237,403167,407976,413092,410440,412382,406135,410032,403654,397881,403031,403071,404588,409524,410422,412027,414438,418576,420728,417493,425072,432393,428531,437057,436908,442440,437964,438727,437552,437237,439919,442265,441782,439845,449099,439196,444522,443492,452991,448261,426619,435010,431095,439257,438306,442852,440871,441120,440919,446311,443374,453320,451474,453956,454346,458615,460101,465708,474427,471499,468115,468684,462916
Colorado,54070,53957,52715,53051,52830,51876,52974,52087,51376,51329,51303,52246,52988,53570,54622,53748,53544,53559,53871,53545,54597,54170,53899,53190,53775,53443,53013,53603,53242,53233,53449,53021,53173,53288,52986,53200,53612,54051,54147,54492,55162,55330,55846,55834,56630,56949,57208,57989,58357,58404,59306,59801,59620,59933,60147,60157,60137,60962,61887,62270,62974,60579,61106,60708,62262,61430,62687,63001,63925,63112,64711,64812,65550,66235,65660,66750,67450,67732,67764,68578,68731,67902,68020,66640
Connecticut,38236,40161,40377,39597,39957,39030,39175,39380,39416,39658,40509,40320,41026,40924,40984,39479,39739,39090,38484,39123,37459,38274,38623,38662,38496,37455,38264,37715,36559,37467,36830,37419,37250,37449,36828,36833,37123,37066,36861,36972,36924,37550,36903,37733,36566,37392,37591,37035,37713,37032,37174,37209,36596,36125,36707,35498,35244,35143,35189,34981,34901,32428,33503,34468,33030,33820,33935,34107,33829,34455,35152,34440,34233,34740,34431,34926,34597,34535,34214,34716,34850,34761,34800,34551
Delaware,9297,9967,9878,9485,9544,9072,9528,9349,9478,9603,9897,9747,9943,9953,9921,9709,10186,9971,9922,10195,9452,9650,10019,10033,9734,9552,10200,10046,9642,9973,9411,9704,9546,9605,9339,9342,9274,9222,9022,9182,9046,9277,8932,9334,8929,9409,9431,9166,9696,9298,9767,9621,9822,9788,9960,9894,9924,9798,9888,9539,9894,9447,9708,9528,9345,9772,9935,10042,9787,9864,10221,10146,9567,9554,9758,10152,10142,10519,10107,10359,10453,10332,10299,10197
District of Columbia,56375,56656,56313,56309,55657,54952,54860,54504,54168,54368,55170,54937,56016,56148,56916,57385,58182,58657,59799,60312,61216,62494,62125,62013,62501,62549,62662,61726,61864,61934,61820,61708,61859,61604,60651,61241,61058,61284,61222,61288,60879,61419,61478,61683,62752,63400,63563,63677,63924,63638,64261,63968,64703,65382,65492,64559,62797,64034,64344,64879,65986,66435,65866,67255,66937,67040,67431,67012,66829,65476,65292,64722,64364,64991,64371,64953,65073,65259,64672,65025,64097,62487,61677,57005
Florida,149176,149811,149512,146992,146807,144964,152040,155430,160611,159844,164311,165628,164548,163831,162639,158553,160897,160880,160249,163284,158930,161927,162131,159317,155395,159813,152221,155507,153944,154890,154292,153318,153474,152489,150944,150654,151475,150996,148938,149582,148059,149043,146451,148644,146862,152456,153252,151337,153230,152281,155015,153559,151119,148307,147791,145879,145853,145239,146176,148830,151868,147855,151107,153433,150780,153643,157421,157090,157635,160355,164271,164520,162332,162788,162050,164612,166206,167153,167512,168042,168898,167233,167291,164594
Georgia,91806,91855,91102,92662,91669,91666,92171,92196,92153,92795,92433,92145,91934,91750,91663,91389,92354,93108,93332,92360,94361,93651,93525,92152,93532,92964,92438,93283,91940,92486,91273,90808,90176,89941,88512,87961,88643,88733,88697,89456,89987,90283,90313,89259,89857,89299,88891,90273,90871,91307,92067,92561,91533,92267,92308,91726,91488,91943,93423,94115,94009,90200,91687,90980,94258,93958,93729,92732,92022,96612,92126,92979,93195,93999,94834,96129,96662,96388,97493,98304,98798,97747,97822,94958
Hawaii,22664,22536,22215,22772,22698,22953,23198,23139,22963,22948,23206,23452,23643,23903,24038,23912,24064,24197,23871,23677,24365,24149,24228,24060,24943,24794,24453,25029,24760,25090,25034,24886,24656,24608,24490,24453,24963,24967,25004,24817,25036,24968,25003,24718,25697,25648,25586,25920,25625,25558,25544,25427,24666,24858,24812,24739,24607,24639,24521,24504,24763,24020,23987,24430,24885,24681,24420,23824,24239,23879,23598,24223,23968,24342,24296,24837,24614,24932,25418,25108,26300,25818,25627,24895
Idaho,12836,12834,13146,13455,13135,13488,13005,13226,13055,13219,13115,13115,13236,13308,13244,13253,13083,13137,12987,12999,12905,12776,12618,12566,12336,12600,12557,12370,12471,12372,12600,12744,12620,12527,12422,12221,12357,12341,12363,12176,12476,12440,12700,12708,12558,12564,13036,13172,12955,13413,13181,13462,13215,13383,13433,13528,13618,13753,13863,14003,13952,13333,13622,13826,13849,14026,13885,14175,14056,14599,14375,14340,14692,14390,14868,14836,14687,14572,14665,14583,14752,14538,14528,14240
Illinois,119114,118591,118563,118215,118143,118208,117926,118001,116664,115665,115454,116029,116018,116832,116604,116280,115042,115908,116430,117470,120064,119342,118353,118028,117641,116185,116099,115559,114738,114223,115171,113978,114564,115084,115654,114151,114349,113139,111390,113385,112047,111392,108687,109406,108958,108933,108425,109897,110670,110495,110406,110028,109583,109369,109164,108950,108639,109964,111740,109692,108884,103549,104349,106117,106870,107129,106712,107146,108847,106834,106981,107180,106697,108160,107965,110478,110600,110697,112318,112811,113477,112952,112050,111252
Indiana,43348,45061,45761,47474,50403,52119,52189,50503,46954,44903,43707,43596,45010,45697,46238,45715,45329,45137,45133,45372,44874,44785,43713,44755,42925,44306,44633,43870,43656,43123,43100,42330,41438,41004,41158,41789,43081,44058,44289,44381,43418,43348,43760,43303,43696,44133,44615,44627,45112,45347,45774,46651,46292,46964,46963,46715,45887,46058,46658,47163,46841,44756,45834,45525,44635,44970,44661,45443,45297,46007,46125,45687,45703,45864,46047,46563,46782,46733,47116,47241,47607,47097,47301,46729
Iowa,25963,26310,26387,26446,26375,26385,26497,26275,26169,26271,26319,26446,26645,26745,27025,26874,27394,27469,27507,27807,27831,27670,27981,27665,27448,27236,27643,27568,27257,27628,27634,27549,27427,27568,27548,27700,27968,28088,28077,28143,28098,28107,28044,28288,28556,28743,29001,28983,28929,28822,29063,29138,29133,29307,29387,29253,28889,29082,29230,29402,29106,27694,28168,28577,27967,27896,28156,27898,28273,28262,28392,28332,28203,28556,28364,28620,28527,28520,28568,28809,29045,28816,28715,28556
Kansas,27835,27856,28516,28860,28673,29062,28936,29213,29274,29794,29988,30558,30528,30694,30847,30352,30111,30099,29915,30253,30259,30456,30153,30593,30190,30827,30774,30496,30397,29977,30392,30112,30085,29897,29728,29256,29610,29583,29572,29389,29283,28775,28789,28452,28500,28788,28966,29160,28621,29456,28823,29453,28884,29145,29194,29012,29098,29314,29727,29847,29261,27970,27935,28456,29073,28880,28466,29015,28520,28846,28992,28438,28649,28565,28920,29139,29152,29240,29494,29476,29777,29535,29365,28887
Kentucky,37474,38146,38242,39147,38948,39226,39697,39583,39119,39441,39999,40697,41393,41861,41530,40971,40242,40286,39871,40650,41866,42156,41966,41430,41221,41258,40841,40839,41028,40938,41048,40878,40821,40699,40373,39893,40143,39747,39412,38935,39285,38998,38895,38522,38530,38175,37945,37886,37489,37557,37642,37890,37667,37829,37773,37840,37542,37895,38007,38358,38435,36738,36688,36552,36181,36412,36369,36325,36478,36994,36631,36492,36733,36550,36785,36746,36874,36892,37293,37419,37708,37422,37291,36338
Louisiana,43066,42869,42713,41099,40638,40678,40608,40008,38810,37725,37407,37324,37535,37543,38822,38704,40462,41103,41792,42339,42646,42383,42860,42310,43006,42577,42356,42699,41548,41713,40822,40653,40219,39892,39083,38742,38696,38210,37996,37997,37681,37445,37170,37011,37314,37361,37355,37003,37718,37490,37980,38000,38008,38217,38102,37900,38153,38077,38234,38047,38516,36323,37302,36837,36907,36826,37079,36292,36938,36569,36612,36849,36829,37275,36708,37475,37479,37407,37390,37505,37554,37143,37017,36409
Maine,12261,12434,12253,12347,12471,12289,12500,12170,12405,12285,12329,12255,12447,12455,12404,12397,12073,12292,12232,12227,12122,12225,12004,11793,11799,11484,11459,11339,11408,11283,11274,11185,11290,11185,11033,11199,11294,11426,11324,11349,11048,11179,11223,11296,11540,11694,11746,11560,11635,11347,11429,11331,11445,11414,11411,11358,11239,11324,11305,11558,11378,11051,11403,11358,11357,11541,11511,11671,11837,11871,11940,11635,12018,11869,12031,11872,12250,12096,12198,12529,12273,12118,12146,11824
Maryland,95066,97170,97054,97590,97480,97776,98741,98834,98644,98943,99501,100571,101025,101726,102044,102703,102402,103651,104116,104889,106058,106362,106303,107796,108483,109527,110567,109558,109969,109217,108880,107845,110016,109322,108894,108183,109318,110068,110259,110043,110385,110056,110960,111407,111236,112223,112334,113454,113797,113900,113724,114579,113845,113527,114024,112893,112707,114036,114132,115845,116367,115640,115266,116400,116275,116430,116549,117305,118948,119431,120985,120646,120497,120119,121136,121273,123626,123732,124915,125325,123346,122062,122722,116028
Massachusetts,69727,69115,69812,70964,69613,70597,70803,71146,71212,72379,72367,73011,73452,73450,73483,74164,72595,73380,72775,73181,71362,72074,71715,73693,74466,76847,76468,74758,73223,71014,71647,70766,72069,72165,72197,71843,72622,72217,73071,72316,72799,71807,73346,73163,71497,72392,71734,72526,72257,73143,72644,73713,73626,74040,74163,75120,73953,74022,74265,74456,73126,70235,69996,71700,69304,70574,70524,72033,69378,71664,71606,69871,70226,68996,70419,71330,71958,71600,72415,72495,72751,72006,71784,70693
Michigan,85218,85291,84652,85101,83515,83320,82349,82331,80849,81359,80646,80171,81137,81959,81414,79421,79116,79097,79038,79792,79878,80070,79168,78759,77062,76606,76367,75361,76233,72974,74169,73586,74021,72838,72336,71511,71491,71205,71012,70904,71464,71409,71654,71043,70219,70566,70197,70816,70800,71214,71230,71513,70249,70702,70595,70693,70648,71145,71758,72728,72151,67931,68636,69581,69097,70346,70838,69587,70673,69961,71617,70642,70117,70982,71582,72116,72420,72612,72467,73334,74637,74097,74318,74025
Minnesota,47665,48109,48348,48131,48490,47529,47992,47452,47138,47006,46900,46718,47867,48174,48298,47150,47243,47041,47145,47816,47057,46890,47880,47556,46263,46136,45927,46183,45439,45841,45651,45818,45772,46113,45608,45606,45553,45704,45411,45781,45674,46394,45694,46578,45685,46095,46748,45910,46400,45812,45843,46058,46138,46762,47127,47049,48034,48280,48973,48518,49025,44955,46375,47017,45850,46343,46976,47608,47118,48154,49063,48671,48073,48485,48238,49169,49588,50103,50405,50924,51576,51295,51029,50485
