Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
United States,2209475.2120688446,2209826.4201638657,2233507.8802852733,2278211.6535229306,2347976.6329695783,2342557.993789256,2343260.409979298,2397597.319537528,2390272.122127092,2436430.900329836,2476117.4150671954,2521222.5689848764,2432015.7128495737,2484395.8915926875,2422708.6983315204,2274122.5878451876,2150121.0440103165,2154235.195980561,2185919.183409944,2270309.4713849607,2296349.043001509,2305681.1438120636,2334555.46648128,2341830.4913067124,2328258.807063406,2346421.2828344856,2325148.106793221,2343711.9632443246,2366139.1087406576,2356129.6780325626,2317747.650505281,2304150.879969473,2391125.0560721434,2401611.126337766,2429632.515061932,2433771.753324678,2392228.8529422088,2440168.7579125585,2460513.741131268,2453941.132495877,2471225.5880294046,2458155.629636128,2459736.0660637217,2431714.6773395557,2437534.6971999016,2432642.8701621112,2448121.112635531,2428980.2714568935,2452260.3508982775,2496462.398285905,2510887.0164742623,2574907.2349380683,2603079.141417243,2618080.7443331345,2635390.2861591633,2669357.1262061824,2624427.5763360118,2641160.1334345066,2663587.27893084,2652875.432032703,2585543.8229587004,2332673.9945436683,2605060.9585248604,2657315.705805467,2692963.327450086,2726930.167497105,2720959.6298817503,2797798.943813818,2741731.080072985,2704201.9864907544,2697077.479420331,2704678.6260482827,2645048.508772238,2691307.6321449876,2763204.946454262,2802163.9587090774,2751690.338196077,2816789.267237447,2840696.503991368,2822207.906417769,2779661.55433524,2859737.0
Alabama,35807.20712711242,35605.60386970365,35608.07248101886,37213.904141562576,37809.25090374724,37811.719515062454,37289.608221895665,37103.63950281656,36220.2880871908,36856.77837129562,37433.61054861621,38146.21634827333,37572.67565270634,38412.003499877545,37486.68569189321,34368.82960078374,31241.09906441342,31152.64049228508,31768.55901542983,32769.99233896645,33083.094540778846,33515.512956159684,35299.90750183688,35602.72382316924,37304.831325006126,37790.73631888317,38012.08846681361,38746.08889786922,38432.57526083762,38354.402569189326,37486.27425667402,38036.36314474651,39894.40459466079,40701.64049473427,40957.55320107764,40442.84774185648,39344.727141807496,39327.03542738182,39152.58689444036,38656.80745530247,38142.51343130052,38497.170590252266,38621.01259123194,38701.24245897624,39542.62748224344,40079.9618785207,39768.916852804316,39817.054773450895,40472.05964241979,40918.466855253486,41223.75178790105,41960.22083027186,42511.95545922116,42203.790480039184,42441.60003673769,43306.84830271859,42945.19674504042,43230.321351947096,43503.10290227774,43666.031249081556,43597.7330026941,37418.79888072496,43389.1353465589,43563.583879500366,44133.83309331374,43964.733218221896,43155.440142052415,44122.7243423953,44551.851276022535,44636.60693117805,45423.68250551065,45818.66031594416,45288.32031839334,45872.14689444036,47367.30248101886,48296.323205976,46992.48499632623,49068.58711241734,49431.472975753124,49691.08859906931,48949.27089884888,50396.7
Alaska,2069.1124190573632,1886.02223044924,1974.6013570091945,1960.13809857164,2060.047888423688,2075.621996203605,2000.9507034100238,2149.93781720763,2055.182368304142,2229.8078849234657,2276.3524723684386,2431.071568772634,2127.454226518221,2172.5769268049703,2104.1708243023113,2198.4819334688545,2019.8795762038742,2394.6801443168506,2221.8097696584587,2035.0759952073877,1791.9999421117109,1584.0711622083707,1465.4991034046388,1353.9031784709412,1313.2905265141826,1274.5663184394393,1171.0573767181377,1160.7042608473228,1238.9747055101573,1161.903978137074,1115.2705227447125,1209.0262072400747,1430.0630093832874,1562.80950579556,1777.0923439372114,1739.656721099608,1818.1715526177622,1943.2087545940412,1927.9012506562913,2032.8320795358165,2120.4336586744926,2183.729854202286,2331.20621289428,2228.6081676337153,2162.090509013072,2069.756711675933,1950.2071054509227,2039.8970813532394,2359.488437150819,2198.5708014162437,2271.3758673146563,2057.3596330151718,1824.1034881059757,1603.9553654366525,1506.2006233087868,1559.5658257158627,1603.2222048706938,1697.466663076695,1846.8981166112462,1792.6220177434336,,,,,1637.369713654905,1781.0691845828676,1709.10836418465,1753.0313471816478,1667.4959478197654,1709.9748266716927,1636.0366944440702,1612.0423486490488,1691.934633351732,1622.5509834277943,1842.0548134785474,1759.2076695251815,1563.7426192431442,1651.8107551056123,1538.3486032767464,1627.6164564289656,1601.4448459229138,1650.3
Arizona,21503.66048685201,20882.718672382103,21210.080871151746,22084.840500010174,23064.834369934277,23551.84169577514,24241.843480944404,26372.53790161221,25844.871891723244,27368.675660790712,28361.524849935904,28514.592836940526,27890.362452437308,27787.8188595807,27528.021826949815,25622.444973107158,23125.52343509431,22493.520066876023,22633.732734659545,23579.346099690032,23857.678708872267,24439.456643854664,25425.429732021134,25536.643191329178,25644.867041516038,26053.247647469765,25846.66565719595,26659.241416333756,28901.448257221728,28896.664882627832,28100.233012744426,26821.57719161404,26403.330875560405,25131.551155408753,25075.944425754726,25440.078816714933,25893.90148131066,27148.042507647333,27844.621432883196,28148.365719595484,28493.665573092236,28515.489719676876,28385.441722905376,29015.053403826714,29690.705065214297,29725.085570107905,29590.254198742514,28620.72396074255,28968.714462448363,29064.97987615049,30390.572560483455,31160.39690918833,31910.788798605507,32597.80097465358,32894.37019947503,34721.32033343055,36607.16576707339,37585.96379334902,38613.79140921207,39540.27127586697,39013.50214871437,37041.55597238142,39819.50076778557,42093.09850444597,43004.03240367072,43543.357889132305,45724.57670394812,44300.6258795282,44749.36620861792,44424.694658057335,44421.70504893615,44690.47090893059,43627.365905437575,44279.69861567991,45071.34711096942,45031.58530965769,44049.797674260866,44894.96017281957,46181.09001675292,46654.64410154845,43298.50890210734,44077.9
Arkansas,23313.70418620678,23432.6269132503,23925.39714924445,24753.84997646782,25292.586798446875,25098.388515455605,24307.046326458578,24019.64973610341,22899.161488746577,22588.35989360093,22418.19918309717,22358.73781957541,21529.863280554015,21770.660717227234,21040.677594843095,19340.757336997627,17159.663917603753,17258.34447834199,17705.780696048278,18597.068581177617,18729.907797556018,19239.96821726926,19769.63823559074,19829.099599112502,20278.433519909904,20416.12242196561,20149.600565612764,20232.256078025985,19488.989034004,19432.690508967444,19102.490171112568,19044.083087085874,20643.846792900007,20811.688088514613,21314.579407661407,21492.120074630628,21348.94891920058,21872.9258282487,21914.042728556302,21711.831921402518,21438.773532180257,21363.287120333483,21232.76731884423,20975.101410249947,21315.211975358445,20935.88221303347,21067.667149916797,21025.495970114134,20928.080544769975,21096.34355218261,21069.986564805946,21247.948943573196,21997.541664565582,22144.29737027886,22307.9215479132,22599.324400349622,21763.702472559795,22137.54998151043,22403.860981964266,22681.979912762847,21896.541688938196,20782.16826265275,23047.18232985393,23844.42848402333,24685.32180928849,25588.206768863565,25624.05227169583,26083.507275645876,24590.014942934464,23788.76252668381,23416.601864925287,23501.15508042963,24098.08813053637,23807.10698989797,24459.073429647186,24686.58694468257,24334.246737431295,24781.893811036593,24976.935517623922,24695.44289244113,24362.501427899082,25088.9
California,223613.3382861086,231676.57001265028,238605.69944710325,241493.11715218372,255566.75449792552,246588.1642448315,245228.58760980528,251329.85602392053,250300.07768154916,260116.62482108257,273981.6142673897,288395.1457718881,281264.09901540144,304992.7496430499,308452.2664272255,279679.0480374377,295081.97441990074,269202.9043125945,266251.54612220346,270888.91395157506,270330.2760272821,265692.90819791047,256101.83540131457,269186.07786909177,257198.91951769713,257047.48152617193,256286.9262798454,252204.83108606611,263569.4110278571,263142.019362886,268987.5258357587,262351.1765182544,271629.2774656983,276848.8402402668,283024.14500579436,289993.65790465404,284885.149657204,288549.9490521138,300368.8429684804,296818.4633893897,299164.06961368,309236.37869445595,303262.991250962,301516.4064153714,314139.60433117184,306988.3658424819,315233.32315885386,314678.0505232615,324073.9365752249,333473.1879158889,339136.96879893134,349434.75222264486,350969.3238701002,358807.0812537044,372086.51046611404,378457.0019762741,374102.3183977495,380866.548685875,384087.1299723109,384282.3167169434,371642.2923576401,345473.8074220858,384632.3067418016,383989.53659999464,402703.90706380864,409727.26458187733,396175.2469847224,407169.64516945183,386187.07012146036,381741.52374802064,367476.0649463469,366584.2634406985,359305.1439813873,372725.91531922045,376296.48663051456,388398.0647977282,372301.8889429499,368902.9473553843,380920.393305084,371177.8825169629,372658.60954520927,380415.6
Colorado,19392.02449206056,19505.37517503765,20976.3461386034,20990.062088826657,21446.570318898783,22092.772728473672,22263.316335966607,22859.313191894107,23802.867050648634,23843.75610980475,24464.079368015005,25346.558429548993,24063.470104890486,25354.580966472033,24711.742846574547,23488.17657005469,23019.76393035483,23663.637216306903,24600.20370419298,25293.5061692515,24898.072736399907,24357.716055906367,24783.169304340936,25517.87841158287,24658.431794763404,24926.022219873706,24939.22058706967,25072.75700811118,24842.691352479593,25068.616343892834,24742.280245184815,24868.82929535787,25205.775846125394,25245.62973922693,25482.941557240614,25666.16594890222,25187.4016486565,26142.601125525114,27153.958360854976,26695.897381700972,27242.72385003567,26492.22846046131,26273.549631430156,26478.253718724405,26938.902613014874,26267.338635102646,26200.570424581896,25450.59261803482,25785.986419720466,25423.16071758831,25860.25958413697,26447.198737086845,26594.19231683796,27253.33430209517,27449.498269439086,28343.10536605987,27785.927237179316,28150.82327142065,29096.96504531163,29406.479695632646,29899.736320642554,28801.166345213875,31010.21070569896,30958.969985996988,30240.564744114774,29834.262067690033,29573.659013448178,30522.129910961983,29995.23038917805,29656.213506301356,30706.130677164525,30264.11477185659,28908.82361489075,29510.513884118467,29791.302676424744,29761.02406932812,29080.14359692462,29548.81502813813,29477.388570371742,29615.583238658885,28717.576686306114,29385.0
Connecticut,47785.28627604869,46562.09430096714,46305.43786656202,47665.105882160584,54204.41307728154,55022.92982774549,55308.78262902738,56389.72718874419,59727.958299201266,57681.496676722345,56252.23267031287,53963.373304229106,64641.095757813586,61268.23639827009,49857.88883166148,43647.889495499476,40799.20676918549,37334.00541207826,36295.1579394861,36111.49242227291,37762.784614001095,38793.484263278806,40225.12471815499,37921.66716863283,36350.155746858625,37797.4128630875,36732.76394999959,38112.12253860806,36087.04895232956,37220.95436359029,36968.711333480496,37570.971273473464,38108.72761222704,37699.97847595222,37714.57665939061,38299.18298220228,34327.458609046844,35503.46110743221,36049.704762138346,38305.29384968811,35959.060227765105,36106.40003270138,35523.151680442126,34794.600479075205,34147.86700349087,31912.30798158912,31835.58264537807,31628.831628773947,31323.967239758334,32707.399740024037,34417.76365078197,37347.924610240436,36122.695679330274,36886.5541150598,38555.8394166074,38869.530614213654,38426.153228852425,39571.94088244672,39682.615482467976,40702.451367326415,38449.23872824336,34918.51529198244,38363.34709080355,39134.33487193322,41081.66464408637,41427.94713495042,41568.83657976275,42159.89326269836,40366.01416296732,39448.70505481569,40525.91519551337,40947.904544674166,40382.30980959622,40911.91832503536,40852.16762072941,41364.122518987235,40247.19173963162,41355.29571039658,41104.0711582011,40991.35960235123,40614.18328141989,41526.4
Delaware,5524.937347550352,5682.872144400308,6436.8035225768035,6862.175923567686,6041.915975139224,6298.939184865591,6649.287501821477,7061.768298075887,6911.164021566281,7307.264896508467,6842.661572868556,7384.513414301916,6025.384387888926,5983.322367729143,5720.99085017011,5525.7967878661175,5387.679673591444,5320.542218336407,5487.374750220162,5374.535292291513,5077.320608974968,4953.965646006373,4926.261334651132,5217.004937943095,4711.401255709932,5221.959358586915,5278.935195990852,4809.12467514366,4718.226222923359,4404.479952356515,4255.847333041898,4202.56203346448,4294.319926000545,4488.603992676081,4702.503520676132,4787.537556624155,4380.769510703945,4544.669834451562,4541.636515690038,4634.506625105329,5250.472554945229,5484.038099582486,5292.281798541553,5065.035667990802,4393.610560127725,4299.779899771286,4398.211093582701,4470.353524794252,4771.107079999239,4999.212650865756,5062.255125792738,5389.550220161051,5056.694041396613,5223.374907342291,5390.308549851431,5733.32634646697,5949.146976349319,6049.853159231877,6326.694051533525,6178.213098156983,6287.210352321036,5803.497120483531,6376.9460323494195,6495.953238426498,6056.930903008763,6042.168751702686,6248.3333168608515,7144.072347138541,6815.311148702159,6881.5891636414335,6828.303864064015,6934.015022903086,7233.201363414619,7238.105228745748,7205.699273310145,7090.129828496127,7341.541398513676,7752.050537573097,7990.570502854174,8012.915951064058,7711.808508670229,7979.6
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
