"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"1990-01-01","91046.0","1311.4","162.0","1207.3","757.5","10450.3","1227.6","1432.8","297.6","410.1","4517.0","2470.3","414.2","297.4","4512.0","2144.2","1001.3","872.6","1203.8","1245.9","448.9","1755.3","2634.0","3272.9","1780.3","726.6","1978.0","223.4","579.0","535.3","447.6","3119.3","425.3","6805.5","2632.1","195.2","4125.8","926.8","1016.9","4488.7","398.5","1243.4","221.5","1848.2","5758.7","563.5","219.5","2326.8","1731.3","479.2","1932.6","140.9"
"1990-02-01","91258.0","1309.3","162.7","1208.2","756.5","10451.5","1231.2","1429.5","302.4","411.3","4531.4","2475.9","418.2","299.9","4520.4","2145.4","1002.8","873.6","1206.2","1247.9","448.8","1766.6","2630.2","3312.5","1785.8","727.8","1977.6","223.8","581.3","536.6","446.0","3116.9","424.9","6801.9","2641.6","195.5","4148.8","928.6","1013.8","4492.8","398.2","1247.8","221.8","1850.4","5766.5","564.0","217.7","2330.0","1731.5","480.7","1939.8","141.4"
"1990-03-01","91350.0","1306.5","164.7","1210.2","757.7","10447.5","1234.7","1428.9","303.1","413.0","4535.9","2483.8","417.6","301.9","4527.8","2149.9","1001.2","875.9","1208.2","1251.9","449.7","1772.8","2625.6","3322.4","1786.1","730.2","1975.7","224.2","581.5","539.2","445.9","3121.8","426.0","6801.8","2644.3","195.9","4156.8","930.2","1019.3","4495.5","398.9","1248.7","223.2","1852.0","5776.9","566.3","217.3","2332.8","1740.3","485.2","1940.8","142.5"
"1990-04-01","91311.0","1316.4","166.3","1213.9","760.9","10468.0","1236.9","1419.2","300.6","410.6","4525.9","2476.3","420.3","303.1","4520.8","2138.4","1001.5","876.3","1207.4","1254.1","446.3","1765.5","2602.5","3326.5","1785.5","732.4","1972.8","225.4","586.4","541.5","440.4","3090.2","430.2","6770.5","2642.6","196.9","4166.9","934.6","1022.4","4475.4","393.1","1252.3","223.4","1852.2","5800.2","570.3","215.1","2328.4","1746.5","485.8","1946.1","144.0"
"1990-05-01","91240.0","1317.2","167.1","1212.1","761.2","10462.0","1244.5","1415.6","300.6","409.5","4523.8","2475.0","420.7","302.5","4521.4","2135.3","1001.4","877.8","1207.4","1257.2","444.2","1757.4","2593.4","3328.1","1783.4","733.4","1971.7","225.2","586.5","541.5","437.4","3076.1","432.7","6761.6","2631.7","197.6","4164.4","937.6","1023.4","4472.3","391.6","1252.5","224.4","1851.3","5815.1","571.2","215.8","2324.1","1748.9","485.4","1946.4","142.1"
"1990-06-01","91301.0","1322.5","168.4","1213.3","765.6","10459.3","1243.8","1413.6","300.7","409.7","4531.8","2483.5","422.5","302.5","4527.8","2141.2","1002.5","880.6","1209.9","1260.9","444.1","1761.1","2588.2","3336.5","1786.5","736.4","1978.3","225.9","589.6","543.0","435.9","3066.6","434.1","6743.0","2630.0","197.6","4173.7","942.2","1025.2","4474.9","391.0","1257.4","224.2","1854.7","5842.3","573.6","215.3","2324.1","1753.5","486.5","1953.3","142.7"
"1990-07-01","91264.0","1317.7","167.2","1210.5","766.5","10483.4","1245.8","1410.2","298.6","408.1","4522.4","2480.6","422.6","302.6","4531.5","2154.5","1007.5","879.0","1215.7","1263.4","439.4","1755.4","2573.8","3337.1","1789.2","737.3","1975.3","225.4","589.4","550.0","433.6","3057.5","432.2","6734.2","2622.7","198.0","4173.1","945.1","1026.5","4473.8","390.6","1256.7","226.5","1849.0","5863.2","574.6","214.6","2320.7","1755.4","485.1","1953.1","143.4"
"1990-08-01","91160.0","1318.2","167.2","1209.6","768.7","10472.5","1251.2","1402.2","302.3","409.9","4522.9","2482.6","423.9","305.7","4533.4","2158.3","1010.9","878.6","1217.9","1270.0","433.5","1757.9","2567.0","3330.0","1793.0","737.1","1980.3","225.3","591.0","551.3","431.2","3049.8","432.2","6726.7","2619.4","198.6","4177.2","945.4","1035.5","4473.8","389.9","1255.4","227.1","1853.0","5880.2","577.6","213.4","2321.1","1760.7","486.3","1955.4","143.7"
"1990-09-01","91083.0","1317.4","167.3","1211.4","770.4","10467.8","1252.1","1397.6","300.9","408.9","4518.8","2478.7","424.4","308.0","4529.8","2157.0","1015.6","879.4","1219.5","1274.0","432.9","1756.4","2555.9","3326.0","1791.5","737.9","1979.7","225.9","589.8","550.5","431.4","3029.8","432.4","6712.0","2619.8","199.5","4180.6","949.2","1027.9","4471.8","389.5","1255.6","227.4","1849.0","5897.3","581.8","212.3","2317.0","1762.2","486.1","1956.8","143.5"
"1990-10-01","90924.0","1316.0","169.1","1210.8","768.7","10491.2","1250.5","1385.9","298.6","404.3","4503.7","2466.4","428.6","308.0","4513.8","2155.2","1015.4","878.9","1216.8","1270.6","432.1","1741.5","2534.8","3309.8","1789.5","738.2","1973.0","228.8","589.6","550.9","426.5","3004.0","431.9","6665.8","2603.4","199.8","4162.7","942.9","1023.3","4455.3","387.0","1250.7","227.9","1841.9","5893.7","583.9","210.9","2303.8","1752.8","485.1","1954.3","144.0"
"1990-11-01","90763.0","1316.5","171.9","1211.9","769.5","10467.0","1254.8","1379.6","294.9","403.5","4491.3","2464.6","430.2","307.8","4512.7","2145.0","1015.9","877.4","1214.2","1272.1","428.1","1738.6","2522.8","3282.9","1791.3","738.8","1969.8","228.7","592.8","551.5","424.2","2986.9","432.8","6639.8","2605.5","201.0","4148.0","945.2","1025.5","4446.0","386.8","1248.2","228.3","1837.9","5896.5","585.6","209.9","2300.6","1756.8","483.5","1953.5","145.2"
"1990-12-01","90699.0","1316.1","172.0","1205.8","769.5","10459.8","1254.1","1373.7","294.9","403.6","4481.9","2456.4","429.5","307.9","4501.6","2143.5","1015.5","880.1","1214.1","1269.0","426.5","1735.4","2513.9","3284.4","1791.7","738.2","1971.1","228.2","592.7","549.8","421.5","2976.1","432.6","6619.4","2597.4","201.2","4142.0","945.6","1024.3","4440.5","385.1","1240.7","228.7","1834.4","5889.0","587.1","209.2","2294.1","1757.1","484.6","1952.9","145.3"
"1991-01-01","90582.0","1313.1","172.3","1217.1","764.1","10437.8","1256.1","1372.4","299.0","403.5","4452.9","2441.1","430.6","309.7","4500.7","2139.3","1014.4","868.8","1206.8","1273.6","428.4","1710.8","2474.0","3270.7","1792.6","732.0","1937.1","227.5","595.8","549.5","417.3","2967.3","432.2","6547.2","2585.1","201.2","4124.1","946.6","1018.9","4426.1","374.8","1230.6","229.0","1830.3","5880.3","588.1","207.6","2279.7","1760.2","484.3","1953.1","146.1"
"1991-02-01","90253.0","1309.6","170.5","1212.2","766.7","10386.6","1254.5","1362.3","293.0","402.4","4433.9","2423.7","429.6","310.1","4485.8","2126.3","1011.8","869.5","1204.4","1272.7","423.5","1704.6","2455.3","3249.9","1787.4","728.7","1930.6","228.2","594.3","549.0","414.3","2957.4","432.5","6514.0","2569.8","201.8","4094.5","949.1","1018.7","4411.9","371.5","1224.9","229.7","1827.7","5888.2","590.0","205.1","2262.2","1763.3","484.6","1949.4","146.8"
"1991-03-01","90088.0","1311.6","170.5","1209.3","769.5","10342.2","1255.4","1361.0","299.0","400.6","4424.7","2422.4","428.6","310.2","4484.5","2117.7","1013.1","873.3","1201.1","1274.2","421.3","1701.6","2448.2","3231.6","1787.2","728.4","1934.9","227.1","594.8","548.0","412.2","2951.6","431.2","6497.1","2560.3","201.5","4091.5","949.8","1017.4","4403.0","368.9","1222.7","229.8","1827.7","5900.4","591.6","204.7","2259.6","1764.3","483.8","1950.0","147.5"
"1991-04-01","89882.0","1311.6","170.5","1203.9","769.2","10354.0","1255.3","1358.0","289.6","398.1","4411.3","2412.7","427.7","311.2","4481.4","2130.3","1015.5","873.4","1207.0","1276.7","419.3","1691.5","2437.2","3235.3","1788.3","730.2","1926.3","227.9","593.9","548.6","408.8","2942.8","431.7","6477.0","2560.9","201.9","4086.8","953.0","1014.4","4394.2","365.9","1215.0","230.7","1821.5","5886.1","590.1","205.0","2252.2","1764.6","482.0","1950.0","147.5"
"1991-05-01","89753.0","1311.7","171.2","1201.2","768.1","10326.9","1256.5","1352.5","294.9","398.1","4407.1","2415.8","428.1","311.8","4472.5","2127.9","1015.7","874.5","1205.2","1279.2","417.6","1685.8","2428.8","3240.3","1787.5","729.7","1926.7","228.9","593.8","547.6","407.0","2933.5","431.7","6451.6","2559.8","201.1","4077.6","953.9","1014.4","4384.9","365.0","1215.4","231.1","1827.9","5890.9","591.4","204.8","2251.0","1768.7","482.4","1947.8","147.9"
"1991-06-01","89776.0","1311.9","170.5","1201.3","772.1","10305.1","1259.5","1349.7","295.1","396.8","4402.1","2421.4","429.2","312.5","4471.6","2133.9","1017.2","876.3","1207.7","1280.2","417.8","1685.0","2430.3","3240.8","1790.5","732.6","1930.3","230.9","594.2","549.1","406.8","2924.4","432.3","6443.9","2556.2","201.6","4085.6","956.8","1016.2","4388.8","362.9","1212.6","230.7","1833.0","5894.4","594.3","204.5","2250.7","1767.0","484.3","1954.2","147.9"
"1991-07-01","89694.0","1318.0","171.0","1200.7","773.2","10306.2","1260.1","1343.0","292.5","394.2","4406.4","2408.7","430.3","312.8","4446.9","2131.3","1019.8","880.9","1205.5","1283.2","416.5","1676.7","2417.0","3256.4","1790.7","736.0","1941.9","233.0","595.0","547.7","405.2","2913.9","434.4","6409.1","2558.9","202.4","4090.8","952.5","1015.5","4376.7","360.4","1212.6","232.8","1832.1","5892.9","594.5","205.4","2241.0","1771.7","482.6","1954.5","147.8"
"1991-08-01","89746.0","1318.1","171.4","1201.5","776.4","10295.4","1261.0","1336.3","290.1","393.7","4410.2","2408.9","431.0","314.2","4438.2","2132.8","1018.2","881.7","1210.0","1282.4","416.5","1681.3","2412.6","3251.3","1794.0","736.1","1947.0","234.3","595.9","545.7","406.5","2911.2","434.2","6399.4","2565.2","203.1","4091.9","951.3","1016.6","4382.1","360.1","1210.8","232.5","1839.3","5892.1","595.9","205.0","2244.3","1771.0","482.3","1958.7","147.7"
"1991-09-01","89795.0","1318.2","171.1","1201.4","777.5","10283.7","1264.6","1335.6","292.6","394.3","4414.3","2414.7","431.5","316.3","4444.3","2135.5","1022.5","883.2","1211.8","1283.3","415.3","1682.0","2407.8","3257.6","1796.4","740.2","1949.0","234.9","598.3","548.1","407.6","2908.2","435.7","6387.2","2569.2","204.0","4095.4","951.7","1019.3","4376.8","358.9","1212.0","232.4","1844.8","5908.9","597.5","205.2","2245.8","1775.6","482.6","1958.8","147.4"
