Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1
United States,1233440.0806732445,1264425.8421358098,1292781.3107951246,1260092.7008125363,1275220.6854323852,1285179.3084735926,1255273.0313406847,1272119.0684852002,1254604.05513639,1220425.4526987812,1225077.8781195588,1230201.6276842714,1212686.6143354615,1206027.260301799,1192328.452118398,1157176.7933836333,1143477.9852002324,1138080.5635519442,1122253.1947185143,1161601.158734765,1168823.0609402207,1193210.2843876958,1195354.0490423678,1200812.2867092283,1200599.430644225,1195262.8250145095,1183859.8215322113,1206224.912362159,1209250.509286129,1183981.453569356,1214328.6468369123,1214723.950957632,1257462.4080092863,1253311.7147417297,1258921.9924550203,1276178.5377248984,1279781.886825305,1292386.0066744052,1313230.6970400463,1309551.327916425,1333467.227219965,1359770.1552524667,1383412.3824724318,1390968.772780035,1422714.7344747535,1433935.289901335,1455798.6485780617,1475837.5266976205,1485309.6215902495,1505287.6836912362,1540880.2585606498,1550109.08937899,1574769.9849100404,1562667.5972141614,1586811.5565873478,1569600.623331399,1591129.4939059778,1604250.5499129426,1632241.1224608242,1639736.696749855,1595234.5751596054,1484290.9532791642,1648874.3035403367,1620625.262913523,1684208.4103308183,1608735.7312826465,1538082.7217063261,1556281.9152640742,1488396.0345327915,1501547.4985490425,1536303.8531630877,1601422.6050493326,1638429.1523505517,1643689.7379570515,1732085.8209518283,1783049.6445153803,1812058.8853743472,1809519.8165989553,1888884.7208357516,1901443.2286709226,1886148.0
Alabama,17280.89787441482,17821.412583496498,17955.654201616344,17845.85599120114,18055.004826480374,18250.552088117514,17715.35973393926,17878.38149338877,17750.25072719508,17465.209053478047,17481.37324244402,17597.282304785385,17235.55929560782,17162.62332100526,17141.925274158588,16654.831238366896,16297.247838558662,16209.527544779909,15894.522984199119,16479.98202357643,16466.97182270138,16824.16097399824,16835.199932316467,16594.314091872337,16894.53433327693,16544.835903696003,16480.967644854845,16610.47828083831,16811.54502163456,16470.32293504798,16683.611379696555,16608.309914025802,17034.689679067254,17049.47399824345,17042.377525038875,17068.98929955603,16980.87475726591,17087.124731078828,17438.400154705214,17263.748064170435,17251.920608829478,17672.583770456138,18066.83228182133,18168.548397753555,18596.50515684047,19116.518943331157,18988.38817713747,19515.892685344097,19430.537882633533,19618.594422554732,19868.1537302489,19932.416237601425,20271.864205886854,20209.57294109116,20461.6948641092,20315.822914904078,20691.147497723738,20786.555637474114,21188.886243322293,21543.512779295288,20949.183148412256,20929.076474332633,22405.931397906646,21809.236275955423,22556.33720499247,21279.957649447653,20201.68797086385,20214.30392322754,19556.30315775903,19381.25681871288,19808.81932928844,20750.284774428517,21223.777236578117,21343.037411266087,22421.109965594205,23171.56200697785,23341.088866864884,23212.56385215983,24367.1206176928,24553.600163568535,24464.5
Alaska,2763.802897502484,2806.2125930250795,2876.3420673789146,2762.3307736549486,2754.0618226815623,2761.2658329992855,2690.9484279415096,2732.0426085365216,2719.3572860205304,2647.160573923349,2662.9154312703695,2665.483817557558,2653.8947574812205,2618.877002980288,2619.5034386600905,2689.0064773341237,2642.3683409728637,2683.744417623787,2674.3165606427665,2765.964100597801,2766.8724323335136,2812.50827160709,2807.120924760793,2794.7488200847033,2788.8290029105738,2768.7830611569093,2727.1250884500755,2759.261238823919,2710.994369695174,2673.9093774508947,2721.894350523729,2747.2963173397006,2766.183353085731,2756.755496104711,2776.081036826603,2795.2812904125344,2781.4370618889106,2798.9146173553863,2869.0440917092214,2883.6713648325986,2898.0167419000645,2966.454839918434,3051.7753795074686,3056.1604292660822,3053.7486518988444,3086.5112379524894,3043.2871760461508,3060.451513672726,3074.421029332311,3112.195100824372,3175.778322324276,3166.319143559266,3231.9382810185266,3228.4615629956256,3267.1439662233997,3248.006356205448,3314.5025036164316,3316.663706711749,3399.2279293096535,3405.868147515555,3309.4596963940253,3185.237501089287,3303.1640178120156,3382.0949134670686,3426.8537427889223,3157.705652961988,2981.3953308817127,2986.281529184168,2892.3474989978563,2892.316177213866,2938.233912543354,3085.8534804886976,3153.8530735312056,3130.9881712184324,3345.4171044146615,3470.672918591073,3446.8683627585965,3446.7743974066266,3613.0930703940608,3633.2329774996947,3594.3
Arizona,26946.55809046716,27656.11268054027,28946.97739803522,28020.767389998204,29559.053242507234,29841.126290409415,29692.47929960907,30387.46065528999,29723.245016659253,29366.686548530317,29494.283311875275,29169.138260102838,28282.114060098156,27617.898421467416,26710.471693313666,25541.050595753644,24768.02147366121,24729.483364935193,24096.033443354634,24458.421205240444,25181.57748074627,25293.953310392717,25229.183379760758,25575.702508641745,26295.29643796281,26142.439401671385,25904.73375625209,28894.83760387649,27528.515917195313,26348.73163073418,26810.217386486886,26465.317505871702,27138.600934790917,26966.312919309905,27006.79412595488,27120.46535421397,28702.79475955273,28587.18043337468,29056.76243045639,28761.087697121497,29240.709033451156,29445.70586390131,30139.067971316428,30190.236216515677,30862.224246822254,31343.464831417714,31237.56599483446,31513.485899326603,31585.38052232808,32263.52169604469,32696.832531972497,32994.12651357319,33084.80441645793,32797.22592445204,33379.831450486505,33302.10753372816,33350.03728239581,33856.86198959089,34399.957857939866,34823.55320427288,34009.395176229154,33966.97087166522,36583.99991884953,36836.60264831417,36659.1330383826,35689.203327169016,34462.46084099971,34801.53142785802,33929.72816155184,33414.159513721446,33948.83529108827,35274.351921471316,36254.32097193286,36392.28092417894,37998.899053504676,39298.18386198178,40104.893348002835,40129.50592164298,41817.41031391184,42064.1837496196,41503.6
Arkansas,9677.893598443505,9904.826507853651,9934.457875005932,9859.777193565225,9876.158762397381,10036.9631329189,9807.621169268732,9880.254154605418,9581.892786978598,9381.098116072699,9380.977663360698,9448.91299292934,9635.97605466711,9648.86449485123,9635.494243819105,9434.2177620652,9245.950173207422,9375.195933184645,9143.806273430457,9555.393190338345,9636.216960091111,10023.23152375077,9984.325297774403,9889.167655293502,9881.579134437432,9733.060940540026,9721.497480187918,9850.381882029136,9954.814383334122,9702.225046267735,10007.693123902623,10023.11107103877,10336.28812224173,10254.259825368956,10298.345517961372,10322.917871209604,10499.381094291271,10497.453850899255,10673.314810420916,10715.111901485312,10445.17737389076,10991.069064679921,11258.233179898445,11263.051288378492,11558.160432781284,11840.622042423955,11705.955910406683,12051.534741137948,11833.635785127888,11894.10304655246,12151.630944810895,12301.715023964314,12418.915512741421,12332.91227637261,12310.7489773644,12233.779694395671,12215.4708821715,12111.03838086651,12342.7893987567,12551.774854078678,12367.964015564941,12453.846799221752,13361.698889574336,12953.123290466474,13705.711835049588,13141.511332036254,12442.283338869644,12442.644697005648,12261.36336544393,12173.191980259098,12338.45310112466,12787.982622312911,13175.238091396574,13161.747387652447,13886.149997627295,14403.735301096189,14689.208228538888,14705.469344659039,15371.331936601338,15395.663384425567,15229.8
California,177234.16885393587,181347.133654728,186413.00317174324,183081.90890733936,185751.26378547717,185726.83033121505,183360.85751016534,184590.67470802597,179864.83742949204,172188.66054880572,174000.80840658047,173188.39605236464,166237.07831478826,164974.68317791144,161902.1763044484,154704.4879030622,151613.65593890258,149766.89402092315,148744.76118429063,154177.13251523787,156137.9172197739,159190.06288135183,159153.41269995863,162075.24660547182,161999.91012149694,158968.12567180413,158088.52131836736,159092.3290643033,162897.83956563027,158805.23597672326,163262.30525837373,163435.37555939716,170433.5240843093,171661.3051609814,170966.98783569917,175244.8784527607,173561.00622986213,176324.0226826715,179276.39840601236,178040.4728445862,182982.13896910226,186610.50692702882,186492.4118980952,188526.4969654176,191350.5970538823,190733.6523337635,194396.63435189473,195025.7957991446,199717.01901747385,201315.3741504549,207965.3459521317,205452.77240550917,208623.0130960207,205012.97022879083,210190.82641117417,209237.92169495104,211652.76142452503,215222.08186798473,221124.79719347798,222953.2340207608,213338.6697686121,189852.01185913826,213273.51389057975,211339.19876149434,217537.15165932165,208661.69939860245,200796.16324738463,204878.5862303491,195306.7805231591,198436.2987899004,205676.7457362454,213619.65449262664,215586.54756072818,218182.60207607967,228326.55783724124,235351.17593760398,239549.65782831362,239700.3307962634,251004.8756348762,252967.69646060074,250876.6
Colorado,19769.74895077657,20198.598938604606,20467.317021276594,19785.709810604214,20089.751107648866,20298.288899167437,19797.7458688349,20214.298144992455,20156.472734797215,19824.43451969424,20016.226491065776,20183.94634597595,20032.187350893422,19801.93232387166,19493.966225230048,19021.42011295584,18795.089887531034,18665.0481279517,18452.847188275966,19173.96406835776,19094.68307609913,19592.086265154096,19758.49785286528,19577.172019085643,19497.36771994742,19394.537918107017,19160.096436048494,19390.613116510056,19580.311860363214,19345.870378304688,19878.335128292514,19733.117469204928,20278.40323774283,20227.380816982328,20341.98502361361,20875.23473392083,20881.77606991577,21238.671361799505,21413.455859584206,21756.745172598472,22266.707726763718,22685.353230439654,23005.617040751742,23204.47365499781,24148.257612347243,24381.12917376698,24711.59746823117,25218.420181118847,25818.129865134622,25727.5977749647,26506.01675836214,26609.631520521933,27282.080860801405,26989.029008228248,27631.388202931008,27387.00389016018,27695.23164224159,28037.474341496665,28399.079395296754,28906.425415064023,28511.067067530064,26960.770436730127,29646.90464969083,29225.380958177124,29265.152281026338,27741.80595452554,26914.45777788597,27023.305608841714,26005.9970349092,26306.636837236478,26951.089259457618,28033.287886459904,28559.734607332393,28592.17963386728,29959.580510248798,30950.723740201567,31095.418092409564,31064.019679633868,32537.39019913336,32611.961429475632,32244.6
Connecticut,17594.862519316528,17845.112306945117,18414.874078325753,18004.96266148616,17145.318783169234,17731.87710892313,16878.083715837343,16952.064045211708,16702.19170824319,16379.848844540598,16662.74811426553,16705.40003885381,16286.241080842423,16274.162659720074,16116.765734469513,15641.177902777166,15449.810418120005,15495.67067331891,15304.303188661752,15915.395807320412,15785.364054925161,15888.219359795134,15826.50617687315,16043.917757075369,16316.814584308358,15961.444787849354,15961.067337189279,16369.091500728508,16753.336272683122,16244.910233564395,16574.047209148306,16641.610877301428,17241.946152147997,16829.581306017924,16713.32650271535,16879.404793147598,17075.30168572564,17236.09566691686,17427.840602234093,17207.031966091217,17470.115076162303,17720.364863790895,17933.247036072233,17888.519132853547,18305.979562894612,18179.72231710009,18372.977055057618,18413.553001015494,18253.513921144422,18790.060034438608,19214.314576360986,19232.24348271447,19544.58390392512,19511.17952050863,19849.752762594377,19450.221238906794,19649.13773676542,19441.35114839507,19802.571430085212,19618.941683959554,19194.3096913771,16767.679397765904,19398.69922380679,19038.61129409687,20027.154572828822,18737.594392688417,17749.051113956466,18103.47728376529,16796.743098591553,17200.049128879862,17729.234954302618,18351.839818093515,18575.66805951698,18727.591950196478,19789.73810764272,20385.35524923838,20725.62701929445,20706.37703563071,21595.462065433356,21606.030683915407,21372.2
Delaware,3511.6629242776203,3594.061573942543,3680.589895883817,3572.244437388237,3594.061573942543,3650.123823052626,3531.5710613834244,3608.2427127028423,3540.5706302120757,3495.5727860688203,3506.987823587412,3473.288139445493,3425.641071577786,3358.981927569898,3321.035693634373,3198.5870147233313,3192.587302170897,3156.1994351321086,3158.0305162357736,3256.9868141785173,3172.873960927185,3290.0631515617424,3331.9053027391074,3368.4100472951513,3296.8810067349627,3304.5559637013885,3261.8956699032365,3336.307689222387,3319.2046125307083,3245.2990624529966,3306.3870448050534,3293.959068803583,3401.720139712886,3422.1347460601296,3411.927442886508,3450.6528602704007,3398.564446746995,3439.3157410966455,3471.3791399969914,3455.7175526847927,3476.833424135568,3528.649123452044,3563.595501111352,3602.2819593228264,3686.161057539649,3714.7570900947567,3816.0119792101873,3771.520604308371,3848.4649698347166,3863.4642512158025,3939.16192322476,3932.57782308605,4033.5989571669697,3994.7177030934035,4030.8718150976815,3984.7051957818735,4031.689957718468,4051.792890686364,4124.997175660544,4102.673569864799,4025.1837759245946,3586.191821114026,4144.983231111185,4017.00234971673,4148.138924077076,3930.824660327222,3822.011691762621,3880.8010829419914,3617.5149957384224,3660.915513812524,3719.821782509149,3907.6829119106906,3991.600969299931,4040.2220164780983,4260.185503952403,4386.685936794959,4465.110750873205,4458.176018182729,4631.037866203184,4663.451897655296,4662.4
District of Columbia,1477.5080387184623,1528.5186024253305,1545.7121888166398,1480.731836166833,1560.120589657316,1527.3562808963263,1525.9965840133402,1531.588885709493,1550.8000868303948,1500.4255103752455,1509.4828460635242,1511.9171420959674,1468.7796619534865,1500.4255103752455,1498.2982426712185,1463.0119154982387,1414.3698560391524,1433.5152653753935,1408.6021095839048,1461.9592469436689,1570.4279692541465,1600.2316477054082,1633.3907071743615,1631.548537203864,1563.278595321026,1587.1829437477184,1587.753139214777,1729.4686433737556,1537.2469791903065,1584.112660463556,1654.5756618350815,1750.609736844702,1710.125858683533,1656.3520400209184,1654.7291759992897,1735.9381688653834,1773.3298331475035,1769.031436549676,1831.3581872181715,1785.018840222207,1877.982631947665,1893.3340483684767,1895.680622021372,1944.2349591009106,2045.8613358066839,2114.460236612825,2108.758281942238,2109.109171460428,2159.308303156482,2176.9624320404155,2294.8174489624753,2141.1497705901506,2315.47606934591,2239.9471005555174,2302.164198249578,2230.2099164257456,2231.0213484365595,2332.713516926993,2314.949735068626,2304.137951789397,2158.672315904763,1986.078534145066,2035.5100950200797,1952.5685851579228,1953.5554619278319,1854.670409582918,1776.3781858367786,1799.0544209498062,1705.213405428873,1723.1526320463358,1780.78623540904,1836.5557382063605,1873.3991376163085,1909.0144237125915,1999.478127620946,2078.384408023918,2116.784879670834,2118.7586332106525,2222.073665722715,2249.311464572212,2222.6
Florida,80605.3396515555,83074.25593263208,85605.523663577,83152.69807924064,84985.0261705325,85904.20722181723,83485.5743680538,85631.67104577983,82543.26294020504,80358.95085772099,81158.45735200036,80388.11524556263,78753.90385788465,78085.1342746195,76805.9238837725,73148.30738101262,72300.52879651259,70906.67219139155,69699.86993587551,73211.6644994272,72719.89258030443,74606.5267730945,75343.68181750555,76153.24499724756,74087.6018032226,74235.4350795233,73623.98860339519,75068.12863582939,75536.77017838812,74216.32737714432,76190.4547334593,76343.31635249134,79667.0508978918,79068.67811286509,79951.65509648432,81091.07755940071,82658.91482302532,83250.24792822819,84685.336943746,83887.84178655916,86441.23422552185,87372.48329936173,88867.91242765538,89508.52329162514,91418.28786097928,93376.32452055406,95851.27481290823,96804.6485947659,97610.18910032287,99830.70525047238,101369.37812625534,103457.1460282981,104891.22937526967,103544.63919182302,105994.4477705206,105005.8755895437,105260.30973174833,106290.11432312202,108214.96392067011,109186.43973636054,104198.32374689422,97913.90100129439,109488.14030023955,108721.82086798685,112349.26731435883,112382.45437638553,107774.48109740677,110065.39404579472,105172.81656822342,106372.57914391562,109110.00892684452,113451.48004106349,117573.71541219705,116005.87814857246,123606.72102123102,126512.09745138591,129302.82766726677,129114.7676491155,134691.1997381459,135709.94197551068,135188.0
