Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
United States,20320549.573775224,20420654.52024652,20580621.21862779,20694811.28319555,20973243.88556672,21027572.19822451,21059263.71394155,21240106.56950151,21303992.64086761,21434279.983259905,21557776.28656997,21693345.548248436,21600786.200757388,21729312.903387617,21615122.83881986,21142013.782758277,20902063.735186376,20864838.78021715,20938031.09032556,21164399.059733015,21266767.685898386,21472762.53805917,21638262.67569262,21751949.70032837,21700136.587330658,21847024.2474795,21842245.368125338,22087477.334983416,22272847.549931522,22372197.936504792,22404392.49215385,22430299.04865271,22651636.618739996,22712252.93054799,22905671.784408364,23105127.11745293,23025395.288228303,23322943.408016104,23606406.40970744,23725878.393561374,23939418.844702408,24087815.624647293,24184147.771628466,24228666.80561193,24369266.466610566,24447489.17603914,24620786.43261885,24757361.774161343,24877839.83787931,25017181.8990479,25214373.552398395,25498591.113987755,25706095.08594459,25842418.90752108,26003643.20573239,26040365.120769598,26203098.538776956,26421920.909204166,26731038.947428346,26913390.92278435,26558999.290678676,24467107.733387787,26366334.996716335,26665140.716334175,27037390.266026434,27497420.283855584,27724291.293195054,28199915.54891672,28128232.35860436,28172248.352655806,28375476.485190503,28571410.538710956,28778159.950769763,28959002.806329716,29293021.321188718,29540265.44777486,29602139.3594129,29864223.16399353,30110712.73068165,30249048.711986206,30200002.318614587,30485729.0
Alabama,254748.10027645764,257119.83069682366,256214.56855064357,259102.38299827112,259265.95061346874,260422.20444503837,260219.1549916896,261223.1217332476,260368.6219504047,262495.00094797416,264313.98563422397,264894.9326813053,263727.39832454966,264965.43596371805,262810.8556531834,255061.1348503704,251803.8832028999,252150.75935237078,253089.86307410902,254234.83638049263,255044.21406259135,258355.04820469563,263059.02720727643,262229.9086061021,259959.70291241055,260958.02939137552,262142.48453591022,265611.24603061914,265853.7773221191,266897.2259018283,264102.4757869856,263812.002263445,269621.4727342582,269009.50424291525,270777.72656582785,268377.79483249673,264601.6390264681,268149.3641974793,270165.7580744849,270219.3405691186,269426.88367479894,272041.1453866649,273532.99484251934,273135.35632971127,274886.6578648448,277046.87843797245,277619.3650911642,278956.10732571053,280760.9913554778,281093.7668484661,281742.3970466637,284455.3633539076,286499.9585438782,286643.78524000035,287159.86926726194,289585.1821822616,290363.5384200987,291925.891158366,294599.3756274587,296246.3323046213,294937.79138304,272639.0132215253,296903.42289670836,296951.36512874905,302205.2697341496,303962.2115318761,303902.9887746494,308257.27149646287,308491.34239407326,309884.48725454987,313406.8312438925,317250.67020103737,319811.34941826964,320998.6246941008,323971.0430806237,328345.06672151276,326943.46146714664,331495.15337971586,335581.52362836077,337203.0991238547,336610.87155158736,337651.5
Alaska,56978.83529400768,57649.753472851844,57294.19456195613,57975.5092001832,59298.631930982265,61096.52630693449,61882.49863628292,63874.46025404956,64374.183401721704,65388.18474020208,65443.632523577624,64305.56676979446,62837.58670492677,61449.31282866142,64128.8269602849,70059.66048959219,72843.13921504482,71878.34778431024,70205.210920953,69565.4821202576,67846.60083561554,69631.32636301607,70366.7025900343,69917.57554469234,67735.01217157225,69035.2626917289,70085.30508940338,72943.638322413,72842.44611775262,74898.86578369334,74632.02332619851,73174.43972071372,72480.64933122715,70006.98509538542,70549.68027517362,69775.4905997925,68792.67863946088,68793.37173675306,68953.47721124996,69417.15929972801,69975.10261994448,69295.17417630179,69255.66763064671,69386.66301887145,69962.62686868498,69154.47542598633,68823.17492031743,68847.43332554422,69123.97914512978,69160.71330161608,69892.62404217334,69061.60038883229,68455.8333554544,67872.93853271894,67791.84614953218,67572.13430790657,67105.67983025975,67126.47274902558,68568.1151167899,68363.65141559254,68179.28753586885,63218.79021563368,65172.631482329634,66950.42603680822,67050.92514417639,66614.27385009394,66825.66852421321,67496.58670305739,64677.06691841065,65056.191137240974,65183.02794171255,66574.76730443886,67876.4040191799,69833.71077233682,71162.37828147346,71642.69470496415,71005.73829343752,72137.56617159094,73032.35477581387,73461.3819996822,73794.06869993551,74152.4
Arizona,363225.5200350901,368761.44619625463,375259.19600648945,375994.7082087197,382792.7559003384,383680.59311486484,388346.0906343368,394365.1046916408,395522.77478509187,399574.62011217076,404113.9054785973,403217.36397765396,402059.6938842029,400814.98092658253,395731.67765909806,381169.4064835818,368265.3018704899,360923.23627781327,357733.1153060101,362903.4614376638,361567.35347266577,366898.72890303255,371250.8721114953,375402.8167323687,375428.9295916195,376939.1232849561,378888.8834423474,386505.13405715715,387767.25558761135,389303.5621401986,387775.9598740283,387754.1991579859,390086.947917722,389307.91428340715,390169.6386386828,392354.414529331,391875.6787764001,393020.2924402259,396075.49697256665,395897.05910101964,401197.9695289273,403073.7432517747,401972.65102003363,406485.8235272095,409684.6487854296,414872.4034899171,420434.4425103325,422223.1733690106,428768.7967545386,431332.2091043231,438669.9225537913,442086.3549724345,449088.953394851,450381.53992776445,454394.21596596704,456496.30113565456,459460.1106606177,465474.7725747132,474239.9889965571,480063.15660948027,477430.1099683603,453828.43734886695,486730.6400048451,497893.887334552,502407.0598417278,512408.28493477515,522479.1443191579,534686.9060188958,533825.1816636202,538495.0313263007,543230.1631371081,547060.0491605554,552260.8602946682,555951.4777354447,561974.8439359571,564781.9763054154,574522.072805955,580837.0326014345,587178.1052561647,593427.7829035171,587639.4324362617,592853.3
Arkansas,146065.21129137892,146346.0466146589,147031.09000439386,149969.30928264093,150095.92867695214,151802.04384901718,150568.31641726702,149732.30374969947,146602.53205441748,147410.94818732748,147545.68420947914,156110.3499067342,148295.66062193774,150888.1115541812,149772.8868889018,146623.63528680266,147964.50220604692,141682.23225752966,142396.49550749027,143646.45619492137,144396.43260738,147907.6858111637,150120.27856047353,149870.2864229873,149824.83330708073,150391.37393034497,150862.13834509172,152962.7216302032,153336.0865108644,153357.18974324962,152706.2361904446,151844.25031378758,156324.6288817224,156316.51225388193,157714.19556800943,157800.23182311832,157874.90479925057,158779.09714067797,159681.6661565373,160032.30447924524,158378.13572535914,158818.05695431217,159852.115341187,159964.12480538536,160571.2485678519,160772.54093829534,160933.25016953648,162611.76880694393,161616.67023370333,161749.78293028692,162001.39839334122,163962.37567959676,165312.98255224957,165200.9730880512,165960.6894539184,165900.62640789896,165351.9423658838,165455.8352022417,167265.84321066464,168749.562779901,167777.1907646137,160395.92940649792,171866.34787063824,172945.85937341963,176908.397085133,181518.64169851522,180617.69600822395,182367.6409706275,180956.97105195525,180216.73459290515,181859.54006781458,183815.64737736582,185669.48517612726,184992.55841423277,185701.9516874891,187760.32850783016,190399.85588154828,191950.13179907645,194260.12408247183,195935.39606874308,196342.85078633425,195810.4
California,2511138.6395429797,2532893.1301680556,2566311.585106262,2584953.4049029076,2638621.3228128827,2632327.570808144,2647856.7197763585,2667387.874095413,2654595.139042302,2687534.721545365,2721226.817875082,2764975.2353428057,2721192.6127011436,2776947.0462213857,2773731.7598711383,2673271.164012886,2662222.8928306545,2625383.9204985676,2618269.244319298,2631609.262155429,2659144.4271761626,2670021.6724887,2683772.1524120974,2740073.8687153603,2727178.5181404334,2739526.5859323395,2733369.6546233557,2747838.443199468,2785361.51901033,2798735.7420204007,2815804.123815861,2860270.8499362995,2855276.8945412347,2890268.7874806263,2930630.892728409,3007831.970308278,2975131.824022786,3010499.9738755045,3066322.8177436236,3073061.237009567,3143250.253931983,3182928.255700989,3190350.7784457086,3194181.757926854,3244976.44122597,3245865.7757483795,3294266.0968717798,3313694.6356690167,3346189.550910876,3391990.2788149277,3444324.19494129,3499565.5508524505,3506474.9959880877,3542390.4286238262,3581589.5579576897,3602899.381321561,3631802.753299847,3687146.724732823,3731545.040505384,3775122.432103414,3724019.902238848,3431599.8702360573,3708798.599836083,3766742.1644884082,3847876.837071239,3910745.946770751,3957093.9574578237,4016063.677328313,3947071.841493756,3926959.199217742,3925317.3508686796,3912969.2830767734,3934347.516788523,3983363.5310428212,4023759.841464543,4054441.882487646,4090288.904775507,4102602.767393474,4145769.6969042383,4171013.115271072,4171047.3204450104,4215206.2
Colorado,332026.9640233089,332773.24176704977,333763.8366292773,330707.6515834811,339480.8572018641,337295.32952376566,342106.1556932384,341830.7436687626,346961.4031569815,351590.1020199461,354637.4028068882,361020.7427935294,356947.31010894355,359927.9789544802,359123.9535281879,353784.5139568986,352745.0556709738,346757.06520333816,348742.69705722027,350368.516427513,350448.4747571995,351101.4677829729,354819.53011339647,361149.5645469133,358324.37023132265,359581.49285917194,360061.2428372911,362775.383917206,364467.8352289042,367208.62908538134,366573.4045773162,369771.73776477727,378282.8577469655,379326.7581623174,384053.1838726766,387971.1420273165,390063.3849874473,396260.15553815325,402989.9816201028,410923.6247767772,414957.0782965198,417942.1892714835,420563.0456334309,423521.50383183244,421717.9992844585,423743.61030318384,431037.58682236605,436812.3550775042,437687.454574629,439362.13736861903,446358.4912161903,453443.6876523021,463105.31915609096,461594.99515090097,462003.6710581876,466232.57827271963,474792.5616786052,483010.50111860945,494293.50986326404,494804.3547473724,493764.8964614475,456499.8726980983,488207.7925482338,492290.10949167376,503368.78028268495,511293.5391805054,518183.2819218279,528640.0545930549,532717.929407068,529515.1540901798,537893.0101895571,543889.8849160468,550308.7619381042,555825.8866864747,561507.3702236451,565922.8468741123,561520.6966119263,568450.418518092,572172.9229779427,575122.4969174901,573603.288653446,578591.8
Connecticut,327454.57407755137,328980.3694019341,329190.34123556473,334089.68402027973,345081.7095108441,342254.0888179513,342562.0475072763,347447.3921697493,358421.92000751104,356213.7162238287,355923.2551873064,352815.67204957275,370176.8431602666,365221.5078865834,351734.317106375,332707.36944887805,340819.2812881419,337393.2408694019,337729.195803211,341225.2268331612,339503.4577973899,342075.6127593653,342621.539526805,339314.4831471223,332035.45958125993,335363.5131443057,333599.7497418083,335846.44836165616,337029.2896911088,337550.7197446249,336269.891559478,336700.33381842077,332042.45864238095,329284.8285606985,331234.067082903,330768.62951835507,326415.2135010797,330835.1205990048,334936.5704159234,339807.91695615434,342810.51417707256,344959.2259412262,343188.4634776077,343272.45221106,342495.5564266266,341774.6531311614,341848.1432729321,344672.2644352643,345053.71326635993,349904.06262322783,351548.8419866679,353302.1067974838,352140.26265139424,348602.23725471785,352882.16313022247,349806.07576753356,348584.73960191524,350138.53117078205,352248.7480987701,355741.2795981598,343471.9254530091,315034.74011829874,338016.15730917285,341249.7235470848,338114.1441648671,345725.623133978,348098.3048540043,352056.27391794196,353925.0232372547,355135.8608111914,357963.48150408413,360763.10595249274,359632.7575814478,360787.60266641626,362047.43366820016,365151.51727537316,362376.38954088814,365064.0290113604,366922.27973899164,368238.10322974366,368556.56051075016,372735.0
Delaware,87611.16239062163,85490.15444905266,85266.74408457795,95513.95640367913,90750.95867475368,92233.25399755474,91576.00109957728,90147.47258648384,90863.12736397127,92855.2803650341,90455.24122136185,89044.32597351747,87598.18419517498,88426.00766188001,88149.75750165817,86457.03000982908,91322.92628836735,93053.66135257595,93428.17499260823,91030.91689081742,91955.14980941193,89942.60250121866,90547.94261740946,91622.35179760108,93117.62531584878,94659.24953212029,95679.8919026043,95600.16870200337,95865.2946946995,95081.04088413685,93671.97966421339,91554.67977848634,90166.93987965384,90473.78150057136,90954.90174605839,94418.22590239655,94966.09115303784,98280.16606173935,100353.89629132404,100695.03742877921,102321.01991545402,103866.35218756743,100490.16734351401,99608.57706710139,96632.8622539736,96437.26230831316,95335.96972326773,95118.12144255589,94502.58417279985,91850.39723187815,92359.32789617946,92093.27488952284,92781.11924819602,93399.43755983347,95436.08723099914,96123.93158967228,97528.35773979335,98974.49951813582,100352.0422634031,100990.75488217102,98458.15274215073,92692.12590799032,98536.02191483072,98035.43437617371,98739.96498613541,99323.0567672748,100220.40628101552,102642.69375973918,106794.78928871098,107631.88289502074,108771.18305244569,109214.2957255532,108301.18697448439,108762.8399268014,109933.65855888254,110634.48111300234,112130.68164521054,113528.61869760827,114489.93217462183,114860.7377588122,115092.4912489312,116005.6
District of Columbia,142579.99953346988,143224.600055102,142734.98545123934,142627.55203096734,142329.9086207055,142307.0129737623,144099.9182497773,142240.08723654365,144335.91953365356,145408.49253276273,149776.27748808422,149498.00731754358,152284.23143017202,152241.96254350763,152861.9062145855,152226.1117110085,150577.6251310968,151942.5579296348,151727.69108909075,152389.903646833,155530.12968527584,157902.47094931538,158501.28017706107,159603.79363755754,160158.5727750278,161141.32438997514,161416.07215329373,160588.30645611588,161468.90826162422,162599.60097989696,162488.64515240293,161632.70019744878,163163.18613542232,162023.6873990945,162523.86922462325,163242.4402979181,165104.03251476277,165574.27387890423,167108.2822240998,167798.67403961834,168804.3213015089,169853.99865367485,169077.3078612165,169528.17598563677,172604.99869408298,173515.54096097863,173143.9269990541,174301.0377714921,173689.9001184693,174854.05570535135,178304.25357933308,177633.23500353572,178894.2567890237,180621.9975314311,182751.29269715032,181927.04940719448,179642.7683237058,181548.3906308259,182959.1147232503,184517.7799190001,183739.3279229307,174323.9334184353,180939.01418141412,183996.46365013914,183420.55006933666,188048.99315908863,190350.88627868748,190079.6609225909,190224.07961869426,187515.34846495057,186758.03091221338,185893.2799392042,186233.19223613042,187853.4995582658,187941.5597388166,189038.78958848002,188816.87793349192,189435.06040095878,189829.57000982654,192997.9753060456,191795.07323972124,191775.7
