Geography,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2
United States,1.9334070428460908,2.2424448878290857,2.7972839649469146,3.352586639879464,1.2804883901746205,-7.502213252862936,-1.4132746193944288,-1.018663028139408,1.763763706841786,12.2385970689939,4.976330457356661,5.72262139680682,4.014938439473261,2.479369154593799,2.2965724156741505,1.31637701609301,2.2814164838608595,2.8291757632153423,3.236872978065338,3.1961779846273313,2.9019635306785214,3.0367366827349764
Alabama,1.2369349970010637,1.7556448996844656,2.6048265904469905,2.484878048780477,1.2810675886986445,-6.983528957155966,0.426945425653134,-0.04378992260607321,2.615074798619091,11.75975738944393,2.6461028129140347,4.090437233931117,2.0232321250011798,1.5500562220632301,2.473882156289184,2.216915532132913,2.70399003407465,3.0692643465688034,2.850048482541745,2.775714068332148,2.3804002711283996,2.771883406877325
Alaska,-1.9186741495633834,-1.17044399318346,1.0913326929758287,1.2419810110341272,0.913034497004747,-6.982963345379447,-6.076013342767615,-3.429817002078374,-2.212806026365335,5.774418062539549,3.4417072934491415,2.2445722924453095,-2.128906658851611,-1.153333543221151,-1.5231436686538236,-0.548310914878327,5.050904735423707,6.924301942881409,8.169841420768487,5.798298504997096,4.0058637293725905,1.1666931448089592
Arizona,2.3173095561155157,3.3292434328112974,4.351531750667974,5.192637802784656,3.510433736537511,-3.007863267042534,2.138262042636752,3.377000135986589,5.273753854882543,13.025372098403638,7.363181397521947,7.5120582302902745,5.944019471488174,4.586858624454156,3.220299266896527,1.7790139971940295,3.081770294885051,3.072757816450013,3.093076049943249,2.626285292962641,2.465097027874621,2.620377549567216
Arkansas,0.16126494650724935,0.24686986712302594,0.7588277285039597,1.5136275304434474,1.4765364225407391,-3.292649425061825,2.805733751298061,2.4828528277202135,5.204906930846338,12.935232529827145,4.969319361842716,5.6892635215048815,2.87923931435297,0.20302197308610087,1.5342554454376993,1.5169412496114232,2.7030167597765344,2.7944129670802678,2.0690876882196605,1.9054617989029157,2.6501536131733054,3.2364971524755557
California,3.545898713685276,4.017098965570475,4.169929148444509,4.8946463024036095,2.514668901927904,-6.84911173987662,-0.3813260245845121,-0.15131334547464642,3.2035793361323726,13.775245986535467,6.607653873404666,7.02087114337568,3.660512400519876,1.5922061552466678,0.35388147559943234,-1.686493636433024,0.9798533225701269,1.4879849736780923,2.3979082808683376,3.260944561355104,3.3923818109144532,3.929875201630014
Colorado,2.516784960675229,4.61026341613591,6.9705738154062145,6.182854637140963,4.139066651697161,-5.63853072635974,-1.3974513363409324,-0.6975554139098071,2.0321989434721615,12.354414588267414,6.324337626117624,7.340975662676747,4.822576384608607,2.5173709001639484,2.685628075228436,2.2007546407034315,3.0475358471864147,5.444191536710637,4.810878947500244,4.124603403518878,2.556348074179748,1.6225976006098828
Connecticut,-0.8855809510542387,0.3590952404834722,-0.2853067047075468,1.7598302234323573,-1.9084620867592106,-10.429472379638794,-4.295819424574798,-4.386448147638062,-1.316166537028706,9.77370617509877,2.8391396420711588,3.1318483461083524,4.536309141067401,2.771989387763397,3.0040275772961897,3.260208102634718,2.3512837811024148,3.0928548821016,2.770400713424727,2.7553692020829277,3.0281294224841653,2.6709903963312227
Delaware,4.828568866392305,5.94697044872685,5.259422037260322,5.256954039091401,0.7917724105810661,-6.725860987009102,-2.236427627871746,-3.1466284812101843,0.4243681629573536,7.370513927660532,1.3426940811852834,2.990124533237301,3.9581181331580497,3.3836485045732485,3.366805590519615,2.656691420736361,-0.6151483672824187,1.1714792299898726,2.009669504979072,1.9129405858940776,2.86755616956301,2.001984996289309
District of Columbia,0.3285267444376563,0.48251727801765915,0.1465328590295989,1.5105271827069324,2.215686274509811,-4.08412719970507,-1.2899126902380345,-0.46770006108734563,-0.4997122578169983,7.718059713569061,5.146133817032837,3.833023264734642,4.652059495464585,0.962414204294706,-0.6381005379335816,-0.8810898175940947,-0.8676829549117995,1.546573915631277,1.27692939551207,2.131921991036241,1.570296312126576,0.6328360396003363
Florida,2.5383076654172614,3.09131169512266,3.216132566946701,4.274646262688399,1.419561347020723,-6.82719573429803,-0.019555985994184802,-0.18805483088892475,3.3839114804612653,15.566924834684867,8.562540167469228,10.624797968136699,8.013078152801242,5.991355929237601,5.740588215106913,4.111739119545155,5.518809943892112,4.235385402737191,3.632542779945961,3.7240184757505865,3.4051556767122664,4.16227816625354
Georgia,3.1583608009051996,3.2975609756097617,3.3111880357539034,3.415740269223746,0.8469645667413861,-7.846618813751413,-1.8498642001810794,-1.4540285416976437,2.0977367520074015,12.048538515147785,5.227223019940857,6.373330064958937,4.173189687913967,4.243194789989756,3.2704368414394027,2.4577450432963865,1.8994095468449776,1.5934437161634547,2.167540274945956,1.8650519031141868,3.659068695895015,3.473739668172359
Hawaii,0.2838155890904132,-0.7969769838543573,0.08749422439810489,0.5133904422829157,-1.8755731739786472,-15.14054198450625,-12.858265396326495,-10.710476619145014,-6.584461394675746,12.477556255100847,11.38876678050925,7.281952374168528,6.279382496907114,2.232772203333624,0.8085162360988956,2.6078162985965,1.9070370070450993,2.5398982012856655,1.7616590712894609,1.7461249763566344,1.8336048313401438,1.7195518683687445
Idaho,3.7113343334029683,3.981333081927022,4.9379826819564645,5.336838585017824,3.70211012953723,-4.20788263987742,3.834968777876912,4.344183503390879,6.007291731035765,13.99121644644683,4.158970437890333,6.643903346039093,4.756670330768474,4.993606456648448,5.236720554272533,2.774607703281028,3.408693440172971,2.9830444135138623,3.3364945253901244,3.165459859192931,3.2394452815104082,4.6252495776378435
Illinois,0.529983315340081,0.7858815690194061,1.2555117649354186,0.4798642335339125,-2.3869959972664407,-10.693902948868775,-5.215087431957221,-3.9885071975616517,1.1071660749112477,11.573801903020016,4.657356020410236,5.684851180847627,4.306967910418231,2.3983997658193705,2.0113826191678545,0.9891423925001231,0.3423553287938778,0.9700504083169063,1.44904079592518,1.3990849586526286,0.7182889600877083,1.27310991779995
Indiana,-0.3646653830445163,0.3596457974902442,0.8477446701441009,1.0443031860424712,0.14249602279935794,-10.04561787523366,-1.1985529080981543,-0.49524355848750373,3.1850299692997477,15.898446332245879,5.220473970473971,6.891051817404423,4.83314915039717,3.7039101474317815,3.4033322564268307,0.7298942012962047,0.7036669970267639,0.6073636119322966,1.4006177358018872,2.298748003319619,3.7961546376072395,4.013961605584628
Iowa,-0.8627171633226474,-1.1960801728987078,-0.12736463804747397,0.5553296774129558,-0.4141551235479629,-5.2567444740758695,-0.00790865503436252,1.0887466593031658,6.697130946296683,13.866281521464138,6.096077985506251,5.535339739524899,2.1188669321511773,-0.46662778101825414,0.4323800471517857,-1.1915436452546235,-2.0123611213302817,-0.8408911213431933,0.9194911715857573,2.9076620825147534,0.455228083348966,0.8076847309124707
Kansas,-0.5306166813236775,0.31435111054354087,-0.38148252673785205,0.043808837702863146,2.8063099755627507,-6.645318605129414,0.05372930200752837,0.2753882682651546,-1.762472099023094,9.392537579591108,2.1333723882054247,1.992294778110962,5.48162137173319,1.1439804382221683,2.2016156015486774,2.1018078020932385,1.5096978739276288,4.110809837122426,4.302764994200627,4.344463185753302,1.2842300590672626,1.7857468082394046
Kentucky,2.0910221337975448,2.2684869843338267,3.2431791456268404,3.7374810617240124,1.335905755795273,-9.248158766011258,-1.043271853673947,-1.8635307506282797,0.8644397007634769,11.896658086749344,1.9363762102351427,3.6354851178971903,1.6969026759583334,2.4723629554290176,2.7193972919888925,1.7129482851867548,2.6725535963703346,1.6121850766205432,2.4026159971179593,1.8069472584090571,1.796800818055649,2.660166876631792
Louisiana,0.8362123115577799,0.3198262961767491,0.9196548118177138,0.29647545300278466,-3.159431574849129,-11.81924539338987,-7.014196897212904,-6.755022267167121,-2.180030956640604,9.645427709045082,3.63573876003709,4.982532978778882,0.8610326226560605,-1.1525546782829719,-0.6642548487589434,-0.673467563299002,3.512525085826633,4.629289590729188,5.499296907404237,6.194309715485768,4.155061951954015,3.9623266969560946
Maine,1.3469559186942581,1.7111707089552193,3.3682540603809223,5.615004474882296,3.78476840340023,-3.7469070342877324,1.6928850167042557,2.1451993220838412,3.323582671681292,11.559190479498962,4.506386424706457,3.2201051426098077,3.879961173425361,3.0303299910139834,1.3023378681811983,2.4653178180801745,1.9812945034218437,2.3099574277004837,4.325301623726591,3.212550089521694,3.4028726319451015,3.2959705599351885
Maryland,-1.0530087385791298,-0.320322107183933,0.3720238095238086,1.0252538297999072,-0.49287840991388826,-7.845751295852291,-2.5332344946874197,-2.748549513226475,2.7141499706851504,8.937998639705501,2.9438607877337466,4.365235856211153,1.8747970200076824,3.0711751531127782,2.83898931192435,1.5240475913653366,1.3601762046446926,1.06533339743281,1.9272584461239382,1.8485470248604319,2.0900842514582014,2.48494477371972
Massachusetts,2.6042122671336148,2.5637310304189493,3.4411085450346266,3.807065191312961,2.524840716019425,-6.569343065693423,-1.0000372106868936,0.4030766955106698,1.3779072455726424,12.776209677419345,6.888677986487622,5.322087584251052,4.010034207525676,2.271305218370683,0.2997749490118815,1.647083508182964,1.1375097569745896,1.2017655027749705,1.9317574259595174,0.6416210823270249,2.867722298340236,2.921668537870286
Michigan,-0.7886758240151206,-0.014613615993138516,1.4221527642117573,2.683488042794199,0.5099834918638503,-12.099893792202984,-1.7315767171308616,-1.4373952597557946,0.7439850616402645,16.76403099400295,3.18312785432879,3.329641288717864,4.134966229330012,2.0192910171454534,2.2548107060767717,1.6953296160826008,1.3372596893084574,2.03887922129891,2.3509195615827654,2.020267396490187,1.7573383359081953,1.9552766935395531
Minnesota,1.0462733254233738,1.0028360085372656,1.3888082941643,1.8399032648125937,0.24551665243381465,-8.091626623439279,-3.0753381536524387,-2.2170084633870712,1.5207984433839057,12.457481207743658,4.817439228422398,4.615175388321699,2.297085971469981,0.8803375716499822,2.656213323318159,1.3612643229891952,1.7635928076733014,1.277981880604456,1.2695044542411298,2.114327592524741,1.3895377062094212,1.4738400248533565
Mississippi,-0.8495412477262373,-0.5697154410812675,1.5190228554824068,3.6755973348899844,2.963590177815425,-6.406955894579711,0.574434695065984,-0.32521114454907074,2.6971726190476293,12.144531375424078,2.619260247892522,2.572193815437065,0.49762152165416745,0.15651841954571685,0.8931986841098557,1.5002468760681966,2.015727416738593,2.9206052751943883,2.8691399215180797,2.4622062565484293,1.8438621613077135,2.0470516345860084
Missouri,1.4537840263236643,1.5037891529314122,2.720227739996835,3.410966078080687,0.9995282462554614,-7.354919199204658,-1.1605080831408787,0.028665615594087014,2.362672115992788,12.189117535664668,3.8281052242148244,2.8017385489802655,2.807221012805035,2.0030383165475842,2.648013052528918,2.2849337471426794,2.3773417417195315,2.564031845845507,2.6418196766237223,2.818027380833408,2.0854972587768863,2.2928748778716934
Montana,0.8252284114352956,0.7231111415945777,2.690952628634789,2.2983453476332643,-0.07502679528403434,-5.597439613996505,0.8543659629774861,2.4911439783827296,6.119762464286741,13.263192605339892,4.029071475273141,3.7423141419787633,6.586479706695859,3.2134214021871412,2.495787220476384,1.939707427463019,0.6508789020405603,3.6986760220721946,5.9506776271939446,5.583304703260304,2.6440660545429697,2.664864589177331
Nebraska,-0.37889913646242257,0.9385783298826705,2.3743195487611666,3.515094689755532,1.1665733014908848,-5.181574886210478,0.6125058894796931,0.7302851319985807,5.862752336357799,13.297691523223842,4.63989449137965,2.6554889471712126,3.408183678525872,2.1875511428727252,4.111753477454765,3.6406770381860483,3.3979074782361933,4.296569150829247,3.774793189055476,4.533168992384564,0.7080572625218747,1.391388914955511
Nevada,3.462133522754904,3.8868331342326985,5.056446533262258,5.1117751853341575,1.651509024048455,-14.130790445472842,-5.2687408336638475,-4.850423261620323,-1.3193564205286767,21.135547087642923,10.998919192607667,10.444359318138279,8.181366436333306,5.200291201926973,2.548312674894948,1.8764198879697567,2.571436000104001,1.5190219480730116,2.91184068707123,3.3747552983232634,3.3282636248415782,3.3729707894670415
New Hampshire,2.102946089896018,2.359328726554788,2.8877163568223247,3.1977723606238864,0.8132663471347976,-8.533127591860351,-0.24059890915712417,1.8436542764137245,0.9489531919768659,17.07998566036144,7.544776693058654,7.961456143162879,5.060477960299223,1.4057870516295827,1.1731174725706666,-0.8707043360552035,2.6563568933856674,1.9049395215004983,1.948126495756697,2.4685484723543802,3.079540173443347,2.978727112691412
New Jersey,1.666080018772743,1.7701100101427647,2.1813561459151782,2.1550266237594196,0.9521061742642682,-10.044944466272474,-2.8865685809207373,-1.9118523493742239,0.6630465847385008,12.728376780406721,4.883245853248498,6.026734048298727,3.4826718149641387,3.9549410775206293,2.7911094543590553,1.0806188999154054,1.9945859930861662,1.5690623806839936,2.4614687216681768,2.3694038245219438,2.1967774619598868,2.616174996419877
New Mexico,3.2870120304443837,3.8010815849005426,5.587472918601062,5.05716207128445,3.2708325409804835,-6.880425022448389,-3.5999230550797425,-3.4987288988057115,-1.4933893124148416,7.858893487082654,3.3675728579709054,4.165719050868012,2.3217123095616468,1.287018066679088,2.322973258689331,3.490593500964306,5.312676982662545,9.019694378551325,6.897852843410278,6.003815015690789,4.117442969901997,1.6740883176466692
New York,1.6087762124643314,2.185717767487215,2.004657481078993,3.6127266507013376,1.5611130407934897,-8.445194958833024,-2.2515838137092774,-1.9933774209677473,-1.2720639927039166,10.480904496431002,4.345118189161066,6.133528415216392,5.166325067598127,1.9608952774398019,1.2208087741550462,-1.4937420642118664,-0.1729312300991973,1.5494625446337622,2.3642578754848573,2.1866627383462456,2.3436569113590098,2.6635816245661603
North Carolina,1.3651539996443909,1.1859917598587426,2.4792251930141522,3.1567510424619596,1.966554923208859,-5.843003810022394,0.769673152496898,0.6338542704508341,2.9082325056864775,12.427668293486535,4.583717767018926,5.83848003394463,5.0892948354801835,2.959923803941696,2.729372817229333,2.1559596247561235,2.1015049886440926,2.629331815270739,3.764397581294867,3.4621992377929263,3.412818626390262,4.44357774310974
North Dakota,2.492556608947759,1.7247869352457021,1.214052006199411,0.68582216785306,-1.1705797475370143,-9.496745545287217,-7.108086393496841,-6.1437495814558565,-3.1095297029702924,5.141269591654889,1.8661918087000466,0.512705515406649,-2.0786763531853873,-2.7580292953364918,-1.1787152004315296,3.01896359395598,5.692738853503178,9.52800877741661,9.023643218874142,6.939864352722304,2.3526916141971466,-0.6047839722885379
Ohio,1.9220389805097395,2.6188931583412605,3.129089827483633,3.2013338068742043,0.44423523873966764,-8.887462433985945,-1.7170435317643404,-1.0247684233669971,1.6939058442192434,12.462505737556167,3.6848283282793655,4.283492857625769,2.241721949674061,0.9899768404267444,0.41038897327282703,-0.8178046160115533,0.8648212139423123,1.7096025338584158,2.8017889356584424,2.9956391412750105,2.685794613515561,2.7749542589957272
