"Geography","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01"
"United States","901.717346010197","903.043824392257","899.292482420429","911.757122591757","891.51542873493","894.986822924666","910.381108838737","897.722901638635","917.373065470766","897.554402113566","894.805322656618","918.376582871508","892.407447129051","892.74897592268","907.440294059795","887.821305865759","879.170208094834","888.97551584672","870.0051113364","880.642226751139","881.921329993647","892.146426008782","925.419282946922","921.498928591815","913.117941489891","926.504667543227","921.541150303936","904.724120427687","901.120303662277","892.456388848966","898.562274612145","916.433280252416","901.46143224259","903.025699496246","923.185624046595","911.546822444188","911.024275152639","910.509142940191","908.543354485344","914.368758078795","927.281548827104","909.503130823756","914.83783010949","932.314806607058","918.096498976831","926.009317455455","922.920179339406","924.174539120992","935.958478587613","919.124844177146","909.352270402341","908.555652894987","918.869884229346","901.985473369897","908.973508821629","902.522347877905","906.796944673387","931.508129590453","912.981290279804","920.681512017441","932.79005545629","914.755863359439","907.089647415777","923.93538209792","903.08742536388","907.362065470328","925.449490362455","906.445316760642","926.315244914804","907.17959903509","914.21118364528","940.69653625202","917.129806409588","916.180577776246","914.160386256138","918.189339657938","911.575110004507","930.355674806427","909.41343969931","913.238813735425","937.095132671931","921.463773389396","926.029321874638","941.551755596462","920.651478479454","937.199479301988","935.883010499676","921.348001619761","914.37841815889","930.519325258136","915.689326967471","920.635086650522","924.075276959724","927.158904870005","952.997208481014","942.528310435582","947.073797318865","960.916663840628","957.611949101936","943.625578552741","936.574900569794","931.506366882056","934.082691092544","959.332096669967","939.687580659396","948.983840134882","968.041003134796","956.529299651199","957.916353897584","953.583643230386","952.653289100163","954.66207388584","962.124444675705","943.77253524633","949.400887718803","947.784208362916","954.037187857249","974.799711660578","955.627504070801","956.425001076908","969.872461754496","953.306648932895","951.433028289466","972.841666952937","953.009375686973","951.263919781184","974.830212593857","954.187485489921","956.890011790016","977.329153622554","960.626266494776","967.98930444906","958.786494208588","962.160960396159","961.064361060131","981.698546095328","957.142262111071","957.240462758295","976.651293659675","964.147485187154","984.738311195972","966.742734207248","971.416422761647","1000.98355319564","977.233752264493","975.580789157198","975.799886704275","973.104201167687","968.242673140903","989.242648013024","969.569087153263","977.722542154211","998.149737146507","977.752227273787","977.841770901371","1001.83111793411","976.654403867101","997.354366780321","998.692996610038","1041.09260604004","1039.83405536011","1015.66198570969","1011.44425046603","1035.98811067337","1014.79111998617","1023.53462002857","1044.23"
"Alabama","895.417833619872","892.967094187195","899.78670361136","904.882683394134","891.890851074061","886.968324518123","887.194006452263","886.057985927077","889.252007530337","875.123015038098","876.406530495725","891.825384648346","855.249487777146","859.583125280477","857.802180229291","843.121948255075","847.529306196684","850.086553481251","829.22528541034","840.435405457218","846.5117354182","847.820273579809","874.237135742026","867.801352531537","850.089041360594","857.753871145608","840.368307829006","835.773930500844","828.864215359868","819.621272595773","812.379566939554","828.622842276935","819.646222189296","820.518792378468","833.760098876716","830.447064167928","828.555435628349","833.139578529212","830.150969025552","833.056521061057","842.609140472458","829.320626109696","832.010402548495","832.782387408846","826.413128150193","829.264206372793","831.425012591235","831.399710966835","821.207348187973","821.04613571974","808.634015760716","809.245474109183","820.082273725018","812.349528490798","818.207469215039","825.629327683242","830.100792678358","838.252728987152","819.819699376741","826.217158087844","831.437768513004","832.60523620439","822.540633631513","832.10848112654","809.454128973305","820.066427457098","821.2574807511","810.443238836873","825.634183538095","815.088027987567","823.455838086013","847.066640519858","813.571592235539","816.310640317704","819.413969145906","812.365796818489","802.666461138895","823.12310328731","804.261744850083","811.384579843251","832.247348312399","815.754725792777","813.393572289751","832.557712755687","801.32589775817","817.382480055882","827.030719657374","810.460450242964","805.769181462799","820.048406372329","803.864583966422","810.920793224358","809.983001415782","805.545608318978","826.966021952056","822.660634848304","821.127624589764","836.745738235018","828.279395813128","819.999783008381","819.682228927062","819.143724888744","819.481352334342","839.294105221638","832.378456786232","844.514979313651","854.963270426737","850.721359983088","856.687628779821","855.258740083758","841.450666017167","852.152332431947","857.048816837268","844.471814428798","855.465473136958","841.844580421758","845.34435869079","868.502943544217","845.714868802128","847.442951514298","855.28507270249","844.17418898782","840.104999692372","853.36092138195","841.020725688812","833.278850115327","854.276060804131","844.825569630049","845.573711910347","864.961304411282","849.453269401506","857.584836283688","833.284613522575","845.722563466149","852.521774645968","862.441029391808","843.229755274496","846.30784593772","858.910801052356","850.167129520199","879.80717967509","863.807776143306","871.821562700862","899.888751159282","858.36325574466","867.598149151818","863.806068402294","858.899893757729","852.370592521438","875.547456694112","853.041070308024","862.902802368276","879.021228856632","875.964551770768","873.955757558085","894.792252912746","880.136924305445","887.751116600561","890.403292834589","913.86520880381","923.387987316396","909.429174777053","926.506073731865","943.697814426088","924.878741124942","926.453936356514","941.9"
"Alaska","1118.00917550984","1118.93904780859","1125.5190644844","1120.99943948792","1105.23085232437","1089.67896180502","1107.74632624256","1089.94369079969","1119.56259835004","1090.24512362637","1049.61023408841","1063.98072730389","1030.91762407618","1045.78147208458","1074.20875702484","1053.02722431956","1054.69672993833","1091.35272458469","1067.10168804895","1091.46375441607","1087.05195412806","1054.15496848638","1075.68261890079","1052.84631899652","1014.77268694676","1042.94933607612","1053.31397416188","1043.35671468768","1035.14330072572","1034.12111222895","1054.92854456213","1095.52654479832","1065.51358023605","1070.57948417269","1047.79673720704","1048.7777358543","1033.86885932243","1034.89596592246","1032.73238977903","1038.30665545918","1072.62849462366","1032.67807143349","1032.26919375628","1033.48027268313","992.898978891132","915.193758978744","923.217511871409","936.130547817081","1018.32027231488","1010.74806636874","1005.6453965015","1009.2542997519","1010.03364323521","1018.76006959889","1035.65433415072","1021.61808038138","1044.61374777975","1056.74896029962","1009.15662816603","1005.57489258747","1006.31294235987","983.315688276092","966.703905759573","998.423862181368","1000.62729900137","1029.55101059797","1066.90891341923","1052.45341880119","1064.73624172994","1052.16813649667","1037.05700448699","1054.68223548678","1009.51177944242","1039.07328196204","1028.81752535732","1022.49088568836","1021.19871974071","1066.48598670687","1083.43342330348","1090.58801998486","1095.86717500395","1062.88458419326","1044.35938473156","1060.17113036314","1012.98807366747","1045.46705086868","1031.42060894737","1014.76050035432","1009.73008663304","1035.22540473184","1042.47792012592","1040.84160259321","1038.57205750511","1046.62402134497","1035.26955600442","1025.5690365058","1022.52347165468","1045.47484684009","1057.30877714203","1051.19321915984","1058.28247349719","1065.17690895834","1087.16434616642","1107.29123285889","1058.79720847255","1066.83408101313","1070.45019769441","1050.97199010675","1027.35732614091","1043.87485633311","1044.96151995532","1047.50272672939","1048.93641184037","1034.4355941465","1070.89184413285","1066.75424847103","1050.15122570704","1082.93734946986","1056.1489381114","1049.89669861493","1046.01043979756","1033.38269824263","1046.02449419814","1051.36032205428","1029.40877278504","1050.16910603988","1075.65345558978","1073.44899714482","1051.18940430032","1077.38517483368","1049.92968463812","1057.91526910159","1042.67138852691","1053.89238574888","1054.54925751541","1041.86740119579","1004.8256051163","1028.36250074408","1066.05641425204","1054.22540480515","1058.78490886907","1053.84075330684","1042.7930833049","1062.43800611385","1026.15488546434","1043.21792757224","1045.80114169047","1035.48633110022","1027.98238742327","1040.53806584603","1026.58048785716","1051.34106435972","1050.32546972063","1043.65231482129","1022.0044557712","1057.45689707908","1024.731568122","1053.83097499594","1067.64312081824","1106.03084995846","1110.21120482539","1096.1340465948","1104.03560098186","1133.75495194638","1095.21535834486","1092.77231577492","1084.8"
"Arizona","909.302473174057","909.297023720018","896.593274377654","901.218833931664","879.664596896354","883.39622086661","869.716228306425","862.628026472102","867.596421411099","847.522818614312","835.807849812301","865.84411415186","833.650036952814","842.434733269404","866.040669045746","850.050954367084","846.2679946176","866.843295980623","856.340852866833","870.522223282181","873.821251422642","889.899478189802","932.402007673296","930.114307323477","931.14908753783","941.30705984646","935.267740998265","920.356898002251","916.720220335179","910.312272906399","925.267796759709","934.422182278974","924.282935606499","932.927531606045","942.685055886839","942.93833363433","935.139235071785","941.749926086896","942.896820535677","932.739212096748","936.191295135165","926.002866010598","931.727988633601","938.823154018102","922.0278285471","919.310572216304","918.246111936308","930.835235127453","938.782649132924","929.695849920247","923.349650686679","923.944507349737","918.800785877396","903.853129070272","908.915916156904","900.569582202211","901.842146159576","919.900050392852","897.475447022941","901.908566680846","914.960410958904","891.437750183385","885.490114040594","899.573373883565","884.65291012336","893.425154698925","909.774686779803","884.057257171878","901.114054414948","888.504787412944","892.915496631497","912.814979115945","890.856034262637","887.956952353058","881.583270095759","890.446471352207","879.346014509863","903.25220214643","879.357366735732","872.926612578406","888.538850091181","879.166783331763","885.320564639656","903.418915077945","878.788513697225","893.80599622627","885.983199713914","862.446536495242","851.07681147541","868.787503220149","851.322926253935","851.861248549518","848.498437094328","850.876591964891","873.193251775347","871.800175672453","885.342245589563","900.30573077939","890.66981627908","885.310278910731","874.112499358718","874.943379302542","869.628979065928","899.034653862938","878.760233625418","880.665494201936","892.209955000505","881.758502314766","881.972842019956","883.881504611764","889.752119832698","893.43901450717","905.112792169139","880.220937689301","884.664830651462","902.437077463473","896.554159500969","918.981528281671","902.784476265056","895.439892143543","923.728882098839","913.460909348407","913.252744656503","944.320388060068","920.142216824049","921.294904696781","956.258069456587","935.289220712043","933.410053480486","955.617292419212","938.608991401433","939.161060586393","931.038337051725","929.38555309228","922.283509981807","936.922448332841","918.716314331367","919.515937600451","937.54558891455","924.960287571486","933.648942120671","916.113923483006","914.184999444528","940.192017012096","925.211110197368","923.447688862867","914.387554346543","934.509967990358","922.068619441451","944.429004110985","927.862828534791","937.992072124042","960.751047714004","943.088194726166","944.393469371092","959.582665250181","943.133544274356","973.371425208174","952.911081998334","981.16834969519","968.523145042396","966.56312668495","963.928285687821","991.054410352496","960.311796911019","980.800730448408","999.24"
"Arkansas","688.433855080626","697.992594902186","689.527267715922","721.602076434785","708.134130147296","719.966233873445","727.345420765342","720.596413280299","727.877325723056","725.040719502623","718.171965343496","744.647744101011","724.198025298465","725.960887889538","746.168219343599","717.067337063536","708.652895093984","735.429524072847","715.924330117655","722.808182038104","728.483718296211","733.009651064537","760.222716394021","756.445106741252","756.075656498203","772.753555442451","747.169405948972","742.880329487901","753.371326874158","746.026074791486","739.513368500727","761.839646348583","743.518313924684","753.877672185293","771.412439883511","766.579498214856","754.228997909427","743.499422121334","744.787448617155","749.858298510612","752.784107746886","756.110513109903","759.937768507094","762.537531560336","745.820871959677","746.678077234341","749.456380168462","756.386738829906","748.676976610073","724.707704069875","744.236750392675","737.450104265782","751.433061062824","739.510956176181","738.395554439143","730.977626696683","745.777462415542","767.098651450175","742.900134199708","753.869824524088","761.370595063199","742.567600180969","734.69043066018","716.564249038399","702.934789374062","709.21752364061","737.669886863608","723.093660229448","743.395760456684","736.451321217204","747.202810169359","766.391468286288","734.241751172486","733.758217266956","735.332812439587","736.288338673123","737.29222653416","760.312588520967","748.616791383414","751.600572993496","777.256163553976","750.704718428061","760.246648417421","773.945917768366","754.935102344431","762.295478552353","768.188369397316","747.629293632314","741.154944262295","757.726998485376","739.825858803778","740.374546314515","742.266677659633","739.938435179609","754.170532032471","748.585603078207","747.41498525932","748.262867051235","745.632202194656","737.520259806677","728.921339711108","721.513412993739","727.691241043519","747.3192119287","729.728289982979","737.595236127112","753.211950778643","743.802200401649","750.988407663476","748.439197464479","737.252846530496","743.247288275147","752.612308797023","745.667759171514","759.540176413385","749.248699600164","743.118774417217","763.131992934236","753.581901530124","755.200010147785","755.271596407496","753.682698365783","751.960526043782","766.232671271532","753.435223406733","758.149153313874","769.420395937676","761.643527018276","767.922210810351","771.646721153963","763.620710628413","775.090246101799","759.510001210327","760.868120895936","765.700218830393","769.58593451901","747.625169721926","754.913910091313","766.944757624818","760.718764564974","787.524687350211","764.649398066315","767.921181528182","796.049059518455","776.390376382532","778.89775576004","773.064459130927","785.000592921878","780.203310529029","798.711004907415","782.022776814215","797.266889280397","812.544805011703","793.359393695647","795.14079418214","814.680194144155","800.647194064449","814.574976921114","806.491626833001","827.521094859764","811.844163747982","810.292683312839","810.633808746396","826.427664725029","813.710528008299","828.693667910964","834.02"
"California","1090.8698476405","1076.0873689797","1076.55314956757","1089.17053419196","1059.34172840456","1062.17626166295","1090.59336741895","1062.74641414603","1086.07444990167","1044.52295707777","1035.66875362195","1052.0246347769","997.717098351336","999.548423802393","1030.5423288749","1011.02921000079","1003.49949231877","1020.5914627882","996.047544007201","1007.20165980483","1013.00938569267","1026.23033355959","1076.01337954572","1078.90288829271","1058.94468109291","1066.16468705377","1071.11449952752","1046.24896159257","1033.39104799491","1022.5509819512","1023.5827868921","1047.58829114041","1024.37703721367","1042.17033611346","1062.86940105395","1043.27066460136","1062.11506735522","1059.37711766579","1053.43056232798","1061.57112256833","1089.07633954844","1059.99456499897","1063.41154258271","1092.21036003518","1058.59983519426","1069.51476386647","1069.64783723258","1083.35448806683","1098.18876066533","1085.02731362032","1077.71676636819","1064.9087282687","1088.49482187428","1048.08918133811","1061.98570046299","1052.27650148977","1053.92693387515","1086.10245957751","1053.97173597666","1060.79825574285","1085.59917861161","1048.53782248323","1037.93471986817","1057.83594628072","1035.97899223288","1041.63949463565","1065.82985085376","1030.09924628547","1059.15846819673","1025.79840249528","1031.12269680003","1070.85580541897","1030.90371521626","1030.4649641205","1025.43013132966","1032.57411454817","1029.20851574406","1060.07788770214","1028.2452152006","1030.70387242012","1060.36963173022","1033.05606933966","1034.06495956133","1071.95155400796","1027.66180487867","1060.72958629531","1052.02589386905","1022.60890653472","1015.68067831021","1045.53223883227","1024.27008201469","1029.33188613087","1030.46009234091","1039.07251077146","1081.84941308739","1053.61869320989","1067.70865147385","1091.90590366476","1083.92472227987","1055.94467322347","1052.46082012573","1050.77172164534","1052.20603103237","1087.75625908458","1051.52442337515","1064.12060410868","1096.07442549803","1076.10096319628","1073.99547358557","1078.12778888369","1067.0140841634","1074.17157405511","1101.77753685026","1065.22885888191","1074.91486672374","1078.40166498512","1079.18915527611","1114.53356320508","1080.79679805099","1087.08274064747","1105.79563043827","1081.26168076748","1080.53298091476","1116.10788204839","1086.49831530689","1085.02495095017","1126.1501241084","1096.52332267564","1096.77869021429","1135.72657058416","1099.61888717269","1108.93207707972","1095.5010240976","1101.22651192212","1091.99535491316","1128.61524821789","1094.81369278344","1093.38128267504","1127.52888859789","1098.41807801829","1135.39834530322","1106.21893350733","1105.95105127005","1161.96873897935","1126.57140422387","1123.92952044498","1122.79433249935","1122.8070565608","1115.55456937351","1155.38128295522","1125.43000062361","1132.74947703833","1165.64316304394","1133.83138199156","1136.32156375385","1172.64772864181","1136.96541820592","1180.93855333658","1169.28885151967","1199.5407032283","1217.16742072747","1192.73685927299","1197.83217571526","1246.25940615887","1204.86386929461","1211.30988928061","1247.42"
"Colorado","996.312881046953","1007.50678003332","1007.74235298414","1017.81989878366","988.512047088469","1007.22082087045","1034.49956908098","1010.16668141614","1031.28020029738","1012.21478491021","1011.00496224611","1024.25924270125","1001.34166372939","1011.07902717615","1026.70338808025","996.323242483347","983.306494562207","993.250262641958","979.993519121311","976.651602384452","978.182616153906","1006.94503276032","1045.63240178887","1022.33351932188","1008.17893224024","1025.17910703935","1029.02940862869","991.235252532358","990.387845559629","974.41248371528","986.303811405566","992.729374102319","969.227078978927","969.979801829057","983.199606434614","961.941947126405","956.744221573052","955.689414646975","951.757216756804","963.058220027614","994.933598437972","976.134839997247","981.646464215108","992.105778427205","967.559772842762","975.363483089556","979.020881477859","978.184353975518","977.198458517049","960.268280322987","942.307832968626","950.498959209625","966.098607787081","935.891494448924","949.276855596179","937.247116334503","946.871171542031","989.065813374201","962.351527118419","965.538242582155","986.083815763351","943.697756772071","942.42711929797","987.306009778995","959.104346060962","969.233330863961","999.586767887073","965.838060109645","993.653365714952","969.008975345522","971.553551066149","1010.27575546274","973.282225247525","978.747804588096","980.298416182289","981.307442620554","984.478776277662","1022.40941007435","990.123687520334","990.614206185302","1023.78293402919","994.6701023353","1009.45659397003","1027.65492784779","990.749416585441","1016.39397140314","1014.30643857414","986.308655851387","978.762945018915","1014.22959755478","983.518166002099","982.144236794309","987.713752998559","993.094881082242","1010.60768703076","999.192828305197","996.679508529911","1019.82024667479","1016.43153469225","992.261990287364","989.057324572654","979.18197546074","995.014401937533","1025.99560415583","993.976460694698","1003.69103578907","1015.86850920214","986.961322228094","1005.57601516993","1000.9187595683","993.807876219912","990.119024245489","1002.88728875365","975.148842161166","973.052367305551","971.424790304299","972.037686142452","1002.9079617671","968.339589315235","964.401137628815","972.594354284114","964.395087991527","957.282286167817","994.881804485449","976.13654182313","978.481437202751","1011.1665521721","983.75908320741","980.844419189771","999.621263789056","984.500293105335","988.457252032256","983.280043450722","989.104519079003","991.753267950023","1013.69927845585","999.684906315087","1003.34018361913","1022.33485262256","1008.13374703545","1035.80706309247","1015.63246586393","1007.52291515565","1043.01661740297","1017.57404426487","1020.57956115296","1009.86893856067","1010.62920097203","1019.50766013776","1052.03864278938","1027.82802428957","1026.51078847668","1064.12953882824","1021.86089412697","1029.86571720164","1061.07211702351","1023.29913897299","1047.84529956162","1044.21278178331","1059.81893614781","1068.31376135947","1032.78198260647","1018.01272245186","1054.26995933333","1020.68996392347","1036.26684063782","1055.99"
"Connecticut","1130.36393348352","1128.31245293589","1116.0781725038","1138.80247433305","1156.18817782245","1159.4598817386","1158.45561966212","1144.98907631411","1151.04120825939","1145.33342181338","1144.78622018584","1158.47722233331","1153.16657063673","1143.49657466236","1155.82585703046","1147.9376489482","1126.87978973559","1140.94507108745","1112.12867310105","1104.10188081393","1118.13199128817","1129.34961795792","1150.45902544427","1157.45632713054","1147.11612253307","1153.87529993921","1146.80649295516","1116.56595174451","1110.05210496783","1088.38852201972","1102.20094394732","1110.24802561228","1090.29913061597","1074.51583646734","1108.72494341978","1100.98043315783","1099.76466862341","1101.17157044583","1106.04290156274","1126.67343329863","1135.97476322086","1106.04339178308","1103.81662145488","1126.24210336582","1118.8921350583","1116.06092972004","1119.18343706439","1125.93070175519","1113.77487342376","1120.07978093977","1109.82223845131","1099.59728891181","1105.75789346976","1086.01873229016","1099.20208040828","1095.89209719923","1100.5731504392","1125.2021481223","1112.80881925474","1116.45980803999","1127.6647403878","1094.52251332013","1085.64881512869","1105.23667814069","1066.94852490046","1064.02473618386","1077.47236800754","1061.46738022997","1080.33376570285","1067.9292275103","1084.15845235665","1097.35461866455","1062.884263679","1047.52467734294","1039.61693998015","1055.8740951099","1046.85911223679","1063.61070054474","1040.95610447097","1038.58160866609","1058.49139603415","1040.52155493993","1035.04750773376","1051.2716065291","1027.89542758939","1032.487799609","1041.6516670405","1031.96113320004","1019.44355245902","1038.09690618143","1026.96794405037","1034.69287573785","1047.35090929333","1049.12292469876","1080.10831599273","1066.45215921674","1064.59089633601","1078.66839606002","1075.37235233082","1055.41673388307","1045.09620975169","1043.99986598949","1048.52046942435","1089.65625094412","1077.21430637332","1087.37116226171","1107.72977601375","1101.62601467075","1104.22349566935","1101.43865999469","1092.0499734601","1108.70403337778","1131.06872217759","1089.79220995942","1096.65216620676","1103.2631727763","1110.08102838113","1139.49833991784","1110.78179301687","1113.68423390437","1132.51089845536","1103.3958288691","1102.31826436315","1134.39129889091","1108.62596253877","1098.69745091956","1120.07989300859","1104.13350445383","1107.99677536981","1132.15012697486","1106.5289567396","1115.76176356055","1119.30165681595","1112.28403135053","1105.28032514005","1135.50148176383","1097.77192187227","1093.13343471342","1125.16416549606","1108.59415830511","1151.08801837276","1127.1187535441","1123.88556007427","1189.56264805977","1152.27257437071","1121.74701308669","1134.4031981259","1143.59091669667","1118.65384014339","1129.3119539476","1111.96066418262","1117.16969609211","1160.40329246492","1137.74473689119","1143.88941903051","1167.86794204861","1132.072966535","1145.88965717997","1141.24100160781","1210.68515334121","1216.11186498124","1181.20912551349","1157.49733856681","1161.41801210382","1150.99442669433","1156.9930768699","1191.24"
"Delaware","949.657920915343","955.575813836923","938.196560783435","963.328007121914","915.479888049474","913.259506988174","939.177591059006","939.726611003429","964.715796393112","941.732153338821","957.368644856478","970.537359595498","911.26998123934","966.726770275824","951.301716027874","931.127594065812","906.798937922375","948.307941914403","933.109141359495","920.884681860091","910.551123121998","913.882942610575","935.464606237495","919.097515554541","903.615539847402","903.510064752372","897.317754961003","876.826751547552","865.698027972093","849.228258728841","873.560588945489","908.584235199274","892.050875681232","880.286343274261","885.113013451671","874.961552588806","885.600286034695","880.60107575401","885.979835363528","893.849712947631","898.989824271925","879.24963663891","869.753640183293","882.08371505002","858.125853350363","871.229525126765","862.050263387614","886.751163341379","885.63152313791","870.867438649129","850.369964961269","852.010290699225","850.715876422793","832.040614516972","836.556492196422","841.527137654771","855.150051831512","865.790310925223","847.541570481368","865.515805328087","853.894165574747","827.96447446445","822.472567875078","830.84174718039","802.614787938124","803.453266936264","820.201135292269","809.087755915253","819.302960757453","815.335525490993","820.110018894888","857.799906620616","821.594980719124","826.925323906171","828.74886687889","816.920596092564","804.610261005817","805.537050714335","781.680699669515","787.41756872202","809.063918359677","787.898436239542","788.271601971948","799.170540530103","779.320863386857","786.336465727635","786.976512677058","773.304009794493","777.263222068096","783.439492454152","772.604336411333","781.052422556884","782.52039158765","783.921326226767","800.706310707979","804.984142377732","813.422315463379","831.778901210794","827.959784049568","813.202564000693","808.476640482748","794.564396952707","805.600524147929","829.280929731952","830.388010338524","830.323932760955","839.108485059156","860.227241221858","877.842850630603","879.228110378683","882.463190037458","881.790427441162","879.439674851912","856.83446804803","869.221614899347","864.145385324415","868.971360032805","908.043963322564","884.368664901617","882.785859289572","892.673588591618","886.070969323038","884.67890644419","915.873605044904","866.529724107497","948.44868085975","962.540918108062","930.646797844566","928.644475952013","930.909236569733","912.82546465101","920.287058379711","892.19301677916","893.694221477885","892.334974274105","899.323405442513","871.229497034835","868.676124473687","903.39650901169","892.006713174113","908.320737960458","891.612460406904","906.596131297661","935.71732905311","884.633035850496","891.718973399373","910.82504531829","906.394221868299","889.236672367743","900.224931425024","900.102607270502","899.093335191263","935.808452946148","907.65564803805","909.943539936549","929.040639052978","914.111722713018","913.293351773247","918.975401623307","974.987138293764","979.464386335094","939.187282590565","920.379517292484","947.08185870159","925.15868626095","945.182493202452","964.87"
"District of Columbia","1511.83154908703","1535.7678520779","1527.04210127001","1602.42422263724","1547.26562849545","1546.8083102154","1560.00726023649","1506.3886913047","1533.56498220538","1495.45486660987","1475.27111948501","1506.74023253157","1441.18390520182","1446.4883784537","1460.21120714848","1404.06860215154","1399.17894092286","1396.12564156936","1373.52416304486","1362.70835443616","1366.46303446794","1361.72247288443","1400.57532498529","1391.48269250528","1397.21045992526","1421.61832294185","1401.25001636038","1376.99020891953","1351.60744496297","1353.22265103643","1335.51778631165","1386.95399177145","1356.97574753784","1362.91684036692","1415.61544626265","1389.95104288513","1407.61470974262","1399.14764889892","1408.55189481278","1436.66738446578","1461.32959560542","1392.68748881701","1392.8710941191","1449.25162377698","1432.1714493291","1460.9213773427","1466.65812726517","1497.87299015873","1528.32529631328","1457.48182631524","1436.30356428466","1434.44950539336","1471.01178187676","1418.68049299581","1430.42901377467","1418.38560511157","1436.8571606821","1507.36080297322","1440.58256080095","1471.50832580028","1521.00759301171","1455.43889740538","1456.05131735196","1513.14762905013","1448.34369832256","1463.02408971666","1546.41024185523","1465.514247783","1527.23037902916","1479.83257253034","1491.59106297862","1556.16490908141","1507.21047746222","1541.42691350155","1510.63240259824","1511.15258176329","1513.10296997145","1582.43268500754","1496.47605387079","1505.88269179954","1573.93928566853","1529.88970729535","1556.84757921474","1629.37216855683","1552.45628738522","1616.13291795333","1588.00558738515","1518.22203583721","1520.41992786885","1566.86806665184","1506.78325322141","1511.27391100348","1519.40824598477","1514.55463444424","1609.82057763888","1545.77878984038","1557.6972759053","1654.40019665817","1627.13246718816","1522.39007920574","1498.07993402157","1489.17576823473","1439.16819181744","1491.20970291546","1433.12144235012","1395.07725493824","1477.06075133987","1430.60211990276","1415.0932198754","1432.66374950972","1427.85435678531","1450.83097525297","1529.90114132765","1455.25168568323","1470.46882985355","1493.58128184049","1490.78617774243","1567.41980362307","1512.61954108712","1521.66361853441","1586.47756472395","1508.86094727897","1507.51813220618","1548.35424903077","1480.95738756114","1476.25817268478","1567.80993328867","1502.79891841365","1513.21847167357","1595.15714963331","1531.97824757063","1548.37542823417","1531.17753779245","1543.73631589094","1539.28382658663","1604.41971087146","1517.92320015263","1526.02055367496","1597.39627104117","1534.91619125427","1628.97360586122","1547.38933459873","1580.65282259024","1687.52705460668","1603.22162530988","1617.762989643","1627.01220513607","1639.48098873793","1631.13096387236","1706.73844789824","1614.72798901669","1620.94637594618","1687.58292141658","1610.99776701406","1616.79943419334","1721.77634686778","1648.56455004632","1752.23354869761","1745.46952098871","1784.26909212174","1793.6226530652","1789.95826045299","1787.0361650862","1869.89471348656","1820.43322925311","1826.47402380294","1950.42"
