"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2007-01-01","879.0190163048019","872.8780773408965","1089.8662757512152","886.4132081184837","671.1043685268658","1063.4101080924313","971.2333609913633","1101.9100356375682","925.7528150729707","1473.7752212232779","891.5515448025677","880.347464325565","840.2809707182075","676.7941364648514","961.0193502656841","874.1814603046641","764.2837179077552","818.7500867590456","817.6973543652334","781.3906193072056","792.0808661157998","1034.685552775552","1065.0769343826344","934.90156087634","992.0874884116457","734.8197434095075","837.3859566352235","718.1640130359766","825.9186930597677","912.2928794663703","912.8819083057653","1096.6965037824978","790.67722292405","1074.0251597300391","830.3301430909813","750.9115100006388","843.0381269877159","756.6890056381089","867.8149358277992","840.9326622000913","923.9731960262881","851.547713837699","672.0443081641981","828.212145774859","947.6471423585679","942.6967936019504","832.5734656920815","975.4317580381149","1053.8728539056315","759.6466823635817","817.985602520682","850.3445911019135"
"2007-02-01","882.0273920068943","871.7654529785628","1092.372173866207","887.7076623936227","681.4202165248304","1050.5379187762576","983.5856328773026","1101.5230270386728","932.8876591619088","1499.3042475492837","903.2503802650004","877.0587159323494","826.8850748680384","672.6064343423462","969.5784606269524","856.8344565334482","778.2844317569751","833.4392330065712","822.815254766778","790.1568210707744","789.857202413013","1031.8616891091242","1083.4335505763222","928.2560540773457","996.656496822148","731.7062145858021","848.1205472368846","715.4893547344608","820.6555036087472","917.1202272972099","910.8781719271786","1071.1367014973607","795.849575568243","1071.7359388128837","834.425477755036","741.0193611978887","842.402824517936","752.0053786491436","878.6317138855973","829.3069923516105","938.3432155553162","859.3063104599806","683.579967682861","837.1345297856295","949.8535656576538","986.5693353441775","830.1309436604546","972.5371948723473","1062.9471248518798","728.697543897447","819.1074738769794","880.4294258321663"
"2007-03-01","881.3517823740304","881.8361439538597","1103.0651906589765","878.7064229765011","675.7713405557071","1055.0761356728108","987.6381003273449","1093.8126425314679","919.479732375979","1496.5779254510735","884.2703713806943","900.2667230427496","819.4901149604458","670.182553096138","967.8537927204706","873.8503876505201","761.6275354623747","810.1630496668095","812.4358232337008","798.1782054479559","798.5011131678422","1034.335524433966","1067.110658002416","933.0294370835118","970.2135029811776","733.0626217801332","844.6396585285062","708.7700256225401","820.9431996999336","915.9774255679824","909.1839439226841","1050.704461926659","780.517637075718","1063.7201269436107","842.7891489030045","735.981210786797","852.1534727797044","734.3045745489263","867.6903019173063","830.4565579088888","931.911679591598","848.5393902225165","686.9240764194692","834.2941919644595","947.2746353415688","954.2419903744982","860.9464983827597","967.4439483067689","1044.1593708351193","734.4411893534935","829.8728401075562","875.4525067222633"
"2007-04-01","896.6818773797497","889.9211020669827","1102.4645237586449","886.3178317079804","709.670907510296","1071.1618864130858","1000.9909822052996","1119.97319828658","947.4000745978709","1575.9292959825939","893.7596375009713","886.3178317079804","848.9106847851426","691.605026225814","995.0226787240657","882.7764732108167","751.0651783355349","838.8190513054627","814.4876896029217","829.2846245823297","803.0092304180589","1042.3357235410676","1097.1772507576347","938.0885305773566","999.455568031704","732.6278258800218","848.2915661667574","735.3271830561815","844.9978551169477","904.532301460875","923.6259196518765","1058.3956605019816","807.9497969927734","1076.9196895640687","840.7630837671925","753.3930643406637","863.4723546895641","753.5045056919729","894.9978747377419","846.6323282694849","917.7195280324812","849.7526861061466","719.1062752544875","834.6709565622815","967.9424303558941","975.8547662988577","852.5139551441449","992.2118801965964","1074.084126291864","750.7060895368716","847.2885940049732","891.7784579221385"
"2007-05-01","878.5017473821673","878.8716895842906","1089.0975116442166","866.823905201809","697.7973130516796","1043.8782431380137","974.082481004087","1139.310999879084","902.1163912843704","1524.679791830911","880.8200518488065","863.901361805035","814.8593572102246","682.9626307465358","977.9052170926942","870.1040593939688","744.8416297550241","835.2555039539552","796.3005900703731","819.3603206693914","797.0774686948321","1020.9048323861575","1075.3849873521801","923.0674513312857","950.554156949046","716.6273711397548","828.8061782302725","939.6038677661968","822.0855615583662","882.7314198931102","911.3032893037653","1038.7360465284999","791.9845977122682","1050.1056035404222","821.5676424753935","742.8686046770332","836.8585868298227","733.3487586757274","854.4678356508911","833.9853690599984","904.8786263935575","833.1591648085898","664.8847884694444","815.6115730212086","939.6655247998839","942.2797830282218","850.2504945466857","966.5109972672971","1021.1637919276438","740.2666778554327","821.690956542768","871.226217407076"
"2007-06-01","881.5891893222155","873.6907249775616","1073.3668563073627","870.1720944439618","709.1885960797939","1046.2758617794375","992.1430843394422","1142.103180752193","899.588337821014","1523.653141376415","894.5687530038507","923.6651208778482","821.9447109065114","691.9645305307045","979.9139977995889","868.1175094820347","762.4601702423347","854.7319499695996","800.5868696256406","821.9570138104751","788.8868079562234","1017.2656142331856","1069.1223544399083","920.6632123107212","958.0025258403542","719.0432221546657","833.4848348244013","906.6132959842496","834.1737974463649","903.8082338805408","898.6779229277049","1031.2786218477663","786.3401068357508","1056.1058820463822","820.9112669735661","746.4294863777179","841.1003323778915","743.1323081154636","865.4846880338168","833.6693783838559","914.8439387359217","829.7201462115289","671.3202576797243","824.0115987724022","945.4781696053735","937.9364894756651","849.1218257621817","966.3069860158081","1024.7334769391123","733.9543417585918","823.814752308984","901.87667795825"
"2007-07-01","894.9314035924336","872.1378000317914","1088.9472166587188","854.9566301065013","715.0019392783341","1072.0853536798602","1016.9435002384357","1138.7959434112222","923.2391924972181","1533.5330154188523","910.2581370211414","899.26660944206","846.6300874264822","693.1662565569861","995.0709744078843","870.9096963916705","764.0155555555555","853.8267747575902","818.5924813225241","827.2874550945795","790.9355873470035","1026.878858687013","1077.5995390240025","918.9899539024001","942.5695437927197","731.7655539659831","838.352668892068","908.5142298521697","830.7875504689238","906.4510157367667","896.4788141789858","1030.354391988555","804.6535050071531","1064.8886663487522","825.2488030519789","764.5436401208074","845.0089906215227","758.6610236846287","884.1732157049754","839.1877793673502","917.0495501510094","829.1296105547607","666.418159275155","828.024317278652","952.9101764425368","914.2494738515339","856.6514131298679","984.0057606103958","1061.9657796852646","747.5344047051343","830.6278969957082","921.3724749642346"
"2007-08-01","881.0155720456307","869.1557470373242","1069.1521749724318","846.1727321143948","706.850481395696","1042.4737073295228","990.8969735201067","1123.1475273394426","921.8006017325815","1477.653166174693","899.3209541236691","916.1039570080947","824.8962551584989","699.5209622135438","969.8169325891932","872.3969414495323","753.3689875618177","832.5572601328088","804.0372047556906","843.2998552490285","783.7429079247064","1014.6289007882812","1074.6278291688134","921.3831751794942","932.5309195972397","717.8386215431436","824.4051650960432","886.9332072982226","813.89583775949","898.3633285018805","894.5573805178483","1016.9124695787004","780.4648817578143","1053.3390749613563","806.3944370554783","744.2592669032634","842.6982699225201","750.2505656652237","854.005618610564","834.8531061747894","906.9205728401721","816.8792098889087","652.9779015442994","816.3512880717686","945.876292044475","894.1890629710065","857.1485950102808","971.7935700905776","1032.2099250241974","740.1463876301965","816.4372288326986","927.2394241742791"
"2007-09-01","898.9614646098961","871.0018705615521","1096.5857924592538","849.7907224750296","712.9390846188148","1063.3570313646323","1010.1152158506235","1127.418366219605","944.9169145564308","1502.0915970021147","906.24783017737","915.8203540688669","848.5070506888135","735.9718240972059","999.1245402714975","885.2445146657587","770.7043149985374","845.8785798884663","808.4075891765405","858.2751817096384","797.2824336960012","1033.7347767169988","1085.4239606419656","934.7575692769495","953.0101595323835","721.2768385064278","852.0524299078864","720.5433117714472","818.9336978235121","899.7072167904596","906.8957787932695","1030.2260738346752","795.1552061645575","1064.151685327528","834.6311699520971","757.4886083233035","853.7273159527589","751.791550681621","883.9730683251256","840.0348168997875","915.8814812967819","823.7994251655501","672.5217615213836","833.4575271761281","948.3767156564227","884.6087914954422","884.9144276350175","981.568800414295","1067.1591449409484","740.8497768848268","842.3821024517254","879.1440173198367"
"2007-10-01","878.3064827190592","856.3561333715761","1066.86498063961","829.3478190162054","709.4923301305033","1022.1233190879105","990.507990821741","1120.7719185429514","921.5368487021368","1463.3850615230174","880.4515473971031","904.9369731822745","808.2871839954109","719.876393231034","940.1842859601319","856.8558359386203","754.4533732970027","830.1887818729384","788.3965842535493","835.1248682059372","781.510439122329","1031.4592255843968","1073.8120651082747","911.5427973612505","937.7832760648215","708.7123066112147","830.4569149576939","699.7420361393948","806.3858766671447","892.2737788613223","896.5395324824323","1021.3554834361107","782.5220321239065","1045.8165334863043","810.505375878388","730.9307890434534","843.2663636885128","744.300879678761","846.557087910512","828.848116449161","889.5436965438118","806.5930704144557","644.4213056073426","808.689383622544","924.5472519718917","857.2580355657536","867.4592806539509","970.6052032123906","1038.2966192456618","735.3306092069411","828.1290322673168","881.6581462785027"
